Date, Open, High, Low, Close, Volume
11/01/22, 12.25, 12.25, 11.20, 11.35, 52400
10/31/22, 11.35, 11.35, 11.15, 11.25, 111100
10/28/22, 11.25, 11.35, 11.00, 11.15, 69700
10/27/22, 11.50, 11.50, 11.15, 11.35, 35900
10/26/22, 11.50, 11.50, 11.15, 11.35, 38600
10/25/22, 11.60, 11.65, 11.35, 11.50, 92300
10/24/22, 11.65, 11.65, 11.40, 11.60, 57500
10/21/22, 11.65, 11.65, 11.50, 11.60, 94800
10/19/22, 11.85, 11.85, 11.50, 11.65, 101600
10/18/22, 11.50, 12.00, 11.50, 11.65, 56900
10/17/22, 11.20, 11.50, 11.20, 11.35, 111900
10/14/22, 11.20, 11.20, 11.05, 11.15, 37000
10/13/22, 11.15, 11.20, 11.00, 11.10, 50300
10/12/22, 11.00, 11.15, 10.80, 10.95, 68900
10/11/22, 11.00, 11.10, 10.90, 10.95, 84700
10/07/22, 11.00, 11.20, 10.90, 10.95, 62700
10/06/22, 11.00, 11.20, 10.80, 10.95, 100700
10/05/22, 11.05, 11.20, 10.95, 11.00, 95300
10/04/22, 11.10, 11.35, 11.00, 11.05, 130400
10/03/22, 11.35, 11.40, 11.10, 11.30, 93100
09/30/22, 11.50, 11.50, 11.40, 11.45, 48800
09/29/22, 11.40, 11.50, 11.25, 11.35, 77500
09/28/22, 11.40, 11.45, 11.10, 11.30, 16300
09/27/22, 11.30, 11.50, 11.05, 11.25, 53900
09/26/22, 11.80, 11.80, 11.30, 11.40, 2063000
09/23/22, 11.80, 11.80, 11.05, 11.45, 33500
09/22/22, 11.70, 11.70, 11.00, 11.40, 546800
09/21/22, 11.80, 11.80, 11.50, 11.55, 264100
09/20/22, 11.80, 11.80, 11.50, 11.60, 188400
09/19/22, 11.70, 12.00, 11.50, 11.70, 192700
09/16/22, 11.50, 11.70, 11.50, 11.60, 60100
09/15/22, 11.75, 11.75, 11.10, 11.35, 70900
09/14/22, 12.00, 12.00, 11.50, 11.70, 56100
09/12/22, 11.95, 12.00, 11.90, 11.95, 170300
09/09/22, 11.90, 12.00, 11.90, 11.95, 46300
09/08/22, 12.00, 12.10, 11.90, 11.95, 49100
09/07/22, 12.00, 12.50, 11.90, 12.00, 280600
09/06/22, 12.00, 12.40, 11.95, 12.00, 294600
09/05/22, 12.30, 12.50, 11.70, 12.00, 1407500
09/02/22, 12.00, 12.05, 11.90, 12.00, 65800
09/01/22, 11.90, 12.00, 11.80, 12.00, 67200
08/31/22, 11.65, 11.90, 11.65, 11.85, 18600
08/30/22, 11.70, 12.00, 11.65, 11.85, 11800
08/29/22, 12.30, 12.30, 11.45, 11.65, 102200
08/26/22, 11.90, 12.00, 11.60, 11.70, 68200
08/25/22, 11.70, 12.00, 11.70, 11.80, 65800
08/24/22, 12.00, 12.00, 11.00, 11.60, 226500
08/23/22, 12.30, 12.30, 11.90, 12.00, 125100
08/22/22, 12.35, 12.50, 12.10, 12.20, 76100
08/19/22, 12.30, 12.45, 12.25, 12.35, 107000
08/18/22, 12.40, 12.45, 12.25, 12.30, 272700
08/17/22, 12.05, 12.40, 12.05, 12.30, 139900
08/16/22, 12.40, 12.40, 12.05, 12.25, 72500
08/15/22, 12.30, 12.40, 12.00, 12.10, 41500
08/12/22, 12.40, 12.40, 11.95, 12.00, 144600
08/11/22, 12.00, 12.50, 11.85, 12.00, 174200
08/10/22, 11.75, 12.00, 11.40, 11.75, 581300
08/08/22, 11.55, 11.70, 11.40, 11.60, 161900
08/05/22, 11.50, 11.50, 11.35, 11.40, 249800
08/04/22, 11.30, 11.60, 11.20, 11.35, 109700
08/03/22, 11.25, 11.30, 11.05, 11.20, 100600
08/02/22, 11.30, 11.30, 11.10, 11.15, 961100
08/01/22, 11.10, 11.55, 11.05, 11.25, 226100
07/29/22, 10.95, 11.15, 10.95, 11.05, 114600
07/28/22, 10.70, 11.10, 10.70, 10.95, 178300
07/27/22, 10.65, 11.00, 10.60, 10.65, 452200
07/26/22, 10.75, 10.75, 10.50, 10.50, 161300
07/25/22, 10.80, 10.80, 10.65, 10.70, 71100
07/22/22, 10.80, 10.80, 10.05, 10.45, 195000
07/21/22, 10.55, 10.85, 10.40, 10.50, 245600
07/20/22, 10.80, 10.85, 10.45, 10.55, 212900
07/19/22, 10.70, 10.85, 10.45, 10.55, 253600
07/18/22, 11.00, 11.00, 10.50, 10.65, 87800
07/15/22, 11.30, 11.30, 10.50, 10.85, 183900
07/14/22, 11.30, 11.45, 11.00, 11.25, 128400
07/13/22, 11.30, 11.60, 11.30, 11.45, 204700
07/12/22, 11.60, 11.70, 11.30, 11.45, 61900
07/08/22, 11.05, 11.70, 10.95, 11.20, 84400
07/07/22, 10.95, 11.80, 10.90, 10.90, 267500
07/06/22, 10.75, 10.95, 10.70, 10.90, 38100
07/05/22, 10.65, 10.95, 10.65, 10.70, 63100
07/04/22, 10.50, 10.70, 10.50, 10.60, 64700
07/01/22, 10.80, 10.80, 10.50, 10.60, 67300
06/30/22, 10.40, 10.55, 10.30, 10.45, 92200
06/29/22, 10.25, 10.75, 10.20, 10.50, 114000
06/28/22, 10.50, 10.50, 10.20, 10.25, 98300
06/27/22, 10.25, 10.35, 10.20, 10.25, 87500
06/24/22, 10.40, 10.45, 10.00, 10.20, 68600
06/23/22, 10.70, 10.70, 10.00, 10.30, 116200
06/22/22, 10.80, 10.80, 10.45, 10.60, 74800
06/21/22, 10.80, 10.85, 10.65, 10.75, 93200
06/20/22, 10.85, 10.85, 10.55, 10.75, 44600
06/17/22, 11.25, 11.25, 10.40, 10.80, 54200
06/16/22, 10.80, 11.00, 10.50, 10.85, 43100
06/15/22, 11.45, 11.45, 10.40, 10.90, 62900
06/14/22, 11.20, 11.50, 10.40, 10.90, 47700
06/13/22, 11.60, 11.60, 11.00, 11.45, 232400
06/10/22, 11.50, 12.00, 11.30, 11.50, 73300
06/09/22, 10.95, 11.50, 10.90, 11.45, 7365600
06/08/22, 10.95, 11.30, 10.85, 11.00, 1272900
06/07/22, 10.50, 11.50, 10.50, 10.95, 218200
06/06/22, 11.00, 11.00, 10.50, 10.65, 127300
06/03/22, 10.70, 10.75, 10.35, 10.50, 104200
06/02/22, 10.20, 10.70, 10.20, 10.30, 75200
05/31/22, 10.50, 10.50, 10.20, 10.25, 44900
05/30/22, 10.45, 10.50, 10.00, 10.20, 106300
05/27/22, 10.20, 10.50, 9.90, 10.05, 258500
05/26/22, 10.30, 10.50, 9.90, 10.10, 78000
05/25/22, 9.88, 10.05, 9.82, 9.96, 699000
05/24/22, 9.76, 9.90, 9.76, 9.90, 216300
05/23/22, 9.76, 9.90, 9.70, 9.82, 81400
05/20/22, 9.80, 9.80, 9.70, 9.76, 142200
05/19/22, 9.80, 9.80, 9.70, 9.74, 28300
05/18/22, 9.80, 9.80, 9.70, 9.78, 70400
05/17/22, 9.94, 9.94, 9.70, 9.80, 140000
05/16/22, 9.88, 9.94, 9.76, 9.86, 44400
05/13/22, 9.90, 9.90, 9.02, 9.70, 232900
05/12/22, 9.96, 10.00, 9.90, 9.94, 99200
05/11/22, 10.00, 10.00, 9.86, 9.96, 40800
05/10/22, 10.00, 10.20, 9.50, 9.86, 224000
05/09/22, 10.00, 10.10, 9.94, 10.00, 131600
05/06/22, 10.00, 10.20, 9.80, 9.94, 84100
05/05/22, 10.20, 10.20, 9.80, 9.98, 120200
05/04/22, 10.00, 10.25, 9.76, 9.98, 123400
04/28/22, 10.55, 10.55, 9.70, 9.98, 812500
04/27/22, 11.40, 11.40, 10.60, 10.75, 140400
04/26/22, 11.95, 11.95, 11.20, 11.75, 102300
04/25/22, 12.70, 12.70, 12.60, 12.60, 660700
04/22/22, 12.65, 12.70, 12.55, 12.60, 341900
04/21/22, 12.60, 12.85, 12.60, 12.70, 170300
04/20/22, 12.55, 12.80, 12.55, 12.55, 700600
04/19/22, 12.65, 12.80, 12.45, 12.55, 868700
04/14/22, 12.45, 12.55, 12.30, 12.40, 103300
04/13/22, 12.45, 12.45, 12.30, 12.35, 81400
04/12/22, 12.25, 12.30, 12.25, 12.30, 228700
04/11/22, 12.30, 12.30, 12.20, 12.25, 266400
04/08/22, 12.25, 12.30, 12.20, 12.25, 93200
04/07/22, 12.30, 12.50, 12.25, 12.35, 118100
04/06/22, 12.40, 12.40, 12.15, 12.25, 80000
04/05/22, 12.40, 12.45, 12.20, 12.30, 93900
04/04/22, 12.50, 12.50, 12.15, 12.35, 70000
04/01/22, 12.50, 12.50, 12.00, 12.10, 141000
03/31/22, 12.40, 12.50, 12.40, 12.45, 163800
03/30/22, 12.35, 12.50, 12.00, 12.35, 191200
03/29/22, 12.65, 12.65, 12.40, 12.50, 305000
03/28/22, 12.50, 12.65, 12.35, 12.50, 464400
03/25/22, 12.40, 12.40, 12.30, 12.35, 141900
03/24/22, 12.40, 12.45, 12.30, 12.35, 2465800
03/23/22, 12.35, 12.40, 12.30, 12.35, 3363500
03/22/22, 12.55, 12.75, 12.35, 12.40, 164100
03/21/22, 12.30, 12.95, 12.30, 12.55, 108100
03/18/22, 12.40, 12.50, 12.15, 12.40, 412300
03/17/22, 12.50, 12.50, 12.10, 12.30, 2380300
03/16/22, 12.25, 12.90, 12.20, 12.20, 889900
03/15/22, 12.15, 12.50, 12.15, 12.25, 3817700
03/14/22, 12.05, 12.30, 12.05, 12.15, 106100
03/11/22, 12.20, 12.20, 12.00, 12.10, 64400
03/10/22, 12.30, 12.40, 12.10, 12.15, 133700
03/09/22, 12.30, 12.30, 12.00, 12.10, 373000
03/08/22, 11.75, 12.40, 11.75, 12.20, 240700
03/07/22, 12.00, 12.15, 11.80, 11.85, 143100
03/04/22, 12.00, 12.00, 11.90, 11.95, 75100
03/03/22, 12.20, 12.20, 11.90, 12.00, 131900
03/02/22, 11.90, 12.10, 11.90, 12.00, 66300
03/01/22, 12.00, 12.10, 11.30, 11.90, 24500
02/28/22, 12.00, 12.00, 11.40, 11.90, 260800
02/25/22, 12.10, 12.20, 11.95, 12.00, 3665700
02/24/22, 12.45, 12.45, 12.05, 12.10, 1360700
02/23/22, 12.10, 12.50, 12.05, 12.20, 104200
02/22/22, 12.00, 12.50, 11.90, 11.90, 6232100
02/21/22, 12.00, 12.10, 11.80, 12.00, 87900
02/18/22, 12.00, 12.10, 11.75, 12.00, 425400
02/17/22, 11.90, 12.00, 11.70, 11.75, 79400
02/16/22, 11.70, 12.00, 11.65, 11.70, 586900
02/15/22, 11.70, 11.80, 11.65, 11.70, 136300
02/14/22, 11.80, 11.85, 11.60, 11.75, 273300
02/11/22, 11.80, 11.85, 11.60, 11.65, 251900
