Date, Open, High, Low, Close, Volume
11/01/22, 34.00, 34.00, 34.00, 34.00, 1200
10/31/22, 34.00, 34.00, 33.00, 33.40, 7800
10/28/22, 34.30, 34.30, 34.00, 34.00, 25000
10/27/22, 34.20, 35.00, 34.00, 34.20, 1700
10/26/22, 34.00, 35.00, 34.00, 34.20, 500
10/25/22, 34.00, 34.00, 34.00, 34.00, 18300
10/24/22, 33.55, 34.00, 33.55, 33.70, 700
10/21/22, 34.00, 34.00, 33.55, 33.85, 2600
10/19/22, 33.55, 34.00, 33.55, 34.00, 17400
10/18/22, 34.00, 34.00, 34.00, 34.00, 1300
10/17/22, 34.00, 34.00, 34.00, 34.00, 600
10/14/22, 34.00, 34.00, 34.00, 34.00, 2100
10/13/22, 32.10, 33.00, 32.00, 32.65, 8300
10/12/22, 32.25, 33.00, 32.00, 32.10, 36400
10/11/22, 32.50, 33.00, 32.50, 32.55, 10100
10/07/22, 33.00, 33.00, 32.50, 32.75, 7900
10/06/22, 33.20, 33.45, 33.00, 33.05, 18200
10/05/22, 33.20, 33.50, 33.20, 33.40, 300
10/04/22, 33.50, 34.00, 33.20, 33.50, 15000
10/03/22, 34.20, 34.20, 33.50, 33.80, 1300
09/30/22, 34.00, 35.00, 34.00, 34.10, 1900
09/29/22, 34.70, 34.70, 33.75, 34.05, 24300
09/27/22, 34.50, 35.00, 34.00, 34.05, 15000
09/26/22, 35.00, 35.00, 35.00, 35.00, 1500
09/23/22, 34.00, 37.00, 33.95, 34.05, 15600
09/22/22, 34.00, 34.00, 33.95, 34.00, 3400
09/21/22, 34.00, 34.00, 33.80, 34.00, 5300
09/20/22, 34.00, 34.00, 34.00, 34.00, 2900
09/19/22, 34.00, 34.00, 33.00, 33.15, 31500
09/16/22, 34.10, 34.10, 33.85, 34.00, 800
09/15/22, 33.80, 34.00, 33.80, 33.85, 1300
09/14/22, 34.00, 34.00, 33.80, 33.95, 700
09/12/22, 35.00, 35.50, 34.00, 34.40, 46800
09/09/22, 35.00, 35.00, 34.25, 34.60, 1900
09/08/22, 35.00, 35.00, 34.00, 34.25, 1074000
09/07/22, 36.50, 36.50, 35.00, 35.45, 3600
09/06/22, 34.20, 36.50, 34.00, 34.60, 1200
09/05/22, 34.10, 35.00, 33.50, 34.50, 47500
09/02/22, 34.50, 34.50, 34.00, 34.25, 5700
09/01/22, 34.10, 34.50, 34.10, 34.25, 3300
08/31/22, 35.00, 35.00, 34.55, 34.65, 1100
08/30/22, 34.95, 34.95, 34.55, 34.75, 2800
08/29/22, 35.00, 35.00, 34.45, 34.55, 7800
08/26/22, 37.75, 37.75, 30.85, 35.15, 28900
08/25/22, 39.50, 39.50, 38.20, 38.25, 7100
08/24/22, 37.80, 38.50, 37.80, 38.35, 1800
08/23/22, 38.20, 38.50, 38.00, 38.20, 14500
08/22/22, 38.50, 38.50, 38.00, 38.15, 10000
08/19/22, 38.00, 38.50, 37.80, 38.20, 5900
08/18/22, 38.00, 38.50, 38.00, 38.00, 7900
08/17/22, 37.00, 38.00, 37.00, 37.80, 5200
08/16/22, 37.20, 38.00, 37.00, 37.15, 31500
08/15/22, 37.30, 37.50, 37.10, 37.50, 39900
08/12/22, 37.50, 37.50, 37.30, 37.40, 3100
08/11/22, 37.50, 37.50, 37.45, 37.50, 5500
08/10/22, 37.50, 37.50, 37.50, 37.50, 5000
08/08/22, 37.50, 37.50, 37.50, 37.50, 33800
08/05/22, 37.55, 37.55, 37.00, 37.30, 10700
08/04/22, 36.50, 37.50, 36.00, 37.05, 7500
08/03/22, 35.90, 36.00, 35.50, 35.95, 10800
08/02/22, 35.00, 35.50, 35.00, 35.40, 1100
08/01/22, 33.80, 35.00, 33.10, 33.40, 20200
07/29/22, 33.35, 33.35, 33.00, 33.10, 51300
07/28/22, 33.35, 33.35, 33.00, 33.30, 28100
07/27/22, 35.50, 35.50, 33.00, 33.05, 94600
07/26/22, 35.90, 35.90, 33.00, 33.80, 1000
07/25/22, 34.60, 34.60, 33.35, 33.50, 3500
07/22/22, 33.90, 33.90, 33.00, 33.35, 22400
07/21/22, 34.50, 34.50, 33.50, 33.95, 9100
07/20/22, 35.50, 35.50, 34.90, 35.00, 1300
07/19/22, 35.65, 35.65, 34.90, 35.50, 3600
07/18/22, 35.95, 35.95, 35.60, 35.65, 7500
07/15/22, 35.90, 35.95, 35.00, 35.90, 13600
07/14/22, 35.60, 35.90, 35.60, 35.90, 24700
07/13/22, 35.55, 35.95, 35.50, 35.70, 41200
07/12/22, 35.50, 35.50, 34.50, 35.40, 43800
07/08/22, 37.00, 37.00, 35.45, 35.55, 8700
07/07/22, 35.60, 35.60, 34.25, 35.45, 7300
07/06/22, 35.00, 35.75, 34.00, 35.00, 10200
07/05/22, 34.00, 34.85, 33.50, 34.20, 2100
07/04/22, 34.50, 34.50, 33.00, 34.35, 8800
07/01/22, 34.25, 34.50, 34.25, 34.40, 6600
06/30/22, 34.25, 34.45, 34.25, 34.35, 4500
06/29/22, 34.30, 34.40, 32.95, 33.90, 4100
06/28/22, 34.00, 34.30, 34.00, 34.15, 1600
06/27/22, 32.85, 33.50, 32.85, 33.35, 22000
06/24/22, 32.85, 34.00, 32.85, 32.90, 4700
06/23/22, 34.35, 34.35, 33.00, 33.00, 23300
06/22/22, 34.45, 34.45, 34.45, 34.45, 1400
06/21/22, 32.55, 34.50, 32.55, 32.85, 3100
06/20/22, 32.55, 33.70, 32.55, 32.85, 23200
06/17/22, 34.05, 34.05, 32.55, 33.55, 5600
06/16/22, 34.00, 34.00, 34.00, 34.00, 3900
06/15/22, 34.45, 34.95, 34.00, 34.40, 6100
06/14/22, 34.30, 34.50, 34.30, 34.40, 1100
06/13/22, 34.00, 35.50, 34.00, 34.30, 5700
06/10/22, 34.00, 34.00, 34.00, 34.00, 1500
06/09/22, 34.10, 34.10, 33.00, 33.90, 39300
06/08/22, 34.50, 34.50, 34.45, 34.45, 500
06/07/22, 34.00, 35.00, 34.00, 34.10, 2600
06/06/22, 32.20, 32.50, 32.20, 32.45, 700
06/03/22, 34.00, 34.00, 32.20, 32.30, 4900
06/02/22, 32.50, 32.50, 32.05, 32.15, 9300
05/31/22, 32.50, 34.00, 32.10, 32.50, 11100
05/30/22, 34.95, 34.95, 32.00, 32.50, 9000
05/27/22, 35.50, 35.50, 34.30, 35.15, 11000
05/26/22, 35.50, 36.55, 35.10, 35.55, 43200
05/25/22, 36.00, 36.85, 35.50, 35.75, 48200
05/24/22, 36.00, 36.70, 35.00, 35.35, 75900
05/23/22, 36.95, 36.95, 36.00, 36.35, 5800
05/20/22, 36.95, 36.95, 36.00, 36.15, 12200
05/19/22, 36.80, 36.95, 36.50, 36.85, 29400
05/18/22, 36.95, 36.95, 36.65, 36.80, 27200
05/17/22, 36.50, 36.95, 36.20, 36.90, 29700
05/16/22, 37.00, 37.00, 36.50, 36.95, 67700
05/13/22, 37.00, 37.00, 36.80, 37.00, 17700
05/12/22, 37.00, 37.05, 36.90, 36.95, 41700
05/11/22, 37.00, 37.00, 36.70, 36.90, 63100
05/10/22, 37.00, 37.50, 37.00, 37.00, 13400
05/09/22, 36.90, 37.00, 36.25, 36.85, 15600
05/06/22, 37.00, 38.00, 36.70, 37.00, 16500
05/05/22, 36.95, 37.00, 36.25, 36.70, 15800
05/04/22, 36.95, 36.95, 36.50, 36.65, 4700
04/28/22, 37.50, 37.50, 37.00, 37.05, 9400
04/27/22, 38.00, 38.00, 36.05, 37.25, 11200
04/26/22, 37.00, 37.00, 37.00, 37.00, 1900
04/25/22, 36.00, 37.00, 35.55, 36.05, 41100
04/22/22, 36.00, 36.00, 36.00, 36.00, 215800
04/21/22, 36.00, 36.00, 35.80, 35.90, 22300
04/20/22, 36.00, 36.00, 36.00, 36.00, 14000
04/19/22, 36.00, 36.00, 35.50, 36.00, 33100
04/14/22, 35.95, 36.95, 35.95, 36.25, 16400
04/13/22, 35.05, 35.05, 35.05, 35.05, 1400
04/12/22, 35.00, 35.00, 34.50, 34.85, 3300
04/11/22, 35.95, 35.95, 34.50, 34.90, 3500
04/08/22, 36.00, 36.00, 34.00, 34.25, 19000
04/07/22, 36.00, 36.00, 35.50, 36.00, 6900
04/06/22, 35.70, 36.00, 35.00, 35.45, 4800
04/05/22, 36.00, 36.00, 35.95, 36.00, 1000
04/04/22, 37.00, 37.00, 36.00, 36.00, 326000
04/01/22, 36.00, 36.00, 36.00, 36.00, 300
03/31/22, 36.00, 36.00, 35.70, 35.75, 13800
03/30/22, 35.70, 36.00, 35.70, 35.75, 3100
03/29/22, 36.00, 36.00, 35.70, 35.90, 43600
03/28/22, 36.00, 36.00, 35.60, 35.70, 2600
03/25/22, 36.00, 36.00, 34.05, 35.60, 37000
03/24/22, 36.00, 36.00, 35.90, 36.00, 25500
03/23/22, 35.95, 36.00, 35.80, 35.90, 5800
03/22/22, 36.00, 36.00, 36.00, 36.00, 6000
03/21/22, 36.50, 36.50, 36.00, 36.00, 33500
03/18/22, 36.00, 36.50, 36.00, 36.00, 8900
03/17/22, 37.00, 37.00, 36.00, 36.15, 6700
