Date, Open, High, Low, Close, Volume
11/01/22, 1.97, 2.00, 1.96, 1.99, 50600
10/31/22, 2.00, 2.00, 1.97, 1.99, 32400
10/28/22, 1.97, 1.98, 1.95, 1.97, 95900
10/27/22, 1.99, 1.99, 1.91, 1.96, 64900
10/26/22, 2.01, 2.01, 1.96, 2.00, 36900
10/25/22, 2.00, 2.00, 1.98, 1.98, 56900
10/24/22, 2.04, 2.04, 2.00, 2.00, 13200
10/21/22, 2.00, 2.04, 2.00, 2.01, 16800
10/19/22, 2.00, 2.02, 1.90, 1.95, 194800
10/18/22, 2.00, 2.02, 1.99, 2.00, 61400
10/17/22, 1.98, 2.06, 1.96, 1.99, 96400
10/14/22, 1.90, 1.98, 1.81, 1.90, 506500
10/13/22, 1.98, 1.98, 1.80, 1.89, 207200
10/12/22, 2.02, 2.02, 1.98, 2.00, 174100
10/11/22, 2.00, 2.09, 2.00, 2.02, 12300
10/07/22, 2.09, 2.09, 2.00, 2.00, 112600
10/06/22, 2.00, 2.10, 2.00, 2.02, 111400
10/05/22, 2.10, 2.10, 2.00, 2.06, 6000
10/04/22, 2.00, 2.05, 1.96, 1.99, 107700
10/03/22, 2.05, 2.05, 1.96, 1.99, 105500
09/30/22, 2.00, 2.09, 1.99, 2.01, 38500
09/29/22, 2.12, 2.12, 2.00, 2.02, 27000
09/28/22, 2.10, 2.12, 2.10, 2.11, 12700
09/27/22, 2.07, 2.09, 2.01, 2.06, 6600
09/26/22, 2.10, 2.10, 2.00, 2.01, 121300
09/23/22, 2.10, 2.10, 2.02, 2.07, 7500
09/22/22, 2.05, 2.11, 2.00, 2.07, 76300
09/21/22, 2.06, 2.10, 2.00, 2.08, 72000
09/20/22, 2.10, 2.10, 2.01, 2.03, 118600
09/19/22, 2.10, 2.12, 2.01, 2.10, 31400
09/16/22, 2.07, 2.13, 2.07, 2.10, 7000
09/15/22, 2.12, 2.14, 2.08, 2.12, 19100
09/14/22, 2.10, 2.13, 2.00, 2.01, 203200
09/12/22, 2.15, 2.15, 2.00, 2.07, 32800
09/09/22, 2.13, 2.15, 2.10, 2.12, 62400
09/08/22, 2.10, 2.15, 2.01, 2.14, 9200
09/07/22, 2.18, 2.19, 2.00, 2.05, 169400
09/06/22, 2.02, 2.20, 2.02, 2.15, 29300
09/05/22, 2.01, 2.14, 2.00, 2.02, 72800
09/02/22, 2.02, 2.05, 2.02, 2.04, 17800
09/01/22, 2.00, 2.10, 2.00, 2.00, 27400
08/31/22, 2.10, 2.10, 2.00, 2.00, 175700
08/30/22, 2.20, 2.20, 2.05, 2.13, 22100
08/29/22, 2.17, 2.24, 2.10, 2.13, 40400
08/26/22, 2.14, 2.17, 2.10, 2.14, 39700
08/25/22, 2.15, 2.15, 2.12, 2.14, 12000
08/24/22, 2.05, 2.15, 2.05, 2.08, 11600
08/23/22, 2.07, 2.15, 2.05, 2.06, 90500
08/22/22, 2.10, 2.15, 2.05, 2.07, 21500
