Date, Open, High, Low, Close, Volume
11/01/22, 8.30, 8.30, 8.00, 8.18, 59900
10/31/22, 8.30, 8.96, 8.00, 8.24, 11500
10/28/22, 8.52, 8.52, 8.02, 8.30, 55900
10/27/22, 8.40, 8.50, 8.40, 8.46, 56100
10/26/22, 8.90, 8.90, 8.30, 8.48, 27400
10/25/22, 8.60, 8.80, 8.60, 8.62, 31400
10/24/22, 9.00, 9.00, 8.60, 8.96, 24000
10/21/22, 9.30, 9.30, 8.90, 9.22, 7800
10/19/22, 9.20, 9.30, 8.90, 9.14, 13100
10/18/22, 9.00, 9.36, 8.90, 9.12, 9600
10/17/22, 9.30, 9.30, 8.90, 8.96, 26200
10/14/22, 9.00, 9.20, 8.94, 9.02, 22100
10/13/22, 8.70, 8.92, 8.70, 8.92, 42100
10/12/22, 8.80, 9.00, 8.70, 8.86, 55400
10/11/22, 8.90, 9.00, 8.80, 8.92, 3200
10/07/22, 9.00, 9.00, 8.70, 8.96, 6500
10/06/22, 9.20, 9.20, 8.74, 8.78, 20600
10/05/22, 8.62, 9.20, 8.60, 8.74, 18300
10/04/22, 9.46, 9.46, 9.20, 9.30, 42100
10/03/22, 9.20, 9.20, 9.00, 9.02, 109200
09/30/22, 9.20, 9.60, 9.04, 9.46, 14900
09/29/22, 9.50, 9.60, 9.02, 9.20, 23600
09/28/22, 9.70, 9.70, 9.60, 9.68, 45300
09/27/22, 9.80, 9.88, 9.60, 9.70, 26700
09/26/22, 9.90, 9.90, 9.62, 9.80, 41400
09/23/22, 10.00, 10.00, 9.70, 9.82, 47600
09/22/22, 9.02, 10.00, 9.02, 9.72, 30600
09/21/22, 9.50, 9.90, 9.10, 9.34, 29700
09/20/22, 10.00, 10.00, 9.10, 9.62, 250600
09/19/22, 9.50, 9.50, 9.20, 9.40, 84400
09/16/22, 9.98, 9.98, 9.10, 9.54, 43400
09/15/22, 9.90, 9.98, 9.50, 9.52, 139000
09/14/22, 10.00, 10.00, 9.60, 9.80, 8700
09/12/22, 10.00, 10.00, 9.50, 9.58, 41300
09/09/22, 10.05, 10.20, 9.06, 9.10, 979900
09/08/22, 10.20, 10.20, 9.42, 10.05, 10600
09/07/22, 9.98, 10.20, 9.42, 9.60, 150800
09/06/22, 9.90, 10.35, 9.50, 9.60, 391500
09/05/22, 9.80, 9.98, 9.40, 9.78, 20100
09/02/22, 9.80, 9.80, 9.30, 9.50, 6800
09/01/22, 9.54, 9.86, 9.00, 9.20, 239600
08/31/22, 9.00, 9.86, 8.88, 9.54, 5800
08/30/22, 9.54, 9.98, 9.00, 9.00, 1345200
08/29/22, 9.56, 9.68, 9.54, 9.56, 5600
08/26/22, 9.54, 9.84, 9.50, 9.56, 8600
08/25/22, 9.84, 9.84, 9.50, 9.54, 24400
08/24/22, 9.84, 9.84, 9.84, 9.84, 1500
08/23/22, 9.88, 10.00, 9.50, 9.54, 198900
08/22/22, 10.00, 10.00, 9.84, 9.92, 3500
08/19/22, 10.00, 10.00, 9.54, 9.84, 34900
08/18/22, 10.00, 10.00, 9.54, 9.94, 88100
08/17/22, 9.50, 10.15, 9.50, 9.92, 18400
08/16/22, 10.00, 10.00, 9.50, 9.54, 56200
08/15/22, 9.98, 10.00, 9.50, 9.54, 185700
08/12/22, 10.00, 10.00, 9.90, 9.98, 27800
08/11/22, 9.52, 10.00, 9.52, 9.80, 15600
08/10/22, 9.82, 9.98, 9.50, 9.54, 74000
08/08/22, 9.50, 9.96, 9.50, 9.52, 296700
