Date, Open, High, Low, Close, Volume
11/01/22, 48.00, 48.40, 48.00, 48.20, 4300
10/31/22, 48.15, 48.50, 47.50, 47.75, 1400
10/28/22, 48.00, 48.50, 46.55, 48.15, 1000
10/27/22, 47.50, 49.00, 47.50, 48.00, 1500
10/26/22, 48.95, 48.95, 46.05, 48.70, 17900
10/25/22, 49.00, 49.00, 48.00, 48.15, 87700
10/24/22, 48.50, 49.00, 48.50, 48.65, 1000
10/21/22, 49.00, 49.00, 49.00, 49.00, 8300
10/19/22, 48.65, 49.00, 48.65, 49.00, 4800
10/18/22, 48.55, 49.00, 48.00, 48.55, 110000
10/17/22, 49.00, 49.00, 48.55, 48.65, 25800
10/14/22, 49.00, 49.00, 48.55, 48.90, 12400
10/13/22, 49.20, 49.20, 48.55, 48.60, 37900
10/12/22, 49.30, 49.30, 49.00, 49.05, 8700
10/11/22, 48.50, 49.30, 48.50, 48.50, 82900
10/07/22, 49.50, 49.50, 48.50, 49.40, 2900
10/05/22, 49.55, 50.00, 49.00, 49.45, 101800
10/04/22, 50.00, 50.00, 49.55, 49.80, 4600
10/03/22, 50.00, 50.00, 50.00, 50.00, 139500
09/30/22, 50.50, 50.50, 50.00, 50.00, 500
09/29/22, 51.00, 53.00, 50.00, 52.00, 158700
09/28/22, 51.00, 51.00, 51.00, 51.00, 200
09/27/22, 49.55, 49.55, 49.50, 49.55, 5900
09/26/22, 49.80, 50.00, 49.80, 49.95, 300
09/23/22, 50.00, 50.00, 49.50, 49.80, 1600
09/22/22, 50.50, 50.50, 49.50, 50.00, 44100
09/21/22, 52.75, 52.75, 50.25, 50.50, 1700
09/20/22, 53.00, 53.00, 53.00, 53.00, 600
09/19/22, 51.00, 51.00, 50.00, 50.25, 2200
09/16/22, 53.00, 53.00, 50.00, 50.00, 40800
09/15/22, 50.75, 50.75, 50.00, 50.25, 112000
09/14/22, 50.25, 51.00, 50.25, 51.00, 8900
09/12/22, 50.50, 50.50, 50.25, 50.25, 10600
