Date, Open, High, Low, Close, Volume
11/01/22, 168.00, 168.00, 167.00, 167.50, 203400
10/31/22, 168.00, 168.00, 167.00, 167.25, 34100
10/28/22, 167.50, 168.00, 165.00, 167.25, 39200
10/27/22, 169.00, 169.00, 167.50, 167.75, 6300
10/26/22, 168.00, 168.00, 167.00, 167.50, 128500
10/25/22, 169.00, 169.00, 165.25, 167.50, 157400
10/24/22, 168.00, 169.00, 168.00, 168.75, 12200
10/21/22, 168.00, 170.00, 168.00, 168.75, 15700
10/19/22, 169.50, 170.00, 168.00, 169.25, 92300
10/18/22, 171.00, 174.00, 167.50, 169.50, 404300
10/17/22, 170.00, 174.00, 169.75, 170.75, 459500
10/14/22, 164.50, 174.75, 164.50, 170.00, 370600
10/13/22, 137.25, 138.25, 137.25, 138.00, 95500
10/12/22, 139.00, 139.00, 136.50, 137.50, 8300
10/11/22, 138.75, 139.00, 137.00, 137.25, 18200
10/07/22, 140.00, 140.00, 135.00, 137.00, 320000
10/06/22, 139.00, 140.00, 135.00, 138.00, 408400
10/05/22, 144.75, 144.75, 135.00, 141.00, 7600
10/04/22, 145.00, 147.00, 142.00, 144.50, 20500
10/03/22, 148.00, 148.00, 145.00, 147.50, 700
09/30/22, 142.00, 148.00, 140.00, 142.00, 29800
09/29/22, 142.00, 142.00, 141.00, 142.00, 23700
09/28/22, 145.00, 145.00, 140.75, 143.25, 31800
09/27/22, 143.00, 145.00, 140.00, 140.75, 4800
09/26/22, 148.00, 148.00, 140.00, 140.25, 115700
09/23/22, 143.50, 145.00, 141.00, 141.25, 80200
09/22/22, 142.00, 148.00, 142.00, 145.00, 325700
09/21/22, 143.00, 148.00, 142.00, 143.75, 213300
09/20/22, 147.75, 148.00, 140.75, 142.00, 160600
09/19/22, 142.00, 148.00, 139.00, 140.00, 534400
09/16/22, 145.00, 148.00, 138.00, 142.00, 69800
09/15/22, 153.00, 153.00, 145.00, 150.25, 29500
09/14/22, 152.00, 153.00, 151.00, 151.25, 299700
09/12/22, 153.00, 153.00, 152.00, 152.00, 512600
09/09/22, 153.75, 154.00, 153.00, 153.00, 222100
09/08/22, 157.00, 157.00, 153.75, 154.00, 147500
09/07/22, 157.00, 158.00, 156.00, 157.00, 6600
09/06/22, 157.00, 157.00, 155.00, 155.50, 1000
09/05/22, 157.00, 157.00, 154.00, 157.00, 210600
09/02/22, 153.75, 155.75, 153.00, 154.00, 61200
09/01/22, 152.00, 153.00, 151.00, 152.00, 412200
08/31/22, 153.00, 153.00, 150.00, 151.00, 5900
08/30/22, 153.00, 153.00, 150.00, 153.00, 74600
08/29/22, 153.00, 153.50, 150.50, 153.00, 185700
08/26/22, 154.00, 154.00, 150.00, 153.00, 168200
08/25/22, 154.00, 154.00, 153.75, 153.75, 5400
08/24/22, 153.00, 156.75, 153.00, 153.75, 13800
08/23/22, 154.50, 156.00, 153.00, 153.50, 90800
08/22/22, 155.00, 157.00, 153.75, 154.50, 900
08/19/22, 156.00, 157.00, 153.00, 153.75, 383300
08/18/22, 152.50, 159.50, 152.00, 156.75, 6100
08/17/22, 156.25, 157.00, 150.00, 152.50, 51600
08/16/22, 156.50, 157.00, 152.00, 156.25, 57300
08/15/22, 159.75, 159.75, 157.00, 157.00, 64600
08/12/22, 158.00, 159.75, 155.00, 157.25, 9300
08/11/22, 163.00, 163.00, 155.00, 158.00, 25600
08/10/22, 156.00, 160.00, 156.00, 157.50, 73100
08/08/22, 155.00, 155.50, 155.00, 155.25, 39700
08/05/22, 155.00, 156.00, 150.25, 155.00, 134300
08/04/22, 154.00, 155.00, 154.00, 154.75, 674300
08/03/22, 155.00, 155.00, 154.00, 154.25, 4100
08/02/22, 154.00, 157.00, 152.00, 154.25, 190000
08/01/22, 155.25, 155.25, 153.00, 155.00, 319000
07/29/22, 154.00, 157.00, 154.00, 155.25, 186400
07/28/22, 147.75, 157.50, 147.75, 153.00, 39100
07/27/22, 140.50, 145.00, 140.50, 143.25, 82400
07/26/22, 140.50, 140.50, 140.50, 140.50, 25400
07/25/22, 143.25, 143.25, 143.00, 143.25, 9000
07/22/22, 142.00, 145.00, 142.00, 143.50, 5800
07/21/22, 140.00, 143.00, 140.00, 140.25, 147000
07/20/22, 138.00, 141.00, 138.00, 140.00, 581700
07/19/22, 140.00, 140.00, 137.00, 138.75, 1300
07/18/22, 139.00, 140.00, 137.00, 137.25, 95800
07/15/22, 140.00, 140.00, 138.50, 139.50, 12100
07/14/22, 140.00, 140.00, 139.75, 140.00, 8700
07/13/22, 140.00, 140.00, 139.00, 139.75, 94800
07/12/22, 139.00, 140.00, 139.00, 140.00, 12600
07/08/22, 140.00, 140.00, 139.00, 140.00, 6400
07/07/22, 140.00, 140.00, 138.00, 139.00, 11700
07/06/22, 139.25, 140.00, 137.25, 138.00, 30600
07/05/22, 141.50, 141.50, 139.00, 139.25, 22000
07/04/22, 140.50, 141.75, 137.25, 139.50, 12200
07/01/22, 137.00, 140.50, 135.00, 139.00, 1022000
06/30/22, 131.25, 139.00, 131.00, 137.25, 6700
06/29/22, 121.00, 131.25, 121.00, 127.00, 546400
06/28/22, 114.00, 121.00, 111.00, 119.50, 569700
06/27/22, 114.75, 115.00, 110.00, 110.00, 2854500
06/24/22, 117.75, 117.75, 114.75, 115.25, 377900
06/23/22, 118.75, 118.75, 117.75, 117.75, 265100
06/22/22, 120.00, 120.00, 118.00, 118.75, 133900
06/21/22, 123.00, 124.75, 118.50, 120.00, 429200
06/20/22, 125.00, 125.00, 123.00, 124.00, 16000
06/17/22, 125.00, 125.00, 124.50, 124.50, 84100
06/16/22, 127.75, 128.50, 124.50, 125.00, 808800
06/15/22, 130.00, 130.00, 127.50, 128.75, 18400
06/14/22, 129.75, 131.00, 129.50, 129.50, 92400
06/13/22, 133.00, 133.00, 130.00, 131.25, 307700
06/10/22, 133.25, 137.00, 133.00, 133.00, 251900
06/09/22, 138.25, 139.50, 135.00, 137.50, 107100
06/08/22, 140.00, 141.00, 138.50, 140.00, 82000
06/07/22, 140.00, 140.00, 140.00, 140.00, 20300
06/06/22, 140.00, 140.00, 138.00, 139.75, 5600
06/03/22, 140.00, 140.00, 139.50, 139.75, 16900
06/02/22, 141.00, 141.50, 139.50, 140.00, 17700
05/31/22, 141.00, 141.25, 140.50, 141.00, 445500
05/30/22, 142.00, 142.00, 141.00, 141.50, 144600
05/27/22, 141.00, 142.00, 141.00, 141.00, 701900
05/26/22, 141.00, 142.00, 140.00, 141.00, 205100
05/25/22, 141.00, 141.00, 140.50, 141.00, 873200
05/24/22, 141.00, 142.00, 141.00, 141.00, 3153500
05/23/22, 140.00, 142.75, 139.25, 141.00, 758700
05/20/22, 144.00, 144.00, 139.00, 142.75, 325100
05/19/22, 140.00, 140.00, 140.00, 140.00, 31700
05/18/22, 142.50, 142.50, 140.00, 140.00, 204700
05/17/22, 143.00, 143.00, 142.00, 142.50, 17700
05/16/22, 142.00, 142.50, 142.00, 142.50, 510500
05/13/22, 142.50, 142.50, 140.50, 141.50, 14400
05/12/22, 140.25, 142.50, 140.00, 140.25, 2800
05/11/22, 145.00, 145.00, 140.00, 140.50, 21800
05/10/22, 140.00, 141.00, 140.00, 140.00, 350000
05/09/22, 139.25, 142.00, 139.25, 139.75, 548900
05/06/22, 143.00, 143.75, 139.00, 139.00, 1349400
05/05/22, 144.00, 144.00, 140.00, 142.50, 16400
05/04/22, 144.00, 144.00, 143.00, 144.00, 124600
04/28/22, 144.00, 144.00, 143.50, 144.00, 11300
04/27/22, 144.75, 145.00, 143.75, 144.25, 12900
04/26/22, 145.50, 147.00, 144.75, 145.00, 129700
04/25/22, 146.00, 147.00, 145.00, 145.00, 45200
04/22/22, 148.00, 148.00, 144.00, 144.75, 53500
04/21/22, 148.75, 148.75, 145.75, 146.00, 162800
04/20/22, 147.00, 150.00, 145.00, 146.00, 51900
04/19/22, 150.00, 150.00, 146.00, 147.00, 11100
04/14/22, 149.00, 150.00, 148.00, 148.25, 50400
04/13/22, 149.00, 149.50, 148.00, 148.25, 215000
04/12/22, 149.50, 149.50, 149.00, 149.00, 27800
04/11/22, 150.00, 150.00, 148.50, 149.50, 10800
04/08/22, 149.50, 150.00, 149.50, 150.00, 13600
04/07/22, 151.25, 151.25, 149.50, 150.00, 332600
04/06/22, 152.00, 152.00, 150.75, 151.25, 700
04/05/22, 151.00, 151.00, 150.00, 150.75, 13100
04/04/22, 151.00, 151.00, 150.00, 151.00, 203100
04/01/22, 149.50, 154.00, 149.50, 150.75, 51400
03/31/22, 150.00, 150.00, 150.00, 150.00, 151900
03/30/22, 150.50, 150.50, 150.00, 150.00, 4600
03/29/22, 152.00, 152.00, 150.00, 151.00, 23600
03/28/22, 153.00, 155.00, 150.00, 150.25, 74500
03/25/22, 149.75, 150.00, 149.00, 149.75, 182300
03/24/22, 150.00, 150.00, 148.75, 149.00, 409900
03/23/22, 149.00, 149.00, 148.00, 148.50, 436600
03/22/22, 150.00, 150.00, 146.25, 149.00, 353300
03/21/22, 150.00, 150.00, 149.75, 150.00, 275900
03/18/22, 152.00, 152.00, 148.50, 149.50, 38900
03/17/22, 149.75, 150.00, 148.00, 149.00, 94300
03/16/22, 150.00, 150.00, 149.75, 150.00, 10800
03/15/22, 152.00, 152.00, 149.50, 150.00, 131500
03/14/22, 153.00, 153.00, 150.00, 150.00, 78000
03/11/22, 153.75, 153.75, 150.00, 153.00, 102800
03/10/22, 148.00, 155.00, 148.00, 154.50, 169700
03/09/22, 156.25, 156.25, 145.00, 155.00, 21600
03/08/22, 158.00, 158.00, 156.50, 157.25, 2100
03/07/22, 157.00, 160.00, 157.00, 159.25, 6500
03/04/22, 156.50, 157.00, 156.25, 156.75, 401300
03/03/22, 156.25, 158.00, 156.25, 156.25, 324500
03/02/22, 155.75, 156.25, 155.75, 156.25, 223500
03/01/22, 158.00, 158.00, 156.25, 156.50, 52400
02/28/22, 159.00, 160.00, 159.00, 159.00, 27600
02/25/22, 156.00, 159.50, 156.00, 159.00, 227900
02/24/22, 163.00, 164.00, 158.00, 160.00, 379200
02/23/22, 163.75, 163.75, 160.00, 161.75, 7900
02/22/22, 164.75, 164.75, 162.00, 162.00, 1061000
02/21/22, 162.00, 162.25, 162.00, 162.00, 21000
02/18/22, 161.00, 163.00, 160.25, 162.00, 237300
02/17/22, 161.00, 163.00, 160.00, 160.00, 486800
02/16/22, 160.00, 162.00, 160.00, 160.75, 27000
02/15/22, 164.75, 164.75, 160.00, 160.00, 305200
02/14/22, 157.50, 162.50, 157.50, 160.50, 2500
02/11/22, 162.00, 162.00, 158.00, 160.00, 936900
02/10/22, 164.75, 164.75, 162.00, 163.50, 38200
02/09/22, 163.00, 165.00, 163.00, 163.50, 164600
02/08/22, 164.00, 165.00, 162.00, 163.00, 9200
02/07/22, 162.25, 165.00, 162.00, 162.75, 3700
02/04/22, 165.00, 165.00, 163.00, 163.25, 2200
02/03/22, 165.00, 165.00, 163.25, 164.75, 267700
02/02/22, 169.00, 169.00, 165.00, 167.00, 1500
02/01/22, 165.00, 165.00, 164.00, 165.00, 172300
01/31/22, 164.00, 170.00, 162.00, 165.00, 874800
01/28/22, 160.00, 170.50, 157.00, 161.00, 2022800
01/27/22, 156.00, 158.00, 155.00, 155.00, 1216000
01/26/22, 158.00, 158.00, 156.00, 157.25, 1100
01/25/22, 157.00, 157.00, 155.00, 156.50, 13700
01/24/22, 157.00, 159.00, 156.00, 157.50, 26800
01/21/22, 157.50, 159.00, 157.50, 159.00, 2600
01/20/22, 160.00, 160.00, 156.00, 157.50, 4000
01/19/22, 160.00, 160.00, 155.00, 157.50, 1600
01/18/22, 158.50, 159.50, 158.50, 159.00, 17000
01/17/22, 154.00, 163.00, 154.00, 158.25, 1700
01/14/22, 155.00, 160.00, 153.00, 158.25, 135700
01/13/22, 155.25, 160.00, 150.00, 151.50, 847800
01/12/22, 160.00, 161.00, 160.00, 160.00, 8300
01/11/22, 161.00, 161.00, 161.00, 161.00, 100
01/10/22, 164.50, 164.50, 160.00, 163.25, 9100
01/07/22, 165.00, 165.00, 164.25, 164.75, 3200
01/06/22, 164.00, 165.00, 160.00, 160.75, 2800
01/05/22, 164.00, 165.00, 160.00, 163.75, 900
01/04/22, 165.00, 165.00, 165.00, 165.00, 87200
01/03/22, 156.00, 168.00, 156.00, 165.50, 1000
12/31/21, 160.00, 166.00, 160.00, 165.00, 144700
12/30/21, 165.00, 168.00, 165.00, 165.25, 50700
12/29/21, 169.00, 169.00, 165.00, 167.75, 3400
12/28/21, 167.00, 168.00, 167.00, 168.00, 560400
12/24/21, 167.00, 168.00, 167.00, 168.00, 675800
12/23/21, 165.00, 166.00, 165.00, 165.00, 186600
12/22/21, 165.00, 168.00, 161.00, 164.50, 163700
12/21/21, 155.00, 162.00, 155.00, 161.75, 71500
12/20/21, 151.00, 155.00, 150.50, 151.00, 163200
12/17/21, 151.00, 162.00, 148.00, 148.25, 2816500
12/16/21, 149.00, 150.00, 149.00, 150.00, 114700
12/15/21, 150.00, 150.00, 148.50, 149.00, 106300
12/14/21, 150.00, 150.00, 149.00, 149.00, 113300
12/10/21, 150.00, 150.00, 148.50, 149.00, 28300
12/09/21, 148.50, 150.00, 148.50, 149.50, 736300
12/08/21, 150.00, 152.00, 149.00, 150.50, 576700
12/07/21, 150.00, 151.00, 148.50, 150.00, 30200
12/06/21, 149.50, 151.00, 148.00, 148.50, 34200
12/03/21, 149.00, 150.50, 149.00, 150.00, 248700
12/02/21, 151.50, 151.50, 149.00, 149.75, 230600
12/01/21, 152.00, 152.00, 151.25, 152.00, 49400
11/30/21, 155.00, 155.00, 151.25, 153.00, 253100
11/29/21, 154.00, 155.00, 153.75, 154.50, 16200
11/26/21, 155.00, 155.00, 150.00, 154.00, 8700
11/25/21, 153.00, 155.00, 153.00, 153.50, 556300
11/24/21, 158.00, 158.00, 153.00, 155.00, 326500
11/23/21, 157.75, 158.00, 157.00, 157.50, 10300
11/22/21, 156.25, 159.00, 156.25, 158.00, 281700
11/19/21, 160.00, 160.00, 155.00, 157.00, 152900
11/18/21, 157.50, 162.00, 156.00, 158.75, 2400
11/17/21, 161.00, 161.00, 157.00, 158.50, 109800
11/16/21, 162.00, 162.00, 160.00, 160.25, 19100
11/15/21, 161.00, 161.00, 159.50, 160.00, 759700
11/12/21, 162.50, 162.50, 160.00, 162.25, 659400
11/11/21, 162.00, 163.00, 160.00, 162.75, 234600
11/10/21, 165.00, 165.00, 163.00, 164.00, 155400
11/09/21, 161.00, 165.00, 160.00, 165.00, 204100
11/08/21, 169.00, 169.00, 164.00, 165.25, 50300
11/05/21, 169.00, 169.00, 168.00, 169.00, 60800
11/04/21, 169.50, 169.50, 169.00, 169.00, 13200
11/03/21, 169.00, 170.00, 169.00, 169.25, 251000
11/02/21, 165.00, 169.00, 165.00, 167.00, 127600
11/01/21, 168.00, 168.00, 165.25, 165.75, 146900
10/29/21, 165.25, 169.00, 165.00, 166.00, 76100
10/28/21, 166.00, 166.00, 165.00, 165.00, 1096900
10/27/21, 167.00, 167.00, 165.00, 166.00, 118600
10/26/21, 169.00, 169.00, 165.75, 166.00, 180300
10/25/21, 168.00, 168.00, 167.00, 167.00, 4800
10/22/21, 169.00, 170.00, 168.00, 169.25, 76500
10/21/21, 169.00, 172.00, 169.00, 170.00, 4000300
10/19/21, 164.00, 170.00, 164.00, 165.00, 533500
10/18/21, 165.00, 165.00, 164.50, 164.75, 300100
10/15/21, 164.00, 167.00, 164.00, 164.75, 319900
10/14/21, 163.00, 163.50, 162.75, 163.00, 292100
10/13/21, 165.00, 165.00, 162.50, 163.50, 19400
10/12/21, 164.75, 165.00, 162.00, 164.75, 1095200
10/08/21, 165.00, 165.00, 162.00, 164.75, 10100
10/07/21, 167.00, 167.00, 165.00, 165.00, 28200
10/06/21, 167.00, 167.00, 165.00, 166.75, 441800
10/05/21, 170.00, 170.00, 165.00, 166.50, 212100
10/04/21, 172.00, 172.00, 169.00, 170.25, 7800
10/01/21, 173.00, 173.00, 172.00, 172.00, 1000
09/30/21, 173.00, 173.00, 170.00, 170.75, 12900
09/29/21, 175.00, 175.00, 172.00, 172.00, 1615800
09/28/21, 173.75, 174.00, 173.75, 174.00, 7100
09/27/21, 175.00, 175.00, 173.75, 174.00, 3800
09/24/21, 173.25, 174.75, 173.25, 173.50, 2600
09/23/21, 173.50, 174.00, 173.50, 173.50, 415200
09/22/21, 174.00, 174.00, 173.00, 173.25, 14300
09/21/21, 175.00, 175.00, 174.00, 174.00, 3207400
09/20/21, 175.00, 176.00, 173.50, 175.00, 229500
09/17/21, 175.00, 176.00, 175.00, 176.00, 20500
09/16/21, 175.25, 178.00, 175.00, 175.00, 19200
09/15/21, 174.75, 175.00, 174.25, 175.00, 51600
09/14/21, 175.00, 175.00, 174.25, 175.00, 532900
09/13/21, 174.75, 175.00, 174.50, 174.75, 28800
09/10/21, 175.00, 175.00, 174.50, 175.00, 128100
