Date, Open, High, Low, Close, Volume
11/01/22, 1.10, 1.12, 1.08, 1.10, 12700
10/31/22, 1.12, 1.12, 1.10, 1.11, 8000
10/28/22, 1.15, 1.15, 1.10, 1.11, 7300
10/27/22, 1.15, 1.15, 1.05, 1.12, 9200
10/26/22, 1.13, 1.13, 1.06, 1.07, 11500
10/25/22, 1.15, 1.15, 1.05, 1.08, 5600
10/24/22, 1.10, 1.15, 1.05, 1.13, 2600
10/21/22, 1.15, 1.15, 1.05, 1.06, 23100
10/19/22, 1.15, 1.15, 1.15, 1.15, 1500
10/18/22, 1.16, 1.16, 1.12, 1.15, 14100
10/17/22, 1.15, 1.15, 1.05, 1.14, 6200
10/14/22, 1.14, 1.14, 1.10, 1.13, 1400
10/13/22, 1.12, 1.14, 1.10, 1.12, 6200
10/12/22, 1.15, 1.15, 1.12, 1.14, 3500
10/11/22, 1.15, 1.15, 1.12, 1.12, 20400
10/07/22, 1.13, 1.16, 1.13, 1.15, 6400
10/06/22, 1.15, 1.18, 1.13, 1.14, 6700
10/05/22, 1.15, 1.16, 1.15, 1.16, 13600
10/04/22, 1.15, 1.16, 1.15, 1.16, 3000
10/03/22, 1.20, 1.20, 1.16, 1.19, 10200
09/30/22, 1.20, 1.20, 1.16, 1.19, 5800
09/29/22, 1.24, 1.24, 1.24, 1.24, 6400
09/28/22, 1.20, 1.25, 1.15, 1.16, 10600
09/27/22, 1.20, 1.20, 1.15, 1.17, 1800
09/26/22, 1.22, 1.24, 1.12, 1.15, 27100
09/23/22, 1.19, 1.22, 1.19, 1.21, 23900
09/22/22, 1.24, 1.25, 1.19, 1.19, 222400
09/21/22, 1.15, 1.23, 1.15, 1.18, 30500
09/20/22, 1.21, 1.21, 1.15, 1.15, 175900
09/19/22, 1.21, 1.26, 1.08, 1.17, 9100
09/16/22, 1.20, 1.21, 1.15, 1.19, 18000
09/15/22, 1.20, 1.20, 1.15, 1.15, 29100
09/14/22, 1.20, 1.20, 1.15, 1.17, 1900
09/12/22, 1.20, 1.20, 1.15, 1.19, 17400
09/09/22, 1.20, 1.20, 1.20, 1.20, 7000
09/08/22, 1.22, 1.22, 1.20, 1.20, 4000
09/07/22, 1.22, 1.22, 1.14, 1.20, 11600
09/06/22, 1.20, 1.22, 1.14, 1.20, 4800
09/05/22, 1.20, 1.20, 1.20, 1.20, 300
09/02/22, 1.20, 1.20, 1.13, 1.14, 2700
09/01/22, 1.15, 1.20, 1.15, 1.17, 5200
08/31/22, 1.20, 1.24, 1.20, 1.23, 12500
08/30/22, 1.21, 1.24, 1.20, 1.21, 5700
08/29/22, 1.25, 1.25, 1.20, 1.24, 8300
08/26/22, 1.25, 1.25, 1.25, 1.25, 7700
08/25/22, 1.25, 1.25, 1.14, 1.24, 6200
08/24/22, 1.25, 1.25, 1.13, 1.20, 56800
08/23/22, 1.24, 1.25, 1.23, 1.25, 21100
08/22/22, 1.24, 1.24, 1.16, 1.20, 41100
08/19/22, 1.27, 1.27, 1.19, 1.25, 15900
08/18/22, 1.27, 1.27, 1.19, 1.23, 1800
08/17/22, 1.27, 1.27, 1.08, 1.26, 35500
08/16/22, 1.21, 1.21, 1.10, 1.19, 24200
08/15/22, 1.20, 1.21, 1.10, 1.17, 29300
08/12/22, 1.20, 1.20, 1.20, 1.20, 600
08/11/22, 1.32, 1.32, 1.15, 1.21, 5200
08/10/22, 1.22, 1.22, 1.18, 1.21, 6000
08/08/22, 1.20, 1.25, 1.10, 1.18, 3200
08/05/22, 1.20, 1.20, 1.18, 1.20, 11800
08/04/22, 1.15, 1.22, 1.15, 1.17, 19600
08/03/22, 1.15, 1.15, 1.15, 1.15, 1000
08/02/22, 1.15, 1.15, 1.15, 1.15, 3000
08/01/22, 1.15, 1.15, 1.15, 1.15, 1400
07/29/22, 1.10, 1.15, 1.05, 1.14, 25400
07/28/22, 1.13, 1.13, 1.05, 1.05, 140500
07/27/22, 1.14, 1.14, 1.05, 1.06, 52200
07/26/22, 1.14, 1.14, 1.14, 1.14, 200
07/25/22, 1.14, 1.14, 1.05, 1.08, 9300
07/22/22, 1.10, 1.14, 1.10, 1.14, 1500
07/21/22, 1.15, 1.15, 1.10, 1.14, 5600
07/20/22, 1.05, 1.10, 1.00, 1.05, 25900
07/19/22, 1.00, 1.00, 1.00, 1.00, 85400
07/18/22, 1.00, 1.05, 0.95, 0.95, 115800
07/15/22, 1.05, 1.05, 1.00, 1.05, 16900
07/14/22, 1.05, 1.05, 1.01, 1.05, 8600
07/13/22, 1.05, 1.05, 1.00, 1.02, 2800
07/12/22, 1.05, 1.05, 1.00, 1.05, 3500
07/08/22, 1.05, 1.05, 1.05, 1.05, 600
07/07/22, 1.04, 1.05, 1.02, 1.05, 29100
07/06/22, 1.00, 1.06, 0.95, 0.98, 122400
07/05/22, 1.00, 1.04, 0.95, 0.99, 17200
07/04/22, 0.98, 1.04, 0.98, 1.00, 23200
07/01/22, 0.90, 0.98, 0.89, 0.97, 7600
06/30/22, 0.91, 0.91, 0.84, 0.90, 8000
06/29/22, 0.83, 0.84, 0.83, 0.83, 6300
06/28/22, 0.95, 0.95, 0.80, 0.81, 32800
06/27/22, 0.94, 0.95, 0.85, 0.88, 39900
06/24/22, 0.95, 0.95, 0.94, 0.94, 2500
06/23/22, 0.98, 0.98, 0.88, 0.91, 32800
