Date, Open, High, Low, Close, Volume
11/01/22, 3.05, 3.29, 3.05, 3.22, 500
10/31/22, 3.20, 3.20, 2.80, 3.04, 96600
10/28/22, 3.10, 3.10, 3.00, 3.03, 49700
10/27/22, 3.14, 3.20, 3.10, 3.18, 29500
10/26/22, 3.14, 3.14, 3.04, 3.10, 3200
10/25/22, 3.10, 3.10, 3.00, 3.04, 6100
10/24/22, 2.90, 3.00, 2.80, 2.86, 17400
10/21/22, 3.00, 3.10, 2.85, 2.95, 16800
10/19/22, 3.10, 3.10, 2.98, 3.01, 33300
10/18/22, 3.10, 3.10, 2.85, 2.98, 20800
10/17/22, 3.00, 3.10, 3.00, 3.00, 57200
10/14/22, 3.10, 3.39, 3.09, 3.11, 164400
10/13/22, 3.07, 3.41, 3.00, 3.09, 70100
10/12/22, 3.38, 3.38, 3.07, 3.10, 15200
10/11/22, 3.40, 3.40, 3.32, 3.38, 1300
10/07/22, 3.40, 3.40, 3.20, 3.32, 62600
10/06/22, 3.30, 3.30, 3.20, 3.27, 6000
10/05/22, 3.40, 3.40, 3.20, 3.33, 7900
10/04/22, 3.40, 3.40, 3.23, 3.40, 56400
10/03/22, 3.40, 3.40, 3.30, 3.37, 7600
09/30/22, 3.30, 3.40, 3.30, 3.38, 8200
09/29/22, 3.50, 3.50, 3.50, 3.50, 200
09/28/22, 3.22, 3.50, 3.22, 3.33, 7500
09/27/22, 3.40, 3.40, 3.22, 3.26, 10700
09/26/22, 3.28, 3.40, 3.20, 3.23, 2800
09/23/22, 3.45, 3.45, 3.25, 3.28, 20100
09/22/22, 3.40, 3.45, 3.25, 3.38, 7100
09/21/22, 3.42, 3.42, 3.40, 3.40, 13000
09/20/22, 3.42, 3.42, 3.40, 3.41, 27800
09/19/22, 3.40, 3.50, 3.40, 3.42, 11000
09/16/22, 3.50, 3.82, 3.40, 3.49, 51200
09/15/22, 3.35, 3.60, 3.25, 3.48, 104300
09/14/22, 3.30, 3.45, 3.25, 3.37, 54700
09/12/22, 3.60, 3.60, 3.30, 3.50, 34300
09/09/22, 3.55, 3.60, 3.55, 3.56, 11100
09/08/22, 3.54, 3.70, 3.54, 3.61, 12100
09/07/22, 3.60, 3.74, 3.50, 3.56, 20100
09/06/22, 3.75, 3.75, 3.54, 3.68, 29000
09/05/22, 3.60, 3.75, 3.60, 3.60, 181000
09/02/22, 3.60, 3.60, 3.50, 3.52, 203600
09/01/22, 3.54, 3.60, 3.54, 3.60, 5400
08/31/22, 3.60, 3.60, 3.45, 3.54, 1600
08/30/22, 3.29, 3.60, 3.29, 3.47, 79700
08/29/22, 3.33, 3.33, 3.33, 3.33, 27600
08/26/22, 3.40, 3.40, 3.33, 3.36, 3800
08/25/22, 3.60, 3.60, 3.48, 3.58, 39200
08/24/22, 3.55, 3.60, 3.55, 3.59, 35300
08/23/22, 3.60, 3.60, 3.55, 3.60, 42700
08/22/22, 3.60, 3.80, 3.60, 3.60, 48900
08/19/22, 3.60, 3.74, 3.55, 3.60, 239400
08/18/22, 3.49, 3.75, 3.37, 3.50, 10200
08/17/22, 3.60, 3.70, 3.37, 3.61, 4400
08/16/22, 3.55, 3.60, 3.50, 3.54, 14800
08/15/22, 3.60, 3.60, 3.55, 3.60, 2900
08/12/22, 3.60, 3.60, 3.50, 3.50, 8500
08/11/22, 3.60, 3.60, 3.54, 3.58, 80600
08/10/22, 3.70, 3.70, 3.50, 3.54, 51500
08/08/22, 3.40, 3.60, 3.40, 3.54, 4000
08/05/22, 3.50, 3.50, 3.50, 3.50, 5200
08/04/22, 3.40, 3.50, 3.34, 3.40, 27000
08/03/22, 3.35, 3.40, 3.34, 3.38, 25000
08/02/22, 3.20, 3.40, 3.20, 3.34, 15400
08/01/22, 3.40, 3.40, 3.20, 3.36, 7900
07/29/22, 3.40, 3.40, 3.20, 3.33, 15800
07/28/22, 3.70, 3.70, 3.34, 3.41, 6100
07/27/22, 3.34, 3.60, 3.34, 3.41, 3800
07/25/22, 3.30, 3.39, 3.25, 3.30, 11100
07/22/22, 3.30, 3.50, 3.20, 3.39, 64600
07/21/22, 3.30, 3.60, 3.14, 3.20, 50400
07/20/22, 3.50, 3.50, 3.30, 3.35, 17100
07/19/22, 3.15, 3.60, 3.15, 3.43, 15500
07/18/22, 3.45, 3.50, 3.40, 3.43, 13900
07/15/22, 3.50, 3.50, 3.45, 3.45, 439000
07/14/22, 3.50, 3.50, 3.48, 3.49, 138900
07/13/22, 3.60, 3.79, 3.48, 3.50, 493500
07/12/22, 3.85, 3.85, 3.48, 3.51, 31400
07/08/22, 3.83, 3.83, 3.70, 3.73, 20200
07/07/22, 3.74, 3.85, 3.74, 3.84, 57300
07/06/22, 3.81, 3.90, 3.75, 3.83, 47200
07/05/22, 3.45, 3.89, 3.39, 3.74, 48100
07/04/22, 3.31, 3.64, 3.31, 3.56, 29400
07/01/22, 3.30, 3.40, 3.30, 3.31, 71900
06/30/22, 3.20, 3.25, 3.20, 3.23, 6500
06/29/22, 3.15, 3.25, 3.15, 3.18, 4600
06/28/22, 3.05, 3.20, 3.05, 3.12, 34400
06/27/22, 3.05, 3.20, 3.05, 3.05, 49200
06/24/22, 3.02, 3.02, 3.00, 3.01, 35400
06/23/22, 3.00, 3.10, 3.00, 3.02, 3600
06/22/22, 3.10, 3.10, 3.00, 3.02, 6200
06/21/22, 3.00, 3.00, 2.85, 3.00, 22200
