Date, Open, High, Low, Close, Volume
11/01/22, 0.33, 0.33, 0.33, 0.33, 8100
10/31/22, 0.35, 0.35, 0.31, 0.32, 151300
10/28/22, 0.32, 0.35, 0.32, 0.32, 95900
10/27/22, 0.34, 0.35, 0.31, 0.32, 215600
10/26/22, 0.35, 0.35, 0.32, 0.33, 21700
10/25/22, 0.36, 0.36, 0.31, 0.32, 304300
10/24/22, 0.35, 0.37, 0.34, 0.34, 125100
10/21/22, 0.35, 0.38, 0.33, 0.34, 44200
10/19/22, 0.34, 0.37, 0.34, 0.35, 35400
10/18/22, 0.39, 0.39, 0.34, 0.34, 402600
10/17/22, 0.38, 0.39, 0.34, 0.36, 393900
10/14/22, 0.36, 0.38, 0.36, 0.37, 24300
10/13/22, 0.35, 0.36, 0.35, 0.36, 61000
10/12/22, 0.36, 0.36, 0.35, 0.36, 178100
10/11/22, 0.39, 0.39, 0.35, 0.37, 56300
10/07/22, 0.37, 0.37, 0.35, 0.37, 17900
10/06/22, 0.35, 0.37, 0.35, 0.35, 7200
10/05/22, 0.36, 0.38, 0.35, 0.35, 173300
10/04/22, 0.38, 0.38, 0.36, 0.38, 69000
10/03/22, 0.38, 0.39, 0.36, 0.37, 19300
09/30/22, 0.35, 0.39, 0.35, 0.37, 70500
09/29/22, 0.36, 0.37, 0.35, 0.36, 21400
09/28/22, 0.37, 0.37, 0.36, 0.36, 29100
09/27/22, 0.37, 0.37, 0.35, 0.36, 142800
09/26/22, 0.37, 0.39, 0.35, 0.35, 134700
09/23/22, 0.37, 0.39, 0.37, 0.38, 6400
09/22/22, 0.37, 0.39, 0.37, 0.37, 26000
09/21/22, 0.38, 0.39, 0.37, 0.38, 18900
09/20/22, 0.39, 0.39, 0.36, 0.38, 80300
09/19/22, 0.37, 0.39, 0.37, 0.38, 800000
09/16/22, 0.40, 0.40, 0.38, 0.38, 18200
09/15/22, 0.39, 0.39, 0.38, 0.38, 159200
09/14/22, 0.39, 0.39, 0.35, 0.38, 15100
09/12/22, 0.38, 0.38, 0.36, 0.36, 551300
09/09/22, 0.37, 0.38, 0.37, 0.37, 19000
09/08/22, 0.38, 0.38, 0.37, 0.37, 364200
09/07/22, 0.38, 0.38, 0.37, 0.38, 75000
09/06/22, 0.36, 0.38, 0.36, 0.37, 26200
09/05/22, 0.37, 0.37, 0.37, 0.37, 99600
09/02/22, 0.37, 0.37, 0.37, 0.37, 91900
09/01/22, 0.37, 0.37, 0.37, 0.37, 11600
08/31/22, 0.38, 0.38, 0.37, 0.37, 39900
08/30/22, 0.35, 0.38, 0.35, 0.37, 10100
08/29/22, 0.38, 0.39, 0.34, 0.37, 53400
08/26/22, 0.37, 0.37, 0.37, 0.37, 24200
08/25/22, 0.38, 0.39, 0.35, 0.35, 107900
08/24/22, 0.38, 0.38, 0.36, 0.38, 107500
08/23/22, 0.39, 0.39, 0.38, 0.38, 107600
08/22/22, 0.36, 0.39, 0.35, 0.38, 454500
08/19/22, 0.36, 0.37, 0.34, 0.36, 74700
08/18/22, 0.36, 0.36, 0.33, 0.34, 107900
08/17/22, 0.39, 0.39, 0.35, 0.36, 88100
08/16/22, 0.37, 0.37, 0.35, 0.36, 224500
08/15/22, 0.38, 0.38, 0.36, 0.37, 72900
08/12/22, 0.36, 0.38, 0.36, 0.37, 4600
08/11/22, 0.36, 0.36, 0.36, 0.36, 200
08/08/22, 0.35, 0.35, 0.33, 0.33, 68000
08/05/22, 0.35, 0.35, 0.35, 0.35, 47100
08/04/22, 0.34, 0.35, 0.32, 0.33, 380000
08/03/22, 0.34, 0.34, 0.33, 0.33, 539900
08/02/22, 0.35, 0.35, 0.33, 0.34, 489500
08/01/22, 0.36, 0.39, 0.34, 0.35, 1022500
07/29/22, 0.36, 0.36, 0.34, 0.36, 52800
07/28/22, 0.35, 0.38, 0.33, 0.34, 132700
07/27/22, 0.39, 0.39, 0.35, 0.36, 352100
07/25/22, 0.37, 0.37, 0.36, 0.36, 10900
07/22/22, 0.37, 0.39, 0.36, 0.36, 284800
07/21/22, 0.40, 0.40, 0.38, 0.39, 24000
07/20/22, 0.40, 0.40, 0.38, 0.38, 112700
07/19/22, 0.40, 0.40, 0.40, 0.40, 10400
07/18/22, 0.37, 0.40, 0.37, 0.40, 60100
07/15/22, 0.41, 0.41, 0.38, 0.38, 70700
07/14/22, 0.40, 0.40, 0.38, 0.38, 40200
07/13/22, 0.40, 0.40, 0.38, 0.39, 80900
07/12/22, 0.40, 0.41, 0.37, 0.39, 32200
07/08/22, 0.38, 0.41, 0.38, 0.41, 48900
07/07/22, 0.36, 0.39, 0.36, 0.38, 319600
07/06/22, 0.37, 0.37, 0.35, 0.36, 93000
07/05/22, 0.34, 0.36, 0.33, 0.35, 51900
07/04/22, 0.35, 0.35, 0.34, 0.35, 11000
07/01/22, 0.32, 0.34, 0.32, 0.33, 12100
06/30/22, 0.34, 0.34, 0.30, 0.32, 468100
06/29/22, 0.33, 0.33, 0.30, 0.33, 62800
06/28/22, 0.33, 0.33, 0.30, 0.32, 166100
06/27/22, 0.33, 0.33, 0.30, 0.33, 629400
06/24/22, 0.33, 0.33, 0.33, 0.33, 29400
06/23/22, 0.33, 0.33, 0.30, 0.31, 2300
06/22/22, 0.33, 0.33, 0.30, 0.33, 97400
06/21/22, 0.33, 0.33, 0.30, 0.30, 46200
06/20/22, 0.33, 0.33, 0.30, 0.32, 19000
06/17/22, 0.31, 0.33, 0.30, 0.31, 4500
06/16/22, 0.31, 0.31, 0.31, 0.31, 54100
06/15/22, 0.30, 0.31, 0.30, 0.31, 9000
06/14/22, 0.31, 0.31, 0.30, 0.31, 95800
06/13/22, 0.33, 0.33, 0.30, 0.31, 148900
06/10/22, 0.33, 0.33, 0.32, 0.33, 6900
06/09/22, 0.33, 0.33, 0.32, 0.33, 6500
06/08/22, 0.33, 0.33, 0.32, 0.33, 9500
06/07/22, 0.33, 0.33, 0.33, 0.33, 5900
06/06/22, 0.34, 0.34, 0.30, 0.33, 16700
06/03/22, 0.34, 0.34, 0.30, 0.32, 35700
06/02/22, 0.33, 0.33, 0.31, 0.32, 51400
05/31/22, 0.35, 0.35, 0.31, 0.33, 109300
05/30/22, 0.31, 0.35, 0.31, 0.34, 20400
05/27/22, 0.34, 0.34, 0.33, 0.34, 88900
05/26/22, 0.33, 0.34, 0.32, 0.34, 3500
05/25/22, 0.34, 0.35, 0.30, 0.31, 39500
05/24/22, 0.30, 0.33, 0.30, 0.32, 113700
05/23/22, 0.33, 0.33, 0.30, 0.30, 35300
05/20/22, 0.33, 0.33, 0.31, 0.31, 209100
05/19/22, 0.33, 0.35, 0.33, 0.33, 28900
05/18/22, 0.35, 0.36, 0.33, 0.34, 13800
05/17/22, 0.36, 0.36, 0.33, 0.33, 346500
05/16/22, 0.34, 0.36, 0.34, 0.36, 7900
05/13/22, 0.35, 0.35, 0.33, 0.34, 16400
05/12/22, 0.35, 0.35, 0.33, 0.34, 21500
05/11/22, 0.36, 0.36, 0.34, 0.36, 18600
05/10/22, 0.34, 0.35, 0.33, 0.34, 127200
05/09/22, 0.34, 0.36, 0.34, 0.36, 24300
05/06/22, 0.37, 0.37, 0.35, 0.35, 44600
05/05/22, 0.35, 0.35, 0.34, 0.35, 101100
05/04/22, 0.36, 0.36, 0.34, 0.34, 125300
04/28/22, 0.36, 0.36, 0.36, 0.36, 2900
04/27/22, 0.35, 0.36, 0.35, 0.36, 20600
04/26/22, 0.36, 0.37, 0.35, 0.36, 9900
04/25/22, 0.35, 0.36, 0.33, 0.34, 17500
04/22/22, 0.33, 0.35, 0.33, 0.34, 11500
04/21/22, 0.33, 0.33, 0.33, 0.33, 2000
04/20/22, 0.35, 0.35, 0.30, 0.32, 191100
04/19/22, 0.34, 0.34, 0.33, 0.33, 36400
04/14/22, 0.34, 0.35, 0.33, 0.34, 17000
04/13/22, 0.35, 0.35, 0.34, 0.34, 113200
04/12/22, 0.36, 0.37, 0.36, 0.37, 1500
04/11/22, 0.35, 0.38, 0.35, 0.37, 26600
04/08/22, 0.35, 0.37, 0.34, 0.36, 20700
04/07/22, 0.36, 0.37, 0.35, 0.35, 37100
04/06/22, 0.36, 0.36, 0.34, 0.35, 33600
04/05/22, 0.35, 0.36, 0.33, 0.35, 39100
04/04/22, 0.37, 0.37, 0.34, 0.36, 6200
04/01/22, 0.37, 0.37, 0.35, 0.36, 53800
03/31/22, 0.37, 0.37, 0.35, 0.36, 118700
03/30/22, 0.37, 0.37, 0.36, 0.37, 33500
03/29/22, 0.37, 0.37, 0.36, 0.36, 146100
03/28/22, 0.36, 0.36, 0.36, 0.36, 12600
03/25/22, 0.35, 0.37, 0.33, 0.34, 290000
03/24/22, 0.37, 0.37, 0.35, 0.36, 89000
03/23/22, 0.38, 0.38, 0.38, 0.38, 6900
03/22/22, 0.37, 0.38, 0.37, 0.38, 129300
03/21/22, 0.36, 0.37, 0.36, 0.36, 35600
03/18/22, 0.37, 0.37, 0.37, 0.37, 10600
03/17/22, 0.37, 0.37, 0.36, 0.37, 2900
03/16/22, 0.38, 0.38, 0.37, 0.37, 3900
03/15/22, 0.38, 0.38, 0.36, 0.37, 21400
03/14/22, 0.38, 0.38, 0.36, 0.36, 39200
03/11/22, 0.38, 0.38, 0.36, 0.38, 53900
03/10/22, 0.38, 0.38, 0.37, 0.37, 2400
03/09/22, 0.35, 0.37, 0.35, 0.37, 57300
03/08/22, 0.37, 0.37, 0.34, 0.35, 27900
03/07/22, 0.36, 0.39, 0.34, 0.34, 331100
03/04/22, 0.36, 0.36, 0.35, 0.36, 83600
03/03/22, 0.39, 0.39, 0.35, 0.35, 337600
03/02/22, 0.37, 0.38, 0.36, 0.37, 7800
03/01/22, 0.39, 0.39, 0.36, 0.37, 12900
02/28/22, 0.39, 0.39, 0.36, 0.39, 20300
02/25/22, 0.39, 0.39, 0.35, 0.37, 21900
02/24/22, 0.39, 0.39, 0.36, 0.37, 20400
02/23/22, 0.38, 0.39, 0.38, 0.39, 10900
02/22/22, 0.39, 0.39, 0.36, 0.37, 39500
02/21/22, 0.38, 0.39, 0.36, 0.39, 131200
02/18/22, 0.36, 0.38, 0.36, 0.37, 47300
02/17/22, 0.38, 0.38, 0.37, 0.37, 5900
02/16/22, 0.38, 0.38, 0.36, 0.37, 319900
02/15/22, 0.38, 0.38, 0.37, 0.38, 19500
02/14/22, 0.38, 0.38, 0.36, 0.37, 41600
02/11/22, 0.39, 0.39, 0.38, 0.39, 5200
02/10/22, 0.36, 0.38, 0.36, 0.38, 16700
02/09/22, 0.38, 0.38, 0.35, 0.36, 39300
02/08/22, 0.39, 0.39, 0.36, 0.38, 37400
02/07/22, 0.39, 0.39, 0.37, 0.38, 14500
