Date, Open, High, Low, Close, Volume
11/01/22, 225.00, 230.00, 225.00, 227.50, 200
10/28/22, 230.00, 230.00, 230.00, 230.00, 600
10/27/22, 233.00, 233.00, 221.00, 229.00, 600
10/26/22, 234.00, 234.00, 232.00, 232.25, 1100
10/25/22, 235.00, 235.00, 235.00, 235.00, 1000
10/24/22, 239.75, 239.75, 239.75, 239.75, 300
10/21/22, 240.00, 240.00, 235.00, 237.50, 400
10/19/22, 239.75, 239.75, 239.75, 239.75, 500
10/18/22, 240.00, 240.00, 240.00, 240.00, 3400
10/17/22, 240.00, 240.00, 240.00, 240.00, 1100
10/14/22, 240.00, 240.00, 240.00, 240.00, 2300
10/13/22, 240.00, 240.00, 240.00, 240.00, 100
10/12/22, 240.00, 241.00, 219.00, 231.75, 2600
10/11/22, 242.00, 242.00, 242.00, 242.00, 100
10/07/22, 240.00, 240.00, 240.00, 240.00, 200
10/06/22, 242.00, 242.00, 240.00, 241.75, 1600
10/05/22, 240.25, 243.00, 240.25, 241.00, 700
10/04/22, 243.00, 243.00, 243.00, 243.00, 1000
09/30/22, 245.00, 245.00, 245.00, 245.00, 300
09/28/22, 245.00, 245.00, 245.00, 245.00, 200
09/27/22, 245.00, 245.00, 240.00, 244.00, 500
09/26/22, 245.00, 245.00, 240.00, 242.50, 400
09/23/22, 245.25, 245.25, 245.00, 245.25, 20000
09/22/22, 255.00, 255.00, 245.00, 250.75, 700
09/19/22, 245.00, 245.25, 245.00, 245.00, 1700
09/16/22, 245.25, 245.25, 245.00, 245.25, 600
09/15/22, 245.25, 245.25, 245.25, 245.25, 900
09/14/22, 245.25, 245.25, 245.25, 245.25, 300
09/12/22, 245.25, 245.25, 245.25, 245.25, 1100
09/09/22, 245.00, 245.25, 245.00, 245.00, 1300
09/08/22, 250.00, 250.00, 245.00, 245.25, 3400
09/06/22, 241.25, 250.00, 241.25, 245.00, 30200
09/05/22, 245.00, 245.00, 245.00, 245.00, 9200
09/02/22, 240.25, 240.25, 240.25, 240.25, 200
09/01/22, 240.00, 252.00, 240.00, 248.00, 7500
08/31/22, 258.00, 258.00, 258.00, 258.00, 400
08/30/22, 262.00, 262.00, 258.00, 259.25, 900
08/26/22, 258.00, 258.00, 258.00, 258.00, 100
08/24/22, 260.00, 260.00, 260.00, 260.00, 200
08/23/22, 260.00, 260.00, 259.00, 259.75, 7200
08/19/22, 255.00, 255.00, 250.25, 252.25, 700
08/18/22, 265.00, 265.00, 265.00, 265.00, 200
08/16/22, 265.00, 265.00, 265.00, 265.00, 3300
08/15/22, 260.00, 260.00, 260.00, 260.00, 13800
08/12/22, 259.00, 259.00, 250.00, 252.50, 1300
08/11/22, 259.00, 259.00, 251.00, 251.75, 1100
08/10/22, 247.50, 247.50, 247.50, 247.50, 21400
08/04/22, 246.00, 246.00, 245.00, 245.50, 900
08/03/22, 249.00, 249.00, 249.00, 249.00, 800
08/01/22, 249.00, 249.00, 249.00, 249.00, 57800
07/29/22, 249.00, 249.00, 248.00, 248.75, 2400
07/28/22, 249.00, 249.00, 249.00, 249.00, 300
07/27/22, 249.00, 249.00, 249.00, 249.00, 1000
07/25/22, 249.00, 249.00, 249.00, 249.00, 100
07/22/22, 249.00, 249.00, 249.00, 249.00, 400
07/19/22, 249.00, 249.00, 245.00, 247.25, 1100
07/18/22, 250.50, 250.50, 245.00, 248.25, 1000
07/15/22, 250.50, 250.50, 245.00, 248.75, 2300
07/14/22, 260.00, 260.00, 260.00, 260.00, 800
07/13/22, 250.00, 250.00, 250.00, 250.00, 1700
07/12/22, 250.00, 250.00, 240.25, 244.50, 1900
07/08/22, 250.00, 250.00, 250.00, 250.00, 200
07/07/22, 255.00, 255.00, 255.00, 255.00, 1200
07/05/22, 255.00, 255.00, 255.00, 255.00, 300
07/04/22, 255.00, 260.00, 255.00, 256.25, 400
07/01/22, 255.00, 255.00, 255.00, 255.00, 100
06/30/22, 260.00, 260.00, 259.00, 259.50, 800
06/27/22, 245.00, 245.00, 245.00, 245.00, 100
06/22/22, 260.00, 260.00, 260.00, 260.00, 900
06/20/22, 265.00, 265.00, 255.00, 257.75, 2600
06/17/22, 265.00, 265.00, 265.00, 265.00, 300
06/15/22, 265.00, 265.00, 265.00, 265.00, 600
06/14/22, 265.00, 265.00, 265.00, 265.00, 200
06/13/22, 265.00, 265.00, 265.00, 265.00, 300
06/09/22, 265.00, 265.00, 265.00, 265.00, 5900
06/08/22, 266.00, 266.00, 262.00, 262.75, 1900
06/07/22, 266.00, 266.00, 266.00, 266.00, 200
06/02/22, 268.00, 268.00, 255.50, 266.00, 600
05/31/22, 269.00, 269.00, 269.00, 269.00, 100
05/30/22, 270.00, 270.00, 270.00, 270.00, 900
05/27/22, 269.00, 269.00, 266.00, 267.00, 25800
05/25/22, 269.00, 269.00, 269.00, 269.00, 100
05/24/22, 270.00, 270.00, 270.00, 270.00, 300
05/23/22, 259.00, 259.00, 259.00, 259.00, 800
05/19/22, 264.00, 265.00, 264.00, 264.00, 1400
05/18/22, 264.00, 264.00, 264.00, 264.00, 1000
05/17/22, 265.00, 265.00, 265.00, 265.00, 100
05/12/22, 265.00, 265.00, 265.00, 265.00, 200
05/11/22, 265.00, 265.00, 265.00, 265.00, 600
05/10/22, 265.00, 265.00, 265.00, 265.00, 3000
05/06/22, 265.00, 265.00, 265.00, 265.00, 500
05/05/22, 264.00, 270.00, 264.00, 265.50, 5600
05/04/22, 260.25, 260.25, 260.25, 260.25, 100
04/28/22, 260.00, 265.00, 260.00, 264.00, 1900
04/27/22, 273.00, 273.00, 268.00, 268.00, 14100
04/26/22, 268.00, 268.00, 268.00, 268.00, 100
04/25/22, 268.00, 268.00, 268.00, 268.00, 100
04/21/22, 272.00, 272.00, 260.00, 268.25, 1300
04/20/22, 273.00, 273.00, 255.00, 266.00, 1600
04/19/22, 271.50, 271.50, 261.00, 262.00, 2200
04/13/22, 271.00, 271.00, 251.75, 267.75, 1200
04/12/22, 251.25, 251.25, 248.00, 248.50, 1400
04/11/22, 271.00, 271.00, 271.00, 271.00, 5600
04/08/22, 271.00, 274.00, 271.00, 273.50, 5600
04/07/22, 274.00, 274.00, 274.00, 274.00, 100
04/06/22, 272.00, 272.00, 260.00, 261.00, 1600
04/05/22, 275.00, 275.00, 273.25, 273.75, 2500
04/04/22, 274.00, 274.00, 270.00, 271.75, 2300
04/01/22, 274.00, 275.00, 274.00, 274.75, 14600
03/31/22, 272.00, 272.00, 272.00, 272.00, 600
03/30/22, 272.00, 272.00, 272.00, 272.00, 300
03/29/22, 273.00, 274.50, 273.00, 273.25, 2100
03/28/22, 274.00, 274.00, 274.00, 274.00, 100
03/25/22, 274.00, 274.00, 274.00, 274.00, 100
03/24/22, 274.75, 274.75, 274.75, 274.75, 8000
03/23/22, 275.00, 275.00, 274.00, 274.00, 2700
03/22/22, 275.25, 275.25, 275.00, 275.00, 3600
03/21/22, 275.75, 275.75, 275.75, 275.75, 1300
03/17/22, 275.75, 275.75, 273.00, 275.25, 900
03/15/22, 275.00, 275.00, 275.00, 275.00, 2000
03/14/22, 275.00, 275.00, 275.00, 275.00, 300
03/11/22, 275.00, 275.00, 275.00, 275.00, 500
03/10/22, 274.00, 274.00, 274.00, 274.00, 200
03/09/22, 274.00, 274.00, 272.00, 272.25, 3800
03/08/22, 275.00, 275.00, 274.00, 274.50, 2000
03/07/22, 275.00, 275.00, 275.00, 275.00, 5200
03/04/22, 275.00, 275.00, 275.00, 275.00, 300
03/03/22, 277.75, 277.75, 276.75, 276.75, 6000
03/02/22, 277.75, 277.75, 277.75, 277.75, 300
03/01/22, 280.00, 280.00, 276.00, 278.00, 5100
02/28/22, 279.00, 279.00, 279.00, 279.00, 900
02/25/22, 276.00, 277.00, 275.00, 275.75, 2800
02/24/22, 280.00, 280.00, 277.00, 278.00, 600
02/23/22, 277.00, 281.00, 277.00, 279.25, 56600
02/22/22, 291.25, 291.25, 290.00, 290.50, 500
02/21/22, 294.00, 296.00, 291.00, 291.25, 21000
02/18/22, 295.00, 295.00, 290.25, 292.75, 400
02/17/22, 297.00, 297.00, 297.00, 297.00, 800
02/15/22, 299.00, 299.00, 295.00, 296.75, 2800
02/14/22, 299.00, 299.00, 299.00, 299.00, 10000
02/11/22, 300.00, 300.00, 297.00, 299.00, 1200
02/09/22, 300.00, 300.00, 300.00, 300.00, 300
02/08/22, 300.00, 301.00, 300.00, 300.00, 3100
02/07/22, 301.00, 301.00, 300.00, 300.00, 1300
02/04/22, 300.00, 300.00, 300.00, 300.00, 100
02/03/22, 302.00, 302.00, 301.00, 301.25, 8400
02/02/22, 302.75, 302.75, 300.00, 300.25, 2700
02/01/22, 303.50, 304.50, 301.50, 303.50, 4900
01/31/22, 303.50, 303.75, 303.50, 303.50, 4500
01/28/22, 303.25, 303.25, 301.25, 302.25, 200
01/27/22, 302.50, 305.00, 301.25, 304.25, 4900
01/26/22, 305.00, 305.00, 301.00, 303.75, 4600
01/25/22, 307.25, 307.25, 305.00, 305.50, 6200
01/24/22, 302.00, 310.00, 302.00, 307.25, 300
01/21/22, 310.00, 310.00, 307.00, 309.75, 900
01/20/22, 310.00, 310.00, 310.00, 310.00, 200
01/19/22, 310.00, 310.00, 310.00, 310.00, 500
01/18/22, 310.00, 310.00, 310.00, 310.00, 100
01/17/22, 310.25, 310.25, 310.00, 310.00, 6300
01/14/22, 310.00, 310.00, 309.75, 310.00, 6500
01/13/22, 310.00, 310.00, 310.00, 310.00, 2700
01/12/22, 310.00, 310.00, 306.00, 309.50, 4900
01/11/22, 310.00, 310.00, 310.00, 310.00, 1800
01/10/22, 310.25, 310.25, 310.25, 310.25, 100
01/07/22, 311.00, 311.00, 310.00, 310.00, 3600
01/06/22, 316.75, 316.75, 310.00, 310.50, 6300
12/31/21, 316.75, 316.75, 316.75, 316.75, 500
12/28/21, 310.25, 320.00, 310.25, 316.75, 300
12/24/21, 310.25, 310.25, 310.25, 310.25, 200
12/22/21, 310.25, 310.25, 310.25, 310.25, 100
12/21/21, 328.50, 328.50, 328.50, 328.50, 100
12/16/21, 329.75, 329.75, 329.75, 329.75, 13900
12/14/21, 334.00, 334.00, 310.00, 330.00, 600
