Date, Open, High, Low, Close, Volume
11/01/22, 37.70, 37.95, 37.45, 37.70, 1411000
10/31/22, 37.60, 37.70, 37.50, 37.65, 369800
10/28/22, 37.70, 37.70, 37.50, 37.70, 1992700
10/27/22, 38.00, 38.00, 37.50, 37.70, 603100
10/26/22, 38.00, 38.00, 37.40, 37.70, 4758700
10/25/22, 37.70, 38.00, 37.50, 37.70, 224100
10/24/22, 37.70, 37.70, 36.50, 37.40, 107400
10/21/22, 37.85, 38.00, 36.20, 36.55, 5395400
10/19/22, 38.00, 38.00, 37.80, 37.90, 105900
10/18/22, 38.30, 38.30, 37.85, 37.95, 195800
10/17/22, 38.75, 40.00, 37.85, 38.15, 314400
10/14/22, 38.90, 38.95, 38.00, 38.80, 301500
10/13/22, 39.10, 39.40, 38.80, 38.95, 277400
10/12/22, 39.20, 39.40, 39.00, 39.10, 430600
10/11/22, 39.50, 39.50, 38.75, 39.15, 161800
10/07/22, 40.00, 40.00, 39.30, 39.60, 162800
10/06/22, 40.00, 40.00, 39.20, 39.40, 253100
10/05/22, 39.50, 40.00, 39.05, 39.20, 130100
10/04/22, 41.00, 41.00, 39.10, 39.45, 81100
10/03/22, 40.95, 41.50, 40.50, 41.45, 897700
09/30/22, 42.00, 42.00, 40.95, 41.45, 5089900
09/29/22, 41.50, 42.00, 41.00, 41.20, 453000
09/28/22, 41.00, 41.75, 41.00, 41.35, 3538400
09/27/22, 40.50, 41.10, 40.50, 40.80, 1354400
09/26/22, 40.00, 40.95, 39.75, 40.50, 4410200
09/23/22, 39.20, 39.80, 39.05, 39.15, 639500
09/22/22, 39.00, 39.20, 38.90, 39.00, 3003100
09/21/22, 39.10, 39.50, 38.95, 39.00, 2563800
09/20/22, 39.45, 39.45, 39.00, 39.10, 474200
09/19/22, 39.40, 40.00, 39.25, 39.45, 183100
09/16/22, 40.35, 40.35, 38.95, 39.05, 1153400
09/15/22, 40.70, 40.85, 40.00, 40.35, 1778000
09/14/22, 41.75, 41.75, 40.05, 40.90, 983000
09/12/22, 43.00, 43.00, 41.60, 41.80, 3567600
09/09/22, 42.55, 43.00, 42.25, 42.45, 278900
09/08/22, 42.70, 43.75, 42.25, 42.75, 84900
09/07/22, 42.75, 42.75, 41.80, 42.25, 130100
09/06/22, 42.55, 43.50, 41.70, 42.70, 456900
09/05/22, 40.90, 42.50, 40.80, 40.85, 2490200
09/02/22, 40.90, 41.00, 40.70, 40.85, 395200
09/01/22, 41.00, 41.30, 40.75, 41.00, 165700
08/31/22, 41.00, 41.00, 40.50, 40.85, 216100
08/30/22, 41.80, 41.80, 41.00, 41.00, 1774600
08/29/22, 41.00, 41.80, 41.00, 41.30, 122300
08/26/22, 43.00, 43.00, 40.60, 40.95, 85300
08/25/22, 42.95, 42.95, 41.00, 41.80, 89100
08/24/22, 43.30, 43.30, 42.50, 42.95, 96300
08/23/22, 43.50, 43.80, 43.00, 43.35, 350200
08/22/22, 43.35, 43.50, 43.30, 43.50, 194100
08/19/22, 43.50, 43.50, 43.05, 43.25, 80500
08/18/22, 43.50, 43.50, 43.05, 43.35, 258100
08/17/22, 42.95, 43.40, 42.95, 43.20, 123200
08/16/22, 43.00, 43.50, 42.85, 42.95, 282700
08/15/22, 43.00, 43.05, 42.60, 43.00, 191800
08/12/22, 43.00, 43.50, 42.60, 43.05, 119500
08/11/22, 43.00, 44.00, 42.50, 42.80, 732800
08/10/22, 43.25, 44.00, 42.00, 42.35, 2029100
08/08/22, 42.00, 44.00, 41.75, 42.20, 129300
08/05/22, 41.00, 42.50, 40.90, 41.75, 123400
08/04/22, 40.80, 41.30, 40.50, 40.60, 1819200
08/03/22, 41.00, 41.30, 40.50, 40.75, 248100
08/02/22, 40.65, 40.65, 39.70, 40.05, 253100
08/01/22, 41.00, 41.00, 40.00, 40.75, 1318000
07/29/22, 41.90, 41.90, 40.30, 41.15, 195600
07/28/22, 39.95, 41.00, 39.65, 40.00, 1368700
07/27/22, 39.80, 40.00, 39.00, 39.05, 2082400
07/26/22, 39.00, 40.00, 38.50, 39.65, 14700
07/25/22, 38.85, 40.00, 38.50, 38.85, 165700
07/22/22, 39.00, 39.00, 38.50, 38.50, 5466200
07/21/22, 39.00, 39.00, 38.75, 38.85, 1245900
07/20/22, 38.95, 39.00, 38.70, 39.00, 911000
07/19/22, 39.25, 39.75, 38.50, 38.75, 394500
07/18/22, 40.50, 40.50, 39.25, 39.95, 464900
07/15/22, 40.50, 40.90, 39.50, 40.45, 4046600
07/14/22, 41.00, 41.00, 40.00, 40.50, 4530900
07/13/22, 41.15, 41.80, 40.55, 40.90, 110900
07/12/22, 42.80, 42.80, 41.10, 41.90, 97900
07/08/22, 42.75, 42.75, 42.00, 42.40, 109500
07/07/22, 42.00, 43.00, 42.00, 42.75, 6791300
07/06/22, 41.80, 42.45, 40.05, 41.95, 225200
07/05/22, 40.30, 41.80, 40.00, 40.60, 789000
07/04/22, 39.00, 41.25, 39.00, 40.00, 1782800
07/01/22, 39.00, 40.00, 39.00, 39.00, 1084300
06/30/22, 38.80, 39.70, 37.50, 38.65, 67700
06/29/22, 37.00, 38.40, 37.00, 37.55, 60000
06/28/22, 36.60, 37.00, 36.60, 36.80, 49200
06/27/22, 36.95, 37.10, 36.55, 36.75, 37500
06/24/22, 36.70, 36.95, 36.30, 36.70, 1601000
06/23/22, 36.70, 36.70, 36.50, 36.50, 442500
06/22/22, 37.00, 37.00, 36.50, 36.90, 765600
06/21/22, 37.50, 37.50, 36.50, 36.95, 344100
06/20/22, 37.90, 37.90, 36.20, 36.80, 54900
06/17/22, 37.75, 39.00, 37.50, 37.90, 582100
06/16/22, 38.50, 38.90, 38.00, 38.05, 1463700
06/15/22, 38.85, 38.95, 38.50, 38.65, 292300
06/14/22, 38.85, 39.00, 38.70, 38.80, 481000
06/13/22, 39.00, 39.50, 38.80, 39.00, 698400
06/10/22, 39.50, 39.50, 38.90, 39.00, 623500
06/09/22, 39.00, 39.30, 38.80, 38.95, 70800
06/08/22, 38.70, 39.00, 38.65, 38.80, 127300
06/07/22, 38.80, 39.00, 38.65, 38.65, 1174900
06/06/22, 38.75, 39.00, 38.50, 38.70, 99800
06/03/22, 38.15, 38.75, 38.10, 38.70, 220300
06/02/22, 38.00, 39.00, 37.85, 38.00, 246100
05/31/22, 38.20, 39.00, 38.00, 38.10, 4032500
05/30/22, 38.30, 38.30, 37.70, 38.05, 64500
05/27/22, 37.60, 38.50, 37.60, 38.00, 570600
05/26/22, 36.50, 38.50, 36.50, 37.10, 627000
05/25/22, 37.00, 37.00, 36.30, 36.55, 156100
05/24/22, 35.55, 36.50, 35.50, 35.95, 1436700
05/23/22, 35.50, 36.00, 35.00, 35.55, 2786100
05/20/22, 35.30, 35.50, 35.00, 35.30, 1398900
05/19/22, 35.40, 35.40, 35.00, 35.00, 889700
05/18/22, 35.55, 35.55, 34.50, 35.00, 1520700
05/17/22, 35.60, 35.85, 35.40, 35.55, 42100
05/16/22, 35.70, 35.75, 35.20, 35.40, 1315400
05/13/22, 35.80, 35.90, 35.60, 35.75, 2725800
05/12/22, 36.00, 36.00, 35.60, 35.85, 389800
05/11/22, 36.50, 36.50, 35.10, 35.70, 708800
05/10/22, 36.00, 36.25, 35.60, 35.85, 384000
05/09/22, 37.00, 37.00, 36.00, 36.50, 1060600
05/06/22, 37.00, 37.00, 35.60, 36.25, 169000
05/05/22, 37.30, 37.30, 34.00, 36.95, 143900
05/04/22, 37.00, 38.00, 37.00, 37.30, 354300
04/28/22, 38.90, 38.90, 37.00, 37.45, 224200
04/27/22, 39.00, 40.00, 37.80, 38.90, 127000
04/26/22, 42.00, 42.00, 38.25, 39.65, 604700
04/25/22, 43.30, 43.30, 42.15, 42.50, 194700
04/22/22, 43.20, 43.40, 42.60, 43.00, 121700
04/21/22, 43.30, 43.40, 42.90, 43.15, 112400
