Date, Open, High, Low, Close, Volume
11/01/22, 1.90, 1.90, 1.80, 1.81, 648500
10/31/22, 1.84, 1.90, 1.82, 1.86, 496200
10/28/22, 1.91, 1.95, 1.75, 1.84, 2683400
10/27/22, 1.97, 1.97, 1.90, 1.94, 1490300
10/26/22, 1.94, 2.00, 1.90, 1.94, 1226900
10/25/22, 1.98, 2.01, 1.87, 1.94, 1072900
10/24/22, 1.95, 1.98, 1.85, 1.91, 595800
10/21/22, 1.95, 1.98, 1.82, 1.92, 241100
10/19/22, 1.80, 1.85, 1.77, 1.81, 1578200
10/18/22, 1.84, 1.84, 1.76, 1.79, 170600
10/17/22, 1.78, 1.83, 1.75, 1.78, 1354100
10/14/22, 1.80, 1.80, 1.75, 1.77, 323500
10/13/22, 1.80, 1.80, 1.76, 1.78, 843500
10/12/22, 1.80, 1.84, 1.78, 1.80, 6725800
10/11/22, 1.84, 1.84, 1.75, 1.80, 7931200
10/07/22, 1.85, 1.86, 1.82, 1.84, 444400
10/06/22, 1.87, 1.87, 1.85, 1.87, 549500
10/05/22, 1.88, 1.88, 1.83, 1.87, 600200
10/04/22, 1.87, 1.88, 1.85, 1.87, 1452000
10/03/22, 1.90, 1.90, 1.85, 1.88, 874800
09/30/22, 1.89, 1.90, 1.86, 1.88, 985400
09/29/22, 1.90, 1.90, 1.85, 1.89, 1091500
09/28/22, 1.88, 1.90, 1.85, 1.89, 527800
09/27/22, 1.90, 1.90, 1.80, 1.83, 510700
09/26/22, 1.90, 1.95, 1.87, 1.90, 822400
09/23/22, 1.88, 1.94, 1.81, 1.88, 687000
09/22/22, 1.91, 1.91, 1.84, 1.90, 1450200
09/21/22, 1.89, 1.95, 1.82, 1.88, 798000
09/20/22, 1.99, 1.99, 1.89, 1.91, 1236500
09/19/22, 2.00, 2.00, 1.91, 1.96, 2334300
09/16/22, 2.10, 2.10, 1.93, 1.97, 4482400
09/15/22, 2.09, 2.11, 1.99, 2.08, 9070200
09/14/22, 1.90, 1.93, 1.76, 1.92, 3901000
09/12/22, 1.65, 1.76, 1.65, 1.76, 9370100
09/09/22, 1.64, 1.64, 1.58, 1.60, 2024500
09/08/22, 1.61, 1.64, 1.60, 1.61, 237400
09/07/22, 1.60, 1.65, 1.60, 1.61, 171100
09/06/22, 1.60, 1.67, 1.50, 1.60, 1824000
09/05/22, 1.50, 1.60, 1.44, 1.52, 634900
09/02/22, 1.49, 1.51, 1.46, 1.49, 528800
09/01/22, 1.46, 1.49, 1.42, 1.46, 719600
08/31/22, 1.46, 1.47, 1.45, 1.46, 311600
08/30/22, 1.46, 1.48, 1.40, 1.45, 379400
08/29/22, 1.47, 1.48, 1.47, 1.48, 69800
08/26/22, 1.48, 1.48, 1.42, 1.47, 51100
08/25/22, 1.41, 1.48, 1.41, 1.45, 79800
08/24/22, 1.48, 1.48, 1.40, 1.42, 169200
08/23/22, 1.45, 1.48, 1.42, 1.45, 556800
08/22/22, 1.46, 1.48, 1.41, 1.45, 838200
08/19/22, 1.45, 1.49, 1.40, 1.45, 99300
08/18/22, 1.50, 1.50, 1.40, 1.45, 285800
08/17/22, 1.45, 1.45, 1.40, 1.44, 793100
08/16/22, 1.48, 1.50, 1.39, 1.44, 984600
08/15/22, 1.50, 1.54, 1.50, 1.50, 499500
08/12/22, 1.50, 1.50, 1.47, 1.50, 261700
08/11/22, 1.48, 1.50, 1.45, 1.49, 168000
08/10/22, 1.45, 1.50, 1.45, 1.49, 56400
08/08/22, 1.40, 1.45, 1.39, 1.40, 2679400
08/05/22, 1.44, 1.44, 1.40, 1.40, 4722200
08/04/22, 1.44, 1.45, 1.41, 1.44, 361900
08/03/22, 1.46, 1.49, 1.41, 1.45, 1784900
08/02/22, 1.44, 1.45, 1.40, 1.44, 233700
08/01/22, 1.43, 1.45, 1.35, 1.36, 5128500
07/29/22, 1.40, 1.43, 1.37, 1.40, 1012400
07/28/22, 1.45, 1.45, 1.37, 1.40, 1048700
07/27/22, 1.40, 1.45, 1.39, 1.43, 224200
07/26/22, 1.40, 1.41, 1.40, 1.40, 51600
07/25/22, 1.40, 1.42, 1.39, 1.41, 168500
07/22/22, 1.39, 1.42, 1.39, 1.40, 3091000
