Date, Open, High, Low, Close, Volume
11/01/22, 3.37, 3.38, 3.36, 3.36, 722000
10/31/22, 3.40, 3.40, 3.36, 3.38, 670700
10/28/22, 3.40, 3.40, 3.36, 3.40, 321300
10/27/22, 3.40, 3.40, 3.36, 3.40, 707100
10/26/22, 3.39, 3.39, 3.35, 3.38, 1061500
10/25/22, 3.47, 3.47, 3.38, 3.39, 265700
10/24/22, 3.40, 3.40, 3.39, 3.40, 280200
10/21/22, 3.40, 3.40, 3.39, 3.40, 195900
10/19/22, 3.45, 3.45, 3.37, 3.40, 119500
10/18/22, 3.40, 3.40, 3.36, 3.37, 3536000
10/17/22, 3.45, 3.45, 3.39, 3.39, 146300
10/14/22, 3.43, 3.43, 3.35, 3.40, 129300
10/13/22, 3.46, 3.46, 3.38, 3.40, 464500
10/12/22, 3.47, 3.47, 3.40, 3.41, 104300
10/11/22, 3.47, 3.47, 3.40, 3.46, 892900
10/07/22, 3.47, 3.47, 3.45, 3.47, 27300
10/06/22, 3.40, 3.48, 3.38, 3.48, 222800
10/05/22, 3.50, 3.50, 3.40, 3.47, 827500
10/04/22, 3.50, 3.50, 3.47, 3.50, 70400
10/03/22, 3.50, 3.50, 3.45, 3.50, 223700
09/30/22, 3.50, 3.50, 3.48, 3.50, 663400
09/29/22, 3.50, 3.50, 3.48, 3.50, 119400
09/28/22, 3.54, 3.54, 3.48, 3.50, 517800
09/27/22, 3.53, 3.54, 3.50, 3.52, 1052700
09/26/22, 3.60, 3.60, 3.51, 3.54, 307400
09/23/22, 3.68, 3.68, 3.56, 3.60, 607900
09/22/22, 3.61, 3.68, 3.55, 3.68, 68900
09/21/22, 3.67, 3.70, 3.50, 3.50, 573200
09/20/22, 3.68, 3.68, 3.51, 3.67, 298100
09/19/22, 3.70, 3.70, 3.65, 3.68, 190600
09/16/22, 3.75, 3.75, 3.65, 3.70, 321900
09/15/22, 3.70, 3.70, 3.65, 3.70, 1170200
09/14/22, 3.72, 3.75, 3.68, 3.70, 235000
09/12/22, 3.72, 3.88, 3.69, 3.70, 404200
09/09/22, 3.70, 3.72, 3.67, 3.69, 247900
09/08/22, 3.70, 3.74, 3.69, 3.70, 258000
09/07/22, 3.75, 3.75, 3.70, 3.70, 154100
09/06/22, 3.75, 3.75, 3.60, 3.75, 885000
09/05/22, 3.75, 3.75, 3.55, 3.75, 159600
09/02/22, 3.74, 3.75, 3.55, 3.74, 424700
09/01/22, 3.70, 3.74, 3.55, 3.55, 792900
08/31/22, 3.74, 3.74, 3.67, 3.72, 211500
08/30/22, 3.75, 3.75, 3.70, 3.74, 397900
08/29/22, 3.70, 3.80, 3.65, 3.75, 621900
08/26/22, 3.68, 3.77, 3.65, 3.70, 44000
08/25/22, 3.65, 3.77, 3.63, 3.68, 326900
08/24/22, 3.74, 3.77, 3.62, 3.70, 1145600
08/23/22, 3.78, 3.78, 3.60, 3.74, 45300
08/22/22, 3.78, 3.78, 3.55, 3.76, 67800
08/19/22, 3.75, 3.83, 3.72, 3.78, 101900
08/18/22, 3.77, 3.78, 3.70, 3.78, 272500
08/17/22, 3.79, 3.79, 3.72, 3.78, 576400
08/16/22, 3.75, 3.80, 3.72, 3.79, 106800
08/15/22, 3.79, 3.81, 3.71, 3.75, 81900
08/12/22, 3.81, 3.81, 3.71, 3.79, 812900
08/11/22, 3.83, 3.85, 3.79, 3.80, 1213400
08/10/22, 3.60, 3.80, 3.60, 3.80, 360800
08/08/22, 3.50, 3.83, 3.45, 3.80, 786800
08/05/22, 3.50, 3.50, 3.49, 3.50, 2018800
08/04/22, 3.50, 3.50, 3.49, 3.50, 541700
08/03/22, 3.50, 3.50, 3.49, 3.50, 898100
08/02/22, 3.49, 3.50, 3.46, 3.50, 565400
08/01/22, 3.50, 3.50, 3.46, 3.48, 979100
07/29/22, 3.50, 3.50, 3.47, 3.49, 400000
07/28/22, 3.50, 3.50, 3.48, 3.50, 513600
07/27/22, 3.50, 3.50, 3.48, 3.49, 960900
07/26/22, 3.50, 3.50, 3.46, 3.48, 20700
07/25/22, 3.50, 3.50, 3.45, 3.50, 350700
07/22/22, 3.50, 3.50, 3.49, 3.50, 76800
07/21/22, 3.49, 3.50, 3.49, 3.49, 46800
07/20/22, 3.49, 3.50, 3.45, 3.50, 546400
07/19/22, 3.50, 3.50, 3.50, 3.50, 19300
07/18/22, 3.49, 3.50, 3.49, 3.50, 122100
07/15/22, 3.50, 3.50, 3.48, 3.49, 667200
07/14/22, 3.50, 3.50, 3.48, 3.49, 141900
07/13/22, 3.50, 3.50, 3.45, 3.50, 344500
07/12/22, 3.80, 3.80, 3.46, 3.50, 227500
07/08/22, 3.52, 3.52, 3.47, 3.50, 418300
07/07/22, 3.55, 3.55, 3.45, 3.50, 281000
07/06/22, 3.70, 3.70, 3.45, 3.55, 179500
07/05/22, 3.45, 3.70, 3.45, 3.45, 68500
07/04/22, 3.39, 3.69, 3.39, 3.40, 27200
