Date, Open, High, Low, Close, Volume
10/31/22, 5.90, 5.90, 5.22, 5.34, 900
10/28/22, 5.50, 5.50, 5.50, 5.50, 400
10/27/22, 5.50, 5.50, 5.00, 5.22, 2500
10/26/22, 5.50, 5.50, 5.10, 5.34, 4800
10/24/22, 5.50, 5.50, 5.50, 5.50, 3400
10/21/22, 5.90, 5.90, 5.90, 5.90, 400
10/19/22, 5.50, 5.50, 5.50, 5.50, 100
10/18/22, 5.50, 5.50, 5.50, 5.50, 100
10/17/22, 5.48, 6.00, 5.48, 5.50, 10100
10/14/22, 5.48, 5.48, 5.48, 5.48, 11200
10/13/22, 5.48, 5.48, 5.10, 5.38, 3900
10/11/22, 5.00, 5.00, 5.00, 5.00, 2500
10/07/22, 5.30, 5.30, 5.04, 5.18, 16400
10/06/22, 5.24, 5.40, 5.04, 5.22, 7300
10/05/22, 5.60, 5.60, 5.24, 5.58, 10500
10/04/22, 5.60, 5.60, 5.60, 5.60, 2000
10/03/22, 5.86, 5.86, 5.40, 5.44, 4500
09/30/22, 5.80, 5.80, 5.80, 5.80, 1800
09/28/22, 6.00, 6.00, 5.70, 5.86, 2100
09/27/22, 5.72, 5.72, 5.72, 5.72, 100
09/26/22, 6.70, 6.70, 5.70, 5.76, 5800
09/23/22, 6.30, 6.30, 6.30, 6.30, 100
09/22/22, 7.00, 7.00, 7.00, 7.00, 100
09/21/22, 7.00, 7.00, 7.00, 7.00, 700
09/20/22, 7.00, 7.00, 7.00, 7.00, 500
09/14/22, 7.00, 7.00, 7.00, 7.00, 100
09/07/22, 7.30, 7.48, 7.30, 7.46, 1300
09/05/22, 7.48, 7.48, 7.48, 7.48, 6100
09/02/22, 7.34, 7.34, 7.00, 7.18, 2100
09/01/22, 7.36, 7.36, 7.36, 7.36, 600
08/29/22, 6.70, 6.70, 6.70, 6.70, 200
08/26/22, 7.14, 7.14, 7.14, 7.14, 1000
08/25/22, 6.80, 6.80, 6.70, 6.78, 800
08/23/22, 7.14, 7.14, 7.14, 7.14, 100
08/22/22, 7.38, 7.38, 6.80, 7.14, 2900
08/19/22, 7.22, 7.30, 7.00, 7.20, 11200
08/18/22, 6.74, 7.38, 6.74, 6.78, 8200
08/17/22, 6.74, 6.74, 6.74, 6.74, 200
