Date, Open, High, Low, Close, Volume
11/01/22, 3.31, 3.35, 3.30, 3.31, 68200
10/31/22, 3.70, 3.70, 3.40, 3.48, 600
10/28/22, 3.70, 3.70, 3.30, 3.66, 52900
10/27/22, 3.50, 3.50, 3.50, 3.50, 1300
10/26/22, 3.71, 3.71, 3.60, 3.61, 9100
10/24/22, 3.69, 3.70, 3.69, 3.70, 6700
10/21/22, 3.60, 3.70, 3.35, 3.37, 80600
10/19/22, 3.85, 3.85, 3.70, 3.72, 21800
10/18/22, 3.80, 3.80, 3.80, 3.80, 1300
10/17/22, 3.70, 3.80, 3.70, 3.72, 2700
10/14/22, 3.95, 3.95, 3.95, 3.95, 2000
10/13/22, 4.00, 4.10, 4.00, 4.00, 26200
10/12/22, 4.10, 4.10, 4.00, 4.00, 23100
10/11/22, 3.80, 4.10, 3.80, 4.00, 7400
10/07/22, 3.81, 4.00, 3.70, 3.77, 27200
10/06/22, 3.80, 4.00, 3.80, 3.95, 1300
10/05/22, 4.00, 4.00, 3.80, 3.85, 20300
10/04/22, 3.70, 3.70, 3.70, 3.70, 4500
10/03/22, 4.00, 4.00, 3.70, 4.00, 7600
09/30/22, 4.00, 4.00, 4.00, 4.00, 500
09/29/22, 3.85, 4.00, 3.85, 4.00, 28200
09/28/22, 3.85, 3.85, 3.85, 3.85, 200
09/26/22, 4.00, 4.08, 4.00, 4.01, 30100
09/23/22, 4.10, 4.10, 4.00, 4.00, 64700
09/22/22, 4.00, 4.10, 4.00, 4.07, 300
09/21/22, 4.00, 4.00, 4.00, 4.00, 800
09/20/22, 4.00, 4.00, 4.00, 4.00, 200
09/19/22, 4.00, 4.05, 4.00, 4.01, 11400
09/16/22, 4.00, 4.00, 4.00, 4.00, 1400
09/15/22, 4.00, 4.00, 4.00, 4.00, 6400
09/14/22, 4.00, 4.00, 4.00, 4.00, 3600
09/12/22, 3.76, 3.76, 3.76, 3.76, 400
09/09/22, 3.85, 4.00, 3.75, 3.76, 263200
09/08/22, 4.00, 4.00, 3.66, 3.76, 211300
09/07/22, 3.93, 3.93, 3.65, 3.65, 200500
09/06/22, 3.56, 4.00, 3.56, 3.58, 215300
09/05/22, 3.85, 3.85, 3.84, 3.84, 18500
09/02/22, 3.55, 3.55, 3.55, 3.55, 100
09/01/22, 3.60, 3.60, 3.50, 3.51, 16100
08/31/22, 3.70, 4.00, 3.70, 3.76, 5300
08/30/22, 3.72, 3.72, 3.70, 3.72, 4800
08/29/22, 3.65, 3.65, 3.65, 3.65, 100
08/26/22, 4.00, 4.00, 3.71, 3.72, 207600
08/25/22, 3.99, 3.99, 3.99, 3.99, 1000
08/24/22, 4.00, 4.00, 3.61, 3.79, 518900
08/23/22, 4.03, 4.03, 4.00, 4.00, 20800
08/22/22, 4.00, 4.30, 4.00, 4.03, 23400
08/19/22, 3.80, 4.00, 3.80, 3.98, 189500
08/18/22, 3.66, 3.66, 3.66, 3.66, 100800
08/17/22, 3.50, 3.75, 3.20, 3.33, 82900
08/16/22, 3.50, 3.50, 3.50, 3.50, 700
08/15/22, 3.27, 3.27, 3.27, 3.27, 100
08/12/22, 3.60, 3.62, 3.50, 3.51, 6600
08/11/22, 3.57, 3.59, 3.57, 3.57, 5800
08/08/22, 3.20, 3.57, 3.20, 3.27, 2600
08/05/22, 3.27, 3.27, 3.25, 3.25, 49800
08/04/22, 3.50, 3.50, 3.24, 3.25, 10700
08/03/22, 3.60, 3.60, 3.60, 3.60, 200
08/02/22, 3.60, 3.60, 3.60, 3.60, 700
08/01/22, 3.55, 3.55, 3.28, 3.29, 5100
07/28/22, 3.66, 3.66, 3.20, 3.24, 17400
07/27/22, 3.56, 3.66, 3.21, 3.42, 13000
07/25/22, 3.52, 3.62, 3.52, 3.56, 500
07/22/22, 3.40, 3.40, 3.30, 3.31, 1800
07/21/22, 3.25, 3.39, 3.25, 3.33, 8300
07/20/22, 3.38, 3.39, 3.25, 3.27, 2300
07/19/22, 3.25, 3.39, 3.25, 3.34, 25300
07/18/22, 3.38, 3.38, 3.18, 3.21, 6600
07/15/22, 3.12, 3.12, 3.00, 3.09, 700
07/14/22, 3.10, 3.10, 3.10, 3.10, 100
07/13/22, 3.10, 3.30, 3.10, 3.16, 1700
07/12/22, 3.10, 3.36, 3.00, 3.01, 9900
07/08/22, 3.29, 3.29, 3.01, 3.06, 600
07/06/22, 3.29, 3.30, 3.29, 3.29, 700
07/05/22, 3.30, 3.30, 3.10, 3.13, 3100
07/04/22, 3.10, 3.38, 3.10, 3.11, 10600
07/01/22, 3.08, 3.08, 3.08, 3.08, 1200
06/29/22, 2.80, 2.81, 2.80, 2.80, 400
06/28/22, 2.77, 2.77, 2.71, 2.74, 200
06/27/22, 3.00, 3.10, 2.71, 2.77, 12400
06/24/22, 3.00, 3.10, 3.00, 3.01, 7500
06/23/22, 3.38, 3.38, 3.00, 3.10, 2600
06/21/22, 2.98, 3.38, 2.98, 3.28, 400
06/20/22, 3.07, 3.38, 3.07, 3.31, 800
06/17/22, 3.20, 3.20, 3.07, 3.09, 3100
06/16/22, 3.41, 3.41, 3.34, 3.41, 2800
06/15/22, 3.46, 3.46, 3.46, 3.46, 3200
06/14/22, 3.44, 3.44, 3.20, 3.40, 1500
06/13/22, 3.40, 3.44, 3.40, 3.42, 200
06/10/22, 3.48, 3.48, 3.48, 3.48, 500
06/08/22, 3.00, 3.30, 3.00, 3.21, 1700
06/07/22, 3.00, 3.40, 3.00, 3.02, 6200
06/06/22, 3.46, 3.46, 3.20, 3.24, 5400
06/02/22, 3.20, 3.22, 3.20, 3.21, 1400
05/31/22, 3.28, 3.30, 3.20, 3.22, 5300
05/30/22, 3.28, 3.28, 3.00, 3.09, 300
05/27/22, 3.27, 3.28, 3.27, 3.27, 1200
05/26/22, 3.00, 3.00, 3.00, 3.00, 14300
05/25/22, 3.00, 3.00, 2.98, 2.99, 2400
05/24/22, 3.26, 3.26, 3.00, 3.07, 16000
05/23/22, 2.98, 3.20, 2.98, 3.13, 900
05/20/22, 3.30, 3.30, 2.93, 3.17, 12200
05/19/22, 3.25, 3.25, 3.25, 3.25, 1100
05/17/22, 3.25, 3.25, 3.25, 3.25, 4100
05/13/22, 3.60, 3.64, 3.40, 3.44, 4000
05/12/22, 3.50, 3.50, 3.50, 3.50, 100
05/11/22, 3.60, 3.60, 3.60, 3.60, 200
05/09/22, 3.70, 3.70, 3.07, 3.36, 2600
05/06/22, 3.40, 3.40, 3.40, 3.40, 7700
05/05/22, 3.40, 3.40, 3.33, 3.36, 18300
05/04/22, 3.70, 3.70, 3.70, 3.70, 100
04/28/22, 3.40, 3.40, 3.40, 3.40, 9100
04/27/22, 3.48, 3.48, 3.40, 3.40, 11400
04/26/22, 3.40, 3.48, 3.40, 3.40, 5200
04/25/22, 3.40, 3.70, 3.40, 3.48, 400
04/22/22, 3.42, 3.42, 3.42, 3.42, 1000
04/21/22, 3.40, 3.42, 3.40, 3.40, 7200
04/20/22, 3.40, 3.40, 3.40, 3.40, 7100
04/19/22, 3.40, 3.50, 3.40, 3.41, 5400
04/14/22, 3.60, 3.70, 3.40, 3.41, 26400
04/13/22, 3.69, 3.69, 3.69, 3.69, 200
04/12/22, 3.70, 3.70, 3.70, 3.70, 3300
04/11/22, 3.70, 3.70, 3.40, 3.69, 2000
04/08/22, 3.60, 3.60, 3.60, 3.60, 100
04/07/22, 3.60, 3.60, 3.60, 3.60, 400
04/06/22, 3.38, 3.38, 3.38, 3.38, 100
04/05/22, 3.41, 3.64, 3.30, 3.38, 2100
04/04/22, 3.27, 3.60, 3.26, 3.31, 1600
04/01/22, 3.50, 3.50, 3.26, 3.41, 3500
03/31/22, 3.80, 3.80, 3.30, 3.49, 7700
03/30/22, 3.60, 3.60, 3.50, 3.56, 500
03/29/22, 3.50, 3.50, 3.50, 3.50, 200
03/28/22, 3.60, 3.60, 3.40, 3.59, 21000
03/25/22, 3.60, 3.60, 3.60, 3.60, 1000
03/24/22, 3.60, 3.60, 3.60, 3.60, 100
03/23/22, 3.60, 3.60, 3.60, 3.60, 6700
03/22/22, 3.70, 3.70, 3.60, 3.69, 7900
03/18/22, 3.69, 3.70, 3.69, 3.69, 3000
03/17/22, 3.61, 3.80, 3.60, 3.61, 7400
03/15/22, 3.80, 3.80, 3.60, 3.68, 13400
03/14/22, 3.80, 3.80, 3.80, 3.80, 1000
03/11/22, 3.70, 3.70, 3.70, 3.70, 400
03/10/22, 3.80, 3.80, 3.70, 3.76, 13800
03/09/22, 3.90, 3.90, 3.85, 3.90, 1100
03/07/22, 3.90, 3.90, 3.90, 3.90, 300
03/04/22, 3.70, 3.71, 3.66, 3.67, 11100
03/03/22, 3.70, 3.75, 3.70, 3.71, 7800
02/28/22, 4.00, 4.00, 4.00, 4.00, 200
02/24/22, 4.00, 4.00, 3.65, 3.85, 3300
02/23/22, 4.00, 4.00, 4.00, 4.00, 100
02/22/22, 3.99, 4.00, 3.65, 3.86, 5400
02/21/22, 4.00, 4.00, 4.00, 4.00, 6000
02/18/22, 4.00, 4.00, 3.99, 4.00, 1000
02/17/22, 4.00, 4.00, 3.85, 3.99, 4400
02/16/22, 4.00, 4.00, 4.00, 4.00, 7100
02/15/22, 4.00, 4.00, 4.00, 4.00, 12400
02/14/22, 4.00, 4.00, 4.00, 4.00, 100
02/10/22, 4.00, 4.00, 4.00, 4.00, 1000
02/09/22, 4.00, 4.10, 4.00, 4.00, 10700
02/08/22, 4.01, 4.01, 4.00, 4.00, 1900
02/07/22, 4.00, 4.14, 4.00, 4.00, 87800
02/02/22, 4.00, 4.00, 4.00, 4.00, 5400
02/01/22, 4.20, 4.20, 3.75, 4.01, 4900
01/31/22, 4.10, 4.20, 4.10, 4.14, 1700
01/28/22, 4.10, 4.10, 4.10, 4.10, 3400
01/27/22, 4.00, 4.10, 3.70, 3.82, 26000
01/26/22, 4.10, 4.10, 4.10, 4.10, 5600
01/25/22, 4.20, 4.20, 4.10, 4.14, 1000
01/24/22, 4.38, 4.38, 4.38, 4.38, 200
01/21/22, 4.00, 4.00, 4.00, 4.00, 10000
01/20/22, 4.30, 4.40, 4.30, 4.39, 15300
01/19/22, 4.40, 4.40, 4.40, 4.40, 1000
01/18/22, 4.00, 4.00, 3.85, 4.00, 8900
01/17/22, 4.00, 4.00, 4.00, 4.00, 91300
01/14/22, 3.98, 3.98, 3.90, 3.98, 22100
01/13/22, 3.98, 3.98, 3.98, 3.98, 1600
01/12/22, 4.00, 4.00, 3.96, 4.00, 302200
01/11/22, 3.99, 4.00, 3.99, 4.00, 6300
01/10/22, 3.97, 3.97, 3.97, 3.97, 200
01/07/22, 4.00, 4.00, 3.97, 3.99, 2200
01/05/22, 3.96, 4.00, 3.96, 4.00, 900
01/04/22, 4.00, 4.00, 3.96, 3.99, 1700
01/03/22, 3.96, 4.00, 3.96, 3.97, 800
12/31/21, 4.00, 4.00, 4.00, 4.00, 5500
12/29/21, 4.00, 4.00, 3.96, 4.00, 31700
12/28/21, 4.00, 4.00, 4.00, 4.00, 34800
12/24/21, 3.96, 4.00, 3.96, 3.96, 68200
12/23/21, 4.00, 4.00, 3.95, 3.96, 60200
12/22/21, 4.00, 4.00, 3.95, 3.99, 12700
12/21/21, 3.95, 3.95, 3.95, 3.95, 2000
12/20/21, 4.00, 4.00, 4.00, 4.00, 2700
12/17/21, 4.00, 4.00, 4.00, 4.00, 400
12/16/21, 3.95, 4.00, 3.95, 3.95, 83200
12/15/21, 4.00, 4.00, 3.95, 3.98, 30500
12/14/21, 4.00, 4.00, 3.94, 4.00, 54300
12/10/21, 4.00, 4.00, 4.00, 4.00, 100
12/09/21, 4.00, 4.00, 3.90, 3.98, 154700
12/08/21, 3.95, 3.95, 3.95, 3.95, 300
12/07/21, 4.00, 4.00, 3.90, 3.99, 91500
12/06/21, 4.00, 4.00, 3.85, 3.90, 1500
12/03/21, 3.90, 3.90, 3.90, 3.90, 57800
12/02/21, 3.64, 3.64, 3.64, 3.64, 2800
12/01/21, 3.95, 4.00, 3.85, 3.90, 71600
11/30/21, 3.90, 3.95, 3.90, 3.91, 52200
11/29/21, 3.85, 3.95, 3.85, 3.90, 400
11/26/21, 3.95, 3.95, 3.90, 3.93, 4100
11/25/21, 4.00, 4.00, 3.95, 3.97, 76300
11/24/21, 4.00, 4.00, 4.00, 4.00, 66200
11/23/21, 4.10, 4.10, 4.00, 4.04, 45000
11/22/21, 4.00, 4.00, 4.00, 4.00, 94100
11/19/21, 4.00, 4.00, 3.91, 3.98, 2700
11/18/21, 4.00, 4.00, 3.80, 3.98, 54700
11/17/21, 4.00, 4.00, 3.86, 3.90, 1200
11/16/21, 3.92, 3.92, 3.92, 3.92, 15400
11/15/21, 3.85, 4.00, 3.85, 3.91, 18100
11/12/21, 4.00, 4.00, 3.85, 3.93, 47300
11/11/21, 3.72, 3.95, 3.70, 3.78, 45700
11/10/21, 3.95, 4.00, 3.89, 3.95, 90300
11/09/21, 3.94, 3.94, 3.90, 3.91, 12900
11/08/21, 3.90, 3.99, 3.90, 3.91, 24200
11/05/21, 3.71, 3.98, 3.71, 3.80, 300
11/04/21, 3.90, 3.94, 3.70, 3.71, 50800
11/03/21, 3.74, 4.00, 3.74, 3.77, 2500
11/02/21, 4.00, 4.00, 3.90, 3.93, 400
11/01/21, 3.95, 3.98, 3.90, 3.96, 12300
10/29/21, 3.90, 3.99, 3.90, 3.91, 1100
10/28/21, 3.90, 3.90, 3.90, 3.90, 800
10/27/21, 3.74, 3.95, 3.72, 3.82, 4000
10/26/21, 3.91, 3.95, 3.70, 3.74, 12200
10/22/21, 4.00, 4.00, 3.95, 3.95, 26200
10/21/21, 4.00, 4.00, 3.95, 3.97, 9000
10/19/21, 3.98, 3.98, 3.98, 3.98, 3000
10/18/21, 4.00, 4.00, 3.95, 3.96, 6500
10/15/21, 3.95, 3.95, 3.95, 3.95, 5200
10/14/21, 4.00, 4.00, 3.95, 3.97, 500
10/13/21, 4.00, 4.00, 4.00, 4.00, 2200
10/12/21, 4.00, 4.00, 3.90, 3.99, 9500
10/08/21, 4.11, 4.11, 4.11, 4.11, 200
10/07/21, 4.05, 4.05, 4.05, 4.05, 100
10/06/21, 4.20, 4.20, 4.00, 4.05, 23100
10/05/21, 4.20, 4.20, 4.20, 4.20, 500
10/04/21, 4.00, 4.26, 4.00, 4.01, 108000
10/01/21, 4.00, 4.15, 4.00, 4.00, 514400
09/30/21, 4.00, 4.00, 4.00, 4.00, 16700
09/29/21, 4.10, 4.10, 4.00, 4.00, 62000
09/28/21, 4.15, 4.20, 4.15, 4.19, 700
09/27/21, 4.20, 4.20, 4.20, 4.20, 700
09/24/21, 4.00, 4.20, 4.00, 4.05, 9300
09/23/21, 4.20, 4.20, 4.20, 4.20, 100
09/22/21, 4.10, 4.20, 4.00, 4.00, 330200
09/21/21, 4.40, 4.40, 4.20, 4.30, 2100
09/20/21, 4.10, 4.40, 4.00, 4.03, 98200
09/17/21, 3.99, 4.40, 3.99, 4.14, 346900
09/16/21, 3.99, 4.00, 3.99, 4.00, 5100
09/15/21, 4.00, 4.00, 4.00, 4.00, 1600
09/14/21, 4.00, 4.00, 4.00, 4.00, 23300
09/13/21, 4.00, 4.00, 3.99, 4.00, 30400
09/10/21, 4.00, 4.00, 4.00, 4.00, 3100
09/09/21, 3.99, 4.00, 3.99, 4.00, 3600
09/08/21, 4.00, 4.00, 3.98, 3.99, 8600
09/07/21, 4.00, 4.00, 4.00, 4.00, 5200
09/06/21, 4.04, 4.04, 3.98, 3.99, 20600
09/03/21, 4.00, 4.00, 3.96, 3.99, 4700
09/02/21, 4.04, 4.04, 4.00, 4.03, 36700
09/01/21, 4.00, 4.04, 4.00, 4.02, 45400
08/31/21, 4.00, 4.00, 4.00, 4.00, 7300
08/30/21, 4.00, 4.02, 4.00, 4.00, 22700
08/27/21, 3.98, 4.00, 3.98, 3.99, 15000
08/26/21, 3.98, 4.00, 3.98, 4.00, 37400
08/25/21, 3.95, 4.00, 3.95, 3.96, 2100
08/24/21, 3.99, 4.00, 3.98, 3.99, 3400
