Date, Open, High, Low, Close, Volume
11/01/22, 7.28, 7.28, 7.28, 7.28, 11600
10/31/22, 6.82, 7.30, 6.82, 7.02, 16700
10/28/22, 7.30, 7.30, 6.80, 6.92, 61700
10/27/22, 7.40, 7.50, 7.28, 7.34, 15000
10/26/22, 7.60, 7.60, 7.50, 7.50, 3200
10/25/22, 7.40, 7.50, 7.40, 7.50, 25800
10/24/22, 7.40, 7.40, 7.30, 7.32, 1600
10/21/22, 7.50, 7.50, 7.40, 7.46, 9200
10/19/22, 7.50, 7.50, 7.40, 7.46, 7300
10/18/22, 7.50, 7.50, 7.34, 7.50, 20700
10/17/22, 7.50, 7.50, 7.30, 7.50, 7700
10/14/22, 7.50, 7.50, 7.50, 7.50, 13800
10/13/22, 8.00, 8.00, 7.50, 7.54, 31800
10/12/22, 7.80, 7.80, 7.28, 7.56, 1800
10/11/22, 7.50, 7.70, 7.28, 7.50, 22000
10/07/22, 7.10, 7.50, 7.10, 7.28, 2400
10/06/22, 7.06, 7.50, 7.00, 7.24, 16600
10/05/22, 7.50, 7.50, 7.06, 7.18, 8000
10/04/22, 7.20, 7.20, 7.00, 7.06, 10000
10/03/22, 7.40, 7.50, 7.00, 7.18, 12600
09/30/22, 7.20, 7.50, 7.20, 7.38, 20700
09/29/22, 7.00, 7.20, 7.00, 7.02, 7100
09/28/22, 7.38, 7.50, 7.04, 7.30, 14400
09/27/22, 7.00, 7.50, 7.00, 7.38, 1700
09/26/22, 7.50, 7.50, 7.50, 7.50, 11300
09/23/22, 7.50, 7.60, 6.98, 7.02, 1102500
09/22/22, 7.76, 7.76, 7.30, 7.50, 127700
09/21/22, 7.76, 7.76, 7.50, 7.66, 2600
09/20/22, 8.00, 8.00, 7.50, 7.58, 8100
09/19/22, 7.60, 8.00, 7.60, 7.76, 18400
09/16/22, 7.60, 7.60, 7.50, 7.54, 12700
09/15/22, 8.00, 8.00, 7.50, 7.88, 13900
09/14/22, 7.98, 8.00, 7.98, 8.00, 5800
09/12/22, 8.00, 8.00, 7.82, 7.96, 3400
09/09/22, 7.98, 8.00, 7.96, 7.98, 19100
09/08/22, 8.00, 8.00, 7.98, 7.98, 14500
09/07/22, 7.90, 8.00, 7.90, 7.98, 7300
09/06/22, 8.00, 8.00, 7.92, 8.00, 57700
09/05/22, 8.00, 8.00, 7.90, 7.92, 7000
09/02/22, 8.20, 8.20, 7.70, 8.02, 13600
09/01/22, 7.98, 8.20, 7.50, 8.00, 13100
08/31/22, 7.50, 7.98, 7.50, 7.60, 2300
08/30/22, 7.76, 7.98, 7.70, 7.96, 3500
08/29/22, 8.00, 8.00, 7.50, 7.72, 8900
08/26/22, 7.60, 8.00, 7.50, 7.58, 22900
08/25/22, 7.96, 7.96, 7.20, 7.54, 24500
08/24/22, 8.00, 8.00, 7.96, 7.98, 25500
