Date, Open, High, Low, Close, Volume
11/01/22, 16.50, 17.45, 16.50, 17.00, 4900
10/31/22, 16.50, 16.50, 16.50, 16.50, 700
10/28/22, 15.90, 15.90, 15.85, 15.90, 4700
10/27/22, 15.90, 16.50, 15.90, 16.15, 2000
10/26/22, 15.95, 15.95, 15.70, 15.85, 9000
10/25/22, 16.00, 16.00, 15.00, 15.70, 24400
10/24/22, 16.50, 16.50, 16.00, 16.45, 5000
10/21/22, 16.55, 16.55, 15.75, 16.00, 17700
10/19/22, 16.55, 16.55, 15.55, 15.90, 11500
10/18/22, 16.55, 16.55, 15.80, 16.00, 2000
10/17/22, 15.95, 16.00, 15.50, 15.80, 20900
10/14/22, 15.95, 16.00, 15.60, 15.90, 14600
10/13/22, 15.95, 16.00, 15.70, 15.95, 7500
10/12/22, 16.00, 16.50, 15.55, 15.95, 49200
10/11/22, 17.50, 17.50, 16.00, 16.15, 21100
10/07/22, 16.55, 16.55, 16.50, 16.55, 3500
10/06/22, 16.50, 16.55, 16.50, 16.55, 3200
10/05/22, 16.55, 16.55, 15.40, 16.45, 13800
10/04/22, 16.55, 16.55, 16.50, 16.50, 9600
10/03/22, 17.00, 17.00, 16.50, 16.65, 41400
09/30/22, 17.10, 17.10, 16.80, 16.95, 3400
09/29/22, 17.50, 17.50, 17.00, 17.10, 19800
09/28/22, 17.50, 17.50, 17.00, 17.40, 5600
09/27/22, 17.80, 17.80, 17.25, 17.30, 5400
09/26/22, 17.25, 17.80, 17.25, 17.60, 800
09/23/22, 17.90, 17.90, 17.50, 17.75, 2100
09/22/22, 18.00, 18.00, 17.00, 17.20, 6700
09/21/22, 18.10, 18.10, 16.80, 17.90, 1400
09/20/22, 18.50, 18.50, 16.65, 16.80, 32300
09/19/22, 17.95, 18.50, 17.95, 18.10, 3400
09/16/22, 18.40, 18.40, 17.95, 18.00, 41000
09/15/22, 17.00, 18.30, 17.00, 18.05, 7800
09/14/22, 18.85, 19.65, 17.00, 18.40, 18600
09/12/22, 18.00, 18.85, 17.00, 18.05, 231100
09/09/22, 18.00, 19.75, 18.00, 18.85, 113800
09/08/22, 18.50, 18.50, 17.70, 18.05, 116600
09/07/22, 18.25, 18.85, 18.00, 18.35, 7600
09/06/22, 17.70, 19.00, 17.70, 17.80, 117500
09/05/22, 18.20, 18.50, 18.00, 18.25, 9500
09/02/22, 18.50, 18.50, 18.00, 18.05, 20200
09/01/22, 18.50, 18.50, 18.50, 18.50, 400
08/31/22, 18.50, 19.00, 18.00, 18.80, 4000
08/30/22, 19.00, 19.00, 18.00, 18.00, 30100
08/29/22, 18.00, 19.00, 18.00, 18.50, 1100
08/26/22, 18.20, 18.40, 18.00, 18.20, 2900
08/25/22, 18.00, 18.00, 18.00, 18.00, 4600
08/24/22, 18.30, 18.40, 18.00, 18.05, 142800
08/23/22, 19.05, 19.05, 18.15, 18.20, 41900
