Date, Open, High, Low, Close, Volume
11/01/22, 2.85, 2.99, 2.85, 2.94, 300
10/31/22, 2.85, 2.85, 2.85, 2.85, 600
10/28/22, 2.85, 3.00, 2.85, 2.85, 4700
10/27/22, 3.00, 3.00, 2.85, 2.90, 27200
10/26/22, 2.89, 2.89, 2.86, 2.88, 2200
10/24/22, 3.00, 3.00, 2.76, 2.82, 2500
10/21/22, 3.11, 3.12, 2.75, 2.99, 2200
10/19/22, 2.95, 3.15, 2.95, 3.05, 200
10/18/22, 3.13, 3.13, 2.90, 2.91, 5500
10/17/22, 2.90, 3.00, 2.90, 3.00, 3200
10/14/22, 3.00, 3.00, 2.91, 2.92, 5500
10/13/22, 3.15, 3.15, 2.91, 2.95, 8600
10/12/22, 3.18, 3.18, 3.15, 3.15, 1100
10/11/22, 3.20, 3.20, 3.20, 3.20, 600
10/07/22, 2.91, 2.91, 2.91, 2.91, 1600
10/06/22, 3.00, 3.20, 2.90, 2.96, 36700
10/03/22, 3.00, 3.32, 3.00, 3.22, 5300
09/30/22, 3.30, 3.30, 3.30, 3.30, 300
09/28/22, 3.31, 3.31, 3.30, 3.31, 79500
09/27/22, 3.15, 3.30, 3.15, 3.22, 6500
09/26/22, 3.30, 3.30, 3.15, 3.16, 2100
09/23/22, 3.02, 3.30, 3.02, 3.16, 62100
09/22/22, 3.03, 3.30, 3.03, 3.13, 2000
09/21/22, 3.03, 3.03, 3.03, 3.03, 400
09/20/22, 3.48, 3.48, 3.30, 3.35, 1800
09/16/22, 3.45, 3.45, 3.45, 3.45, 1700
09/15/22, 3.50, 3.50, 3.45, 3.46, 600
09/14/22, 3.50, 3.51, 3.50, 3.50, 1500
09/12/22, 3.50, 3.50, 3.48, 3.50, 1600
09/09/22, 3.50, 3.50, 3.50, 3.50, 600
09/08/22, 3.51, 3.51, 3.31, 3.32, 27900
09/07/22, 3.31, 3.64, 3.31, 3.51, 3600
09/06/22, 3.60, 3.60, 3.29, 3.31, 1500
09/05/22, 3.28, 3.28, 3.28, 3.28, 7000
09/02/22, 3.28, 3.28, 3.28, 3.28, 12000
09/01/22, 3.81, 3.81, 3.27, 3.50, 1400
08/30/22, 3.60, 3.60, 3.60, 3.60, 1500
08/29/22, 3.60, 3.97, 3.60, 3.81, 3000
08/26/22, 3.70, 4.05, 3.70, 3.97, 1200
08/25/22, 3.70, 3.70, 3.70, 3.70, 200
08/23/22, 3.70, 3.70, 3.70, 3.70, 100
08/22/22, 3.95, 3.95, 3.65, 3.77, 500
08/19/22, 4.05, 4.05, 3.36, 4.04, 10100
08/17/22, 3.55, 3.89, 3.55, 3.72, 200
08/16/22, 3.89, 3.89, 3.55, 3.58, 11000
08/11/22, 3.55, 3.55, 3.55, 3.55, 19600
08/10/22, 3.55, 3.55, 3.55, 3.55, 100
08/08/22, 3.55, 3.60, 3.55, 3.56, 28100
08/05/22, 3.55, 3.55, 3.55, 3.55, 5000
08/04/22, 3.52, 3.52, 3.52, 3.52, 300
08/03/22, 3.52, 3.52, 3.51, 3.52, 2900
08/02/22, 3.90, 3.90, 3.90, 3.90, 6600
07/29/22, 3.97, 3.97, 3.97, 3.97, 1100
07/28/22, 3.97, 3.97, 3.90, 3.95, 300
07/27/22, 3.97, 3.97, 3.97, 3.97, 24100
07/25/22, 3.99, 3.99, 3.92, 3.97, 8400
07/22/22, 3.98, 3.99, 3.98, 3.98, 8100
07/21/22, 3.98, 3.98, 3.98, 3.98, 10200
07/20/22, 3.90, 4.00, 3.90, 3.99, 700
07/18/22, 4.00, 4.00, 3.60, 3.75, 14900
07/15/22, 4.00, 4.10, 4.00, 4.00, 19600
07/14/22, 4.10, 4.10, 4.00, 4.03, 15300
07/13/22, 4.00, 4.10, 4.00, 4.02, 500
07/12/22, 4.00, 4.00, 4.00, 4.00, 14100
07/08/22, 3.60, 3.97, 3.60, 3.66, 20500
07/07/22, 3.70, 3.70, 3.60, 3.61, 1000
07/05/22, 3.85, 3.85, 3.50, 3.60, 3500
07/04/22, 3.50, 3.80, 3.50, 3.53, 1100
07/01/22, 4.00, 4.00, 3.45, 3.46, 10000
06/30/22, 3.80, 3.80, 3.80, 3.80, 10000
06/29/22, 4.00, 4.18, 4.00, 4.04, 4100
06/28/22, 4.35, 4.35, 3.92, 4.05, 3100
06/27/22, 4.00, 4.38, 3.99, 4.35, 7600
06/24/22, 4.06, 4.06, 3.68, 3.99, 13100
06/23/22, 4.17, 4.21, 3.85, 4.06, 58400
06/22/22, 3.80, 3.90, 3.70, 3.84, 60900
06/21/22, 3.60, 3.85, 3.60, 3.80, 45800
06/20/22, 3.32, 3.60, 3.32, 3.50, 5300
06/17/22, 3.30, 3.30, 3.15, 3.28, 7300
06/16/22, 3.10, 3.43, 3.10, 3.32, 6300
06/15/22, 3.15, 3.15, 3.00, 3.13, 9000
06/14/22, 3.00, 3.15, 2.93, 3.06, 20500
06/13/22, 3.12, 3.12, 2.93, 3.10, 3400
06/09/22, 2.87, 3.00, 2.72, 2.93, 4500
06/08/22, 2.88, 2.88, 2.88, 2.88, 900
06/07/22, 2.87, 2.87, 2.87, 2.87, 100
06/06/22, 2.60, 2.65, 2.58, 2.61, 300
06/03/22, 2.60, 2.60, 2.60, 2.60, 1800
06/02/22, 2.62, 2.62, 2.58, 2.59, 1000
05/31/22, 2.62, 2.62, 2.62, 2.62, 15900
05/27/22, 2.60, 2.65, 2.55, 2.57, 12300
05/26/22, 2.70, 2.70, 2.70, 2.70, 14000
05/25/22, 2.55, 2.55, 2.55, 2.55, 14000
05/24/22, 2.42, 2.42, 2.42, 2.42, 600
05/23/22, 2.70, 2.70, 2.42, 2.53, 1900
05/20/22, 2.51, 2.70, 2.51, 2.54, 1500
05/19/22, 2.50, 2.54, 2.50, 2.53, 300
05/18/22, 2.60, 2.64, 2.51, 2.54, 12500
05/17/22, 2.64, 2.64, 2.64, 2.64, 2600
05/16/22, 3.00, 3.00, 2.58, 2.85, 1400
05/13/22, 2.75, 2.75, 2.70, 2.75, 21300
05/12/22, 2.80, 2.95, 2.70, 2.75, 43100
05/11/22, 2.94, 2.94, 2.74, 2.83, 700
05/10/22, 3.00, 3.00, 2.70, 2.85, 12700
05/09/22, 2.87, 3.00, 2.85, 2.95, 7700
05/06/22, 2.87, 2.87, 2.72, 2.83, 2700
05/05/22, 2.90, 2.90, 2.86, 2.86, 10100
05/04/22, 2.90, 2.90, 2.90, 2.90, 100
04/28/22, 2.80, 2.80, 2.80, 2.80, 23100
04/27/22, 2.65, 2.70, 2.50, 2.69, 11200
04/26/22, 2.50, 2.50, 2.50, 2.50, 100
04/25/22, 2.45, 2.49, 2.42, 2.47, 27900
04/22/22, 2.45, 2.45, 2.45, 2.45, 100
04/21/22, 2.42, 2.42, 2.42, 2.42, 200
04/20/22, 2.40, 2.50, 2.33, 2.42, 6400
04/19/22, 2.40, 2.40, 2.40, 2.40, 4400
04/14/22, 2.39, 2.40, 2.30, 2.33, 28000
04/13/22, 2.50, 2.50, 2.50, 2.50, 100
04/12/22, 2.21, 2.50, 2.21, 2.31, 300
04/11/22, 2.30, 2.30, 2.30, 2.30, 11200
04/08/22, 2.30, 2.30, 2.30, 2.30, 20200
04/07/22, 2.21, 2.30, 2.19, 2.21, 29500
04/06/22, 2.19, 2.20, 2.19, 2.20, 2200
04/05/22, 2.18, 2.41, 2.18, 2.18, 50200
04/04/22, 2.45, 2.45, 2.40, 2.41, 26200
04/01/22, 2.45, 2.45, 2.45, 2.45, 7100
03/31/22, 2.51, 2.51, 2.45, 2.46, 10000
03/30/22, 2.51, 2.51, 2.51, 2.51, 10400
03/29/22, 2.51, 2.51, 2.51, 2.51, 8600
03/28/22, 2.68, 2.68, 2.45, 2.47, 19300
03/25/22, 2.50, 2.50, 2.50, 2.50, 28100
03/24/22, 2.50, 2.64, 2.50, 2.51, 5200
03/23/22, 2.65, 2.65, 2.65, 2.65, 7400
03/22/22, 2.45, 2.65, 2.45, 2.53, 500
03/21/22, 2.68, 2.68, 2.40, 2.45, 19000
03/17/22, 2.45, 2.45, 2.45, 2.45, 2400
03/15/22, 2.40, 2.40, 2.40, 2.40, 100
03/14/22, 2.41, 2.66, 2.40, 2.41, 16400
03/11/22, 2.66, 2.66, 2.66, 2.66, 100
03/10/22, 2.69, 2.69, 2.69, 2.69, 500
03/09/22, 2.69, 2.70, 2.69, 2.70, 8800
03/08/22, 2.70, 2.70, 2.70, 2.70, 3700
03/07/22, 2.70, 2.70, 2.50, 2.67, 1300
03/04/22, 2.70, 2.70, 2.70, 2.70, 300
03/03/22, 2.55, 2.66, 2.50, 2.53, 1800
03/02/22, 2.50, 2.55, 2.50, 2.50, 26200
03/01/22, 2.46, 2.55, 2.46, 2.54, 21300
02/28/22, 2.70, 2.70, 2.66, 2.69, 300
02/25/22, 2.50, 2.50, 2.44, 2.46, 4500
02/24/22, 2.50, 2.75, 2.50, 2.65, 4000
02/23/22, 2.70, 2.70, 2.69, 2.70, 700
02/22/22, 2.75, 2.75, 2.43, 2.69, 87800
02/21/22, 2.68, 2.75, 2.65, 2.70, 3200
02/18/22, 2.60, 2.68, 2.60, 2.67, 1400
02/17/22, 2.62, 2.62, 2.40, 2.44, 900
02/16/22, 2.37, 2.62, 2.37, 2.61, 10500
02/15/22, 2.61, 2.62, 2.58, 2.61, 22900
02/14/22, 2.78, 2.78, 2.60, 2.62, 5800
02/11/22, 2.80, 2.82, 2.80, 2.81, 6800
02/08/22, 2.70, 2.82, 2.70, 2.76, 1000
02/07/22, 2.66, 2.66, 2.66, 2.66, 200
02/04/22, 2.80, 2.83, 2.75, 2.77, 1700
02/03/22, 2.66, 2.67, 2.66, 2.66, 800
02/02/22, 2.67, 2.67, 2.67, 2.67, 400
02/01/22, 2.67, 2.67, 2.67, 2.67, 100
01/28/22, 2.84, 2.84, 2.66, 2.67, 5800
01/27/22, 2.65, 2.66, 2.65, 2.66, 1000
01/26/22, 2.86, 2.86, 2.66, 2.66, 37900
01/25/22, 2.70, 2.74, 2.70, 2.74, 5200
01/24/22, 2.74, 2.74, 2.65, 2.71, 3200
01/21/22, 2.74, 2.74, 2.74, 2.74, 8300
01/20/22, 2.61, 2.65, 2.61, 2.65, 59600
01/19/22, 2.54, 2.75, 2.54, 2.54, 5500
01/17/22, 2.54, 2.84, 2.50, 2.52, 12100
01/14/22, 2.75, 2.75, 2.54, 2.61, 131900
01/13/22, 2.70, 2.86, 2.70, 2.75, 1800
01/12/22, 2.68, 2.87, 2.61, 2.74, 3000
01/11/22, 2.78, 2.85, 2.71, 2.82, 9100
01/10/22, 2.70, 2.78, 2.60, 2.68, 7400
01/07/22, 2.81, 2.82, 2.60, 2.78, 600
01/05/22, 2.58, 2.83, 2.58, 2.80, 1800
01/04/22, 2.60, 2.82, 2.60, 2.80, 1300
01/03/22, 2.85, 2.85, 2.85, 2.85, 1500
12/31/21, 2.78, 2.97, 2.78, 2.86, 2500
12/30/21, 2.77, 2.78, 2.77, 2.78, 11000
12/29/21, 2.77, 2.78, 2.77, 2.78, 900
12/28/21, 2.78, 2.78, 2.55, 2.68, 3800
12/24/21, 2.78, 2.78, 2.78, 2.78, 600
12/23/21, 2.78, 2.78, 2.78, 2.78, 300
12/22/21, 2.54, 2.54, 2.54, 2.54, 8500
12/21/21, 2.78, 2.78, 2.70, 2.73, 600
12/20/21, 2.80, 2.80, 2.69, 2.77, 700
12/17/21, 2.80, 2.80, 2.80, 2.80, 17500
12/14/21, 2.90, 2.90, 2.50, 2.69, 3400
12/10/21, 2.70, 2.97, 2.70, 2.75, 1200
12/09/21, 2.70, 2.72, 2.70, 2.70, 5700
12/08/21, 2.70, 2.70, 2.70, 2.70, 2800
12/07/21, 3.00, 3.00, 2.83, 3.00, 34200
12/06/21, 2.85, 3.00, 2.70, 2.89, 86700
12/03/21, 2.88, 2.88, 2.75, 2.77, 7600
12/02/21, 2.89, 2.89, 2.89, 2.89, 100
12/01/21, 2.85, 2.85, 2.60, 2.74, 800
11/30/21, 2.87, 2.87, 2.68, 2.68, 11100
11/29/21, 2.70, 2.70, 2.60, 2.68, 4300
11/26/21, 2.87, 2.87, 2.60, 2.65, 1800
11/25/21, 2.90, 2.90, 2.60, 2.63, 17000
11/24/21, 2.63, 3.14, 2.63, 2.65, 3300
11/23/21, 2.87, 2.87, 2.87, 2.87, 100
11/22/21, 2.61, 2.99, 2.60, 2.61, 7100
11/19/21, 2.71, 2.97, 2.71, 2.85, 4200
11/18/21, 2.71, 2.71, 2.71, 2.71, 4500
11/16/21, 2.71, 2.71, 2.71, 2.71, 2200
11/15/21, 3.00, 3.00, 2.71, 2.89, 4500
11/12/21, 3.00, 3.00, 2.80, 2.99, 21500
11/11/21, 2.70, 3.00, 2.70, 2.99, 18300
11/10/21, 2.99, 3.00, 2.99, 2.99, 2300
11/09/21, 3.00, 3.00, 2.69, 2.81, 20000
11/08/21, 3.00, 3.00, 2.85, 2.97, 500
11/05/21, 3.00, 3.14, 2.95, 3.01, 23900
11/04/21, 3.00, 3.00, 3.00, 3.00, 1400
11/03/21, 3.00, 3.00, 3.00, 3.00, 2400
11/02/21, 3.00, 3.00, 3.00, 3.00, 23700
11/01/21, 3.00, 3.15, 2.80, 2.86, 10300
10/29/21, 3.00, 3.15, 3.00, 3.04, 1100
10/28/21, 3.15, 3.15, 3.00, 3.01, 1300
10/27/21, 3.15, 3.15, 3.00, 3.01, 10900
10/26/21, 3.00, 3.00, 3.00, 3.00, 10400
10/25/21, 3.15, 3.15, 3.15, 3.15, 3600
10/22/21, 3.15, 3.15, 3.00, 3.02, 18200
10/21/21, 3.15, 3.15, 3.05, 3.14, 1200
10/19/21, 3.15, 3.15, 3.00, 3.07, 6200
10/18/21, 3.15, 3.15, 3.00, 3.01, 21600
10/15/21, 3.15, 3.20, 3.13, 3.15, 20800
10/14/21, 3.15, 3.15, 3.00, 3.11, 64300
10/13/21, 3.14, 3.14, 3.14, 3.14, 500
10/12/21, 3.14, 3.14, 3.12, 3.14, 2500
10/08/21, 3.30, 3.30, 3.10, 3.14, 10000
10/07/21, 3.15, 3.50, 3.15, 3.41, 13800
10/06/21, 3.55, 3.55, 3.20, 3.39, 300
10/05/21, 3.26, 3.26, 3.15, 3.25, 26600
10/04/21, 3.50, 3.50, 3.20, 3.26, 3700
10/01/21, 3.42, 3.42, 3.26, 3.42, 11700
09/30/21, 3.20, 3.42, 3.20, 3.26, 700
09/29/21, 3.32, 3.50, 3.30, 3.42, 16900
09/28/21, 3.50, 3.50, 3.50, 3.50, 3000
09/27/21, 3.50, 3.50, 3.25, 3.32, 2900
09/24/21, 3.50, 3.50, 3.50, 3.50, 4000
09/23/21, 3.20, 3.50, 3.20, 3.34, 1400
09/22/21, 3.28, 3.50, 3.00, 3.21, 51000
09/21/21, 3.40, 3.40, 3.14, 3.27, 4200
09/20/21, 3.40, 3.40, 3.40, 3.40, 5000
09/16/21, 3.49, 3.49, 3.40, 3.44, 2700
09/15/21, 3.73, 3.73, 3.49, 3.51, 2000
09/14/21, 3.85, 3.85, 3.49, 3.73, 300
