Date, Open, High, Low, Close, Volume
10/31/22, 21.00, 21.00, 21.00, 21.00, 24500
10/28/22, 21.00, 21.00, 21.00, 21.00, 1000
10/26/22, 21.00, 21.00, 21.00, 21.00, 300
10/25/22, 20.95, 20.95, 20.00, 20.30, 1500
10/21/22, 20.90, 21.95, 20.00, 20.95, 4500
10/19/22, 20.45, 21.00, 20.45, 20.80, 1200
10/18/22, 20.45, 20.45, 20.00, 20.05, 1300
10/17/22, 20.00, 20.45, 20.00, 20.45, 3600
10/14/22, 19.80, 21.00, 19.45, 21.00, 19700
10/13/22, 21.95, 21.95, 21.00, 21.55, 800
10/11/22, 22.00, 22.00, 21.50, 21.95, 1900
10/07/22, 23.00, 23.70, 23.00, 23.05, 1300
10/06/22, 23.00, 23.00, 23.00, 23.00, 200
10/05/22, 23.70, 23.70, 23.70, 23.70, 3300
10/04/22, 23.00, 23.00, 23.00, 23.00, 600
10/03/22, 24.00, 24.00, 23.70, 23.75, 5300
09/30/22, 23.50, 24.00, 23.50, 23.75, 400
09/29/22, 23.50, 23.90, 23.50, 23.85, 1100
09/28/22, 23.90, 23.90, 23.90, 23.90, 900
09/27/22, 23.90, 23.90, 23.90, 23.90, 1200
09/26/22, 23.90, 24.00, 23.90, 23.95, 4500
09/23/22, 23.90, 23.90, 23.90, 23.90, 4200
09/22/22, 23.00, 24.00, 23.00, 23.90, 1100
09/21/22, 24.00, 24.00, 24.00, 24.00, 500
09/20/22, 22.00, 24.00, 22.00, 22.35, 1400
09/19/22, 22.10, 22.10, 22.10, 22.10, 1900
09/16/22, 22.10, 22.10, 22.10, 22.10, 2500
09/15/22, 22.10, 22.10, 22.10, 22.10, 1000
09/14/22, 23.95, 23.95, 22.10, 23.60, 500
09/12/22, 22.10, 22.10, 22.10, 22.10, 700
09/09/22, 23.00, 23.50, 23.00, 23.20, 2800
09/08/22, 23.00, 23.00, 23.00, 23.00, 100
09/07/22, 22.50, 23.00, 22.00, 22.50, 3500
09/06/22, 23.50, 23.50, 22.00, 22.50, 1100
09/05/22, 23.50, 23.50, 23.00, 23.15, 300
