Date, Open, High, Low, Close, Volume
11/01/22, 3.15, 3.15, 3.00, 3.02, 107700
10/31/22, 3.15, 3.15, 3.10, 3.14, 20200
10/28/22, 3.15, 3.20, 3.15, 3.15, 23500
10/27/22, 3.25, 3.25, 3.01, 3.09, 7000
10/26/22, 3.20, 3.20, 3.00, 3.01, 123100
10/25/22, 3.20, 3.20, 3.18, 3.20, 6300
10/24/22, 3.34, 3.34, 3.28, 3.31, 900
10/21/22, 3.30, 3.30, 3.30, 3.30, 800
10/19/22, 3.33, 3.33, 3.25, 3.33, 5300
10/18/22, 3.33, 3.33, 3.30, 3.33, 4200
10/17/22, 3.20, 3.35, 3.20, 3.26, 1700
10/14/22, 3.20, 3.30, 3.20, 3.23, 3400
10/13/22, 3.25, 3.25, 3.20, 3.21, 5100
10/12/22, 3.25, 3.25, 3.20, 3.25, 5800
10/11/22, 3.00, 3.35, 3.00, 3.09, 31900
10/07/22, 3.20, 3.25, 2.97, 3.11, 37100
10/06/22, 3.20, 3.30, 3.10, 3.20, 74300
10/05/22, 3.40, 3.40, 3.18, 3.30, 60900
10/04/22, 3.50, 3.50, 3.40, 3.40, 23900
10/03/22, 3.17, 3.40, 3.17, 3.19, 11000
09/30/22, 3.50, 3.55, 3.40, 3.46, 15600
09/29/22, 3.59, 3.59, 3.40, 3.52, 1900
09/28/22, 3.60, 3.60, 3.50, 3.59, 10600
09/27/22, 3.50, 3.52, 3.40, 3.47, 36200
09/26/22, 3.50, 3.54, 3.50, 3.50, 8100
09/23/22, 3.50, 3.50, 3.30, 3.40, 17400
09/22/22, 3.46, 3.50, 3.35, 3.44, 2000
09/21/22, 3.59, 3.59, 3.30, 3.46, 53100
09/20/22, 3.60, 3.60, 3.50, 3.50, 59100
09/19/22, 3.70, 3.70, 3.47, 3.64, 8500
09/16/22, 3.60, 3.65, 3.30, 3.50, 46600
09/15/22, 3.51, 3.65, 3.50, 3.56, 4700
09/14/22, 3.60, 3.60, 3.50, 3.52, 6900
09/12/22, 3.60, 3.70, 3.55, 3.60, 39400
09/09/22, 3.70, 3.70, 3.70, 3.70, 1100
09/08/22, 3.70, 3.70, 3.60, 3.62, 68400
09/07/22, 3.78, 3.78, 3.60, 3.72, 44100
09/06/22, 3.65, 3.78, 3.50, 3.66, 46000
09/05/22, 3.72, 3.78, 3.72, 3.77, 700
09/02/22, 3.64, 3.75, 3.64, 3.74, 25000
09/01/22, 3.70, 3.75, 3.70, 3.70, 12600
08/31/22, 3.70, 3.70, 3.70, 3.70, 11500
08/30/22, 3.69, 3.80, 3.69, 3.79, 18000
08/29/22, 3.70, 3.70, 3.70, 3.70, 3700
08/26/22, 3.65, 3.70, 3.60, 3.64, 41100
08/25/22, 3.66, 3.70, 3.65, 3.68, 5200
08/24/22, 3.70, 3.90, 3.66, 3.66, 52500
08/23/22, 3.63, 3.80, 3.63, 3.67, 9300
08/22/22, 3.75, 3.90, 3.60, 3.65, 51200
08/19/22, 3.92, 3.92, 3.57, 3.70, 17700
08/18/22, 3.57, 3.58, 3.57, 3.57, 2100
08/17/22, 3.98, 3.98, 3.56, 3.86, 7200
08/16/22, 3.90, 4.00, 3.58, 3.63, 122700
08/15/22, 3.90, 4.08, 3.90, 3.95, 12300
08/12/22, 3.90, 4.16, 3.88, 3.91, 13200
08/11/22, 3.60, 4.19, 3.58, 3.86, 3500
08/10/22, 3.88, 3.88, 3.88, 3.88, 300
08/08/22, 3.58, 3.58, 3.58, 3.58, 2800
