Date, Open, High, Low, Close, Volume
11/01/22, 15.95, 15.95, 15.95, 15.95, 13800
10/31/22, 16.00, 16.00, 16.00, 16.00, 11000
10/28/22, 16.00, 16.00, 16.00, 16.00, 3000
10/27/22, 15.00, 15.40, 15.00, 15.15, 2300
10/26/22, 15.35, 15.40, 15.35, 15.35, 1500
10/25/22, 14.45, 15.40, 14.45, 15.05, 11900
10/24/22, 14.00, 14.00, 14.00, 14.00, 1000
10/21/22, 14.45, 14.45, 14.45, 14.45, 100
10/18/22, 14.50, 14.50, 14.00, 14.15, 800
10/17/22, 14.00, 14.00, 14.00, 14.00, 10200
10/12/22, 13.00, 13.00, 13.00, 13.00, 500
10/11/22, 14.00, 14.00, 14.00, 14.00, 5900
10/07/22, 14.00, 14.00, 14.00, 14.00, 1000
10/06/22, 14.00, 14.00, 14.00, 14.00, 1900
10/05/22, 14.00, 14.00, 13.00, 14.00, 8300
10/04/22, 14.00, 14.00, 14.00, 14.00, 2300
10/03/22, 13.05, 13.05, 13.05, 13.05, 1500
09/30/22, 13.50, 13.50, 13.00, 13.00, 6000
09/29/22, 14.00, 14.00, 14.00, 14.00, 1000
09/28/22, 13.55, 14.00, 13.55, 14.00, 68900
09/27/22, 14.00, 14.80, 13.55, 14.00, 14600
09/26/22, 14.00, 14.00, 13.50, 13.90, 1500
09/23/22, 14.00, 14.00, 14.00, 14.00, 300
09/22/22, 14.00, 14.00, 14.00, 14.00, 1400
09/21/22, 13.80, 13.80, 13.80, 13.80, 1400
09/20/22, 14.80, 14.80, 14.80, 14.80, 1200
09/16/22, 16.40, 16.40, 16.40, 16.40, 200
09/14/22, 16.40, 16.40, 16.40, 16.40, 400
09/12/22, 16.20, 16.20, 16.20, 16.20, 1000
09/02/22, 16.00, 16.90, 16.00, 16.45, 600
08/31/22, 17.00, 17.00, 17.00, 17.00, 100
08/26/22, 16.95, 16.95, 16.95, 16.95, 300
08/24/22, 17.50, 17.50, 17.50, 17.50, 100
08/19/22, 17.50, 17.50, 15.35, 16.70, 2400
08/17/22, 15.30, 17.00, 15.30, 16.95, 122800
08/16/22, 17.00, 17.80, 17.00, 17.00, 35800
08/15/22, 17.00, 17.00, 16.30, 16.95, 20800
08/12/22, 16.85, 18.00, 16.85, 16.95, 50500
08/11/22, 16.85, 16.85, 16.85, 16.85, 100
08/10/22, 16.90, 16.90, 16.90, 16.90, 1700
08/08/22, 15.40, 15.40, 15.40, 15.40, 500
08/05/22, 15.30, 15.30, 15.30, 15.30, 500
08/04/22, 17.00, 17.00, 17.00, 17.00, 1500
08/03/22, 17.00, 17.00, 17.00, 17.00, 5000
08/02/22, 17.00, 17.00, 17.00, 17.00, 100
07/29/22, 16.90, 17.00, 16.90, 17.00, 20000
07/28/22, 16.10, 16.10, 16.10, 16.10, 400
07/27/22, 16.00, 16.15, 16.00, 16.00, 1100
07/25/22, 14.70, 14.70, 14.70, 14.70, 200
07/21/22, 14.70, 14.70, 14.70, 14.70, 100
07/18/22, 14.85, 14.85, 14.85, 14.85, 1000
07/14/22, 13.50, 13.60, 13.50, 13.50, 3300
07/13/22, 13.50, 13.50, 13.50, 13.50, 1700
07/07/22, 13.80, 13.80, 13.80, 13.80, 900
06/29/22, 13.80, 13.80, 13.80, 13.80, 100
06/28/22, 12.50, 13.80, 12.50, 12.60, 1300
06/23/22, 12.55, 12.55, 12.50, 12.55, 1800
06/22/22, 12.85, 12.85, 12.85, 12.85, 300
06/21/22, 12.55, 12.55, 12.55, 12.55, 200
06/20/22, 12.55, 13.00, 12.55, 12.85, 300
06/17/22, 13.00, 13.00, 13.00, 13.00, 200
06/16/22, 13.00, 13.00, 12.50, 12.65, 1500
06/15/22, 12.50, 12.50, 12.50, 12.50, 5000
06/14/22, 12.50, 12.50, 12.50, 12.50, 25000
06/13/22, 12.50, 13.40, 12.50, 12.95, 200
06/09/22, 12.05, 13.00, 12.05, 12.70, 1700
06/07/22, 12.00, 12.00, 12.00, 12.00, 93000
06/06/22, 12.00, 12.00, 12.00, 12.00, 6400
06/03/22, 12.00, 12.00, 12.00, 12.00, 10000
06/02/22, 11.50, 12.00, 11.50, 11.60, 3700
05/31/22, 11.95, 11.95, 11.50, 11.50, 7000
05/30/22, 11.95, 11.95, 11.95, 11.95, 400
05/27/22, 11.50, 11.95, 11.50, 11.90, 600
05/26/22, 12.00, 12.00, 11.50, 11.90, 4100
05/25/22, 12.40, 12.40, 12.40, 12.40, 1400
05/24/22, 12.00, 12.00, 12.00, 12.00, 200
05/23/22, 12.00, 12.00, 12.00, 12.00, 1200
05/20/22, 12.00, 12.00, 12.00, 12.00, 600
05/16/22, 12.45, 12.45, 12.45, 12.45, 300
