Date, Open, High, Low, Close, Volume
11/01/22, 24.00, 24.00, 24.00, 24.00, 300
10/31/22, 24.00, 24.40, 23.00, 23.70, 1000
10/28/22, 24.00, 24.00, 22.90, 23.65, 600
10/27/22, 23.00, 24.00, 22.90, 23.05, 3600
10/26/22, 24.00, 24.00, 23.00, 23.00, 42400
10/25/22, 23.00, 25.00, 23.00, 24.95, 19700
10/24/22, 23.00, 23.00, 23.00, 23.00, 100
10/21/22, 23.00, 25.00, 23.00, 23.20, 2200
10/19/22, 22.95, 23.00, 22.70, 23.00, 4700
10/18/22, 23.00, 23.00, 22.75, 22.95, 5900
10/17/22, 23.00, 23.00, 22.70, 22.95, 3600
10/14/22, 22.70, 23.00, 22.70, 22.90, 3600
10/13/22, 23.00, 23.00, 22.70, 22.75, 7600
10/11/22, 25.00, 25.00, 23.45, 24.05, 5900
10/07/22, 23.80, 23.80, 23.50, 23.75, 2800
10/06/22, 24.00, 24.00, 23.70, 23.80, 2700
10/05/22, 25.75, 25.75, 24.50, 25.15, 200
10/04/22, 25.00, 25.00, 25.00, 25.00, 400
10/03/22, 23.55, 23.55, 23.00, 23.45, 1700
09/30/22, 23.00, 25.00, 23.00, 23.55, 2200
09/29/22, 23.00, 25.25, 22.70, 24.40, 6300
09/28/22, 23.00, 23.00, 23.00, 23.00, 1900
09/27/22, 23.00, 23.00, 23.00, 23.00, 1300
09/26/22, 23.00, 23.00, 22.30, 22.75, 300
09/23/22, 24.00, 24.00, 23.50, 24.00, 3800
09/22/22, 24.00, 24.00, 24.00, 24.00, 700
09/21/22, 22.25, 22.25, 22.25, 22.25, 87500
09/20/22, 22.50, 23.50, 22.25, 22.70, 27600
09/19/22, 25.00, 26.00, 22.25, 23.70, 25700
09/16/22, 24.50, 24.50, 24.50, 24.50, 2600
09/14/22, 22.90, 22.90, 22.90, 22.90, 100
09/12/22, 23.00, 25.00, 23.00, 24.85, 1400
09/09/22, 25.00, 25.00, 25.00, 25.00, 100
09/08/22, 23.10, 23.10, 22.80, 23.00, 19400
09/06/22, 26.40, 26.40, 25.25, 25.25, 10400
09/05/22, 24.00, 25.00, 24.00, 24.80, 6700
09/02/22, 23.30, 23.30, 23.30, 23.30, 800
09/01/22, 24.00, 24.00, 23.00, 23.30, 27500
08/31/22, 24.95, 24.95, 24.95, 24.95, 3100
08/30/22, 24.00, 25.00, 24.00, 24.95, 6400
08/29/22, 24.00, 25.00, 24.00, 24.50, 2000
08/26/22, 24.45, 24.45, 24.25, 24.35, 5400
08/25/22, 26.30, 26.30, 24.00, 25.50, 3400
08/24/22, 24.50, 24.50, 24.00, 24.20, 2400
08/23/22, 24.10, 24.50, 24.10, 24.45, 600
08/22/22, 24.00, 24.00, 24.00, 24.00, 2400
08/19/22, 24.50, 24.50, 24.00, 24.00, 35200
08/18/22, 25.00, 25.00, 24.00, 24.05, 6800
08/17/22, 23.50, 23.50, 23.50, 23.50, 3000
08/16/22, 24.00, 26.30, 24.00, 25.85, 1100
08/15/22, 24.00, 24.00, 24.00, 24.00, 3500
08/12/22, 24.00, 24.00, 24.00, 24.00, 1200
08/11/22, 24.00, 24.00, 24.00, 24.00, 1300
08/08/22, 23.50, 23.50, 22.50, 22.60, 17100
08/05/22, 23.50, 23.50, 23.50, 23.50, 1000
08/04/22, 24.00, 24.00, 24.00, 24.00, 1600
08/03/22, 24.00, 24.00, 24.00, 24.00, 200
08/02/22, 23.50, 24.00, 23.50, 23.70, 500
08/01/22, 23.00, 23.50, 23.00, 23.05, 1400
07/29/22, 22.50, 22.50, 22.00, 22.40, 900
07/28/22, 23.00, 23.00, 22.50, 22.90, 800
07/27/22, 23.00, 23.00, 23.00, 23.00, 1500
07/25/22, 23.00, 23.00, 23.00, 23.00, 1900
07/22/22, 23.00, 23.00, 23.00, 23.00, 1200
07/21/22, 23.00, 23.00, 23.00, 23.00, 900
07/20/22, 21.60, 23.00, 21.60, 23.00, 13400
07/19/22, 23.00, 23.00, 21.00, 22.20, 4700
07/18/22, 23.50, 23.50, 23.00, 23.20, 1600
07/15/22, 23.00, 23.95, 22.50, 22.75, 2500
07/14/22, 23.00, 23.50, 23.00, 23.10, 900
07/13/22, 24.00, 24.00, 24.00, 24.00, 100
07/12/22, 24.50, 24.50, 24.50, 24.50, 200
07/08/22, 24.50, 24.50, 24.50, 24.50, 400
07/07/22, 24.00, 24.00, 24.00, 24.00, 10100
07/05/22, 22.30, 23.40, 22.30, 22.45, 4000
07/04/22, 23.40, 23.40, 23.40, 23.40, 1400
07/01/22, 22.50, 22.50, 22.50, 22.50, 6600
06/30/22, 23.50, 23.50, 23.20, 23.45, 2000
06/29/22, 23.30, 23.30, 23.30, 23.30, 200
06/28/22, 23.40, 23.40, 23.40, 23.40, 1000
06/27/22, 23.40, 23.40, 22.50, 22.55, 5100
06/24/22, 23.30, 23.30, 23.30, 23.30, 7400
06/23/22, 23.50, 23.50, 23.40, 23.45, 1200
06/22/22, 22.60, 23.50, 22.60, 23.40, 2300
06/21/22, 24.20, 24.20, 24.00, 24.00, 1100
06/20/22, 24.00, 24.00, 22.60, 23.90, 1300
06/17/22, 23.30, 24.00, 23.30, 23.75, 3500
06/16/22, 23.00, 23.00, 22.00, 22.25, 1100
06/15/22, 23.00, 23.35, 23.00, 23.35, 7900
06/14/22, 23.45, 24.50, 23.00, 23.20, 7500
06/13/22, 23.30, 23.45, 23.30, 23.40, 1400
06/10/22, 23.45, 23.45, 23.45, 23.45, 1100
06/09/22, 23.50, 23.50, 23.45, 23.50, 50600
06/07/22, 23.05, 23.05, 20.65, 21.75, 1700
06/06/22, 22.85, 22.90, 22.85, 22.85, 900
06/03/22, 22.90, 22.90, 22.90, 22.90, 8300
06/02/22, 22.90, 24.50, 22.90, 23.05, 5200
05/31/22, 22.70, 22.90, 22.70, 22.85, 300
05/30/22, 22.90, 22.90, 22.90, 22.90, 3700
05/27/22, 22.70, 22.70, 22.70, 22.70, 200
05/26/22, 22.80, 22.80, 22.80, 22.80, 100
05/25/22, 22.70, 22.70, 22.70, 22.70, 100
05/24/22, 22.90, 22.90, 22.70, 22.85, 1100
05/23/22, 22.90, 22.90, 22.50, 22.70, 1000
05/20/22, 22.90, 22.90, 22.90, 22.90, 200
05/19/22, 23.00, 23.00, 22.90, 22.95, 1000
05/18/22, 22.80, 23.00, 22.80, 22.90, 2500
05/17/22, 23.00, 23.00, 23.00, 23.00, 1200
