Date, Open, High, Low, Close, Volume
11/01/22, 0.28, 0.28, 0.25, 0.25, 14800
10/31/22, 0.28, 0.28, 0.26, 0.27, 23500
10/28/22, 0.28, 0.28, 0.26, 0.28, 11900
10/27/22, 0.27, 0.29, 0.27, 0.28, 13200
10/26/22, 0.26, 0.29, 0.25, 0.28, 111100
10/25/22, 0.27, 0.27, 0.26, 0.27, 13100
10/24/22, 0.28, 0.28, 0.27, 0.27, 17400
10/21/22, 0.27, 0.27, 0.27, 0.27, 17600
10/19/22, 0.25, 0.28, 0.25, 0.28, 110400
10/18/22, 0.26, 0.27, 0.26, 0.27, 25400
10/17/22, 0.27, 0.28, 0.27, 0.27, 13000
10/14/22, 0.26, 0.26, 0.26, 0.26, 54100
10/13/22, 0.26, 0.26, 0.25, 0.26, 101400
10/12/22, 0.27, 0.27, 0.25, 0.26, 121800
10/11/22, 0.26, 0.27, 0.26, 0.27, 71500
10/07/22, 0.25, 0.26, 0.25, 0.25, 105400
10/06/22, 0.24, 0.25, 0.24, 0.25, 30600
10/05/22, 0.26, 0.26, 0.24, 0.25, 32800
10/04/22, 0.26, 0.26, 0.25, 0.26, 16800
10/03/22, 0.26, 0.26, 0.25, 0.25, 2800
09/30/22, 0.25, 0.25, 0.23, 0.24, 108900
09/29/22, 0.26, 0.26, 0.23, 0.25, 7800
09/28/22, 0.25, 0.25, 0.23, 0.25, 60900
09/27/22, 0.26, 0.26, 0.25, 0.25, 89300
09/26/22, 0.25, 0.26, 0.25, 0.26, 20200
09/23/22, 0.26, 0.26, 0.25, 0.26, 2400
09/22/22, 0.25, 0.27, 0.24, 0.25, 11500
09/21/22, 0.25, 0.25, 0.25, 0.25, 100
09/20/22, 0.21, 0.25, 0.21, 0.24, 70400
09/19/22, 0.25, 0.25, 0.23, 0.23, 46200
09/16/22, 0.26, 0.26, 0.25, 0.25, 112900
09/15/22, 0.27, 0.27, 0.25, 0.26, 8300
09/14/22, 0.29, 0.29, 0.25, 0.26, 4300
09/12/22, 0.27, 0.29, 0.25, 0.27, 23200
09/09/22, 0.27, 0.27, 0.26, 0.27, 52600
09/08/22, 0.29, 0.29, 0.27, 0.27, 50400
09/07/22, 0.27, 0.28, 0.27, 0.27, 227000
09/06/22, 0.24, 0.27, 0.24, 0.27, 20700
09/05/22, 0.25, 0.25, 0.25, 0.25, 10900
09/02/22, 0.26, 0.26, 0.24, 0.24, 13100
09/01/22, 0.24, 0.24, 0.24, 0.24, 20200
08/31/22, 0.24, 0.24, 0.24, 0.24, 1300
08/30/22, 0.23, 0.23, 0.22, 0.23, 3800
08/29/22, 0.24, 0.24, 0.24, 0.24, 8000
08/26/22, 0.24, 0.27, 0.24, 0.24, 7000
08/25/22, 0.25, 0.25, 0.23, 0.25, 16100
08/24/22, 0.25, 0.27, 0.25, 0.25, 37000
08/23/22, 0.27, 0.27, 0.25, 0.25, 1600
08/22/22, 0.27, 0.27, 0.25, 0.27, 9400
08/19/22, 0.26, 0.28, 0.26, 0.27, 65700
08/18/22, 0.27, 0.29, 0.27, 0.27, 47300
08/17/22, 0.29, 0.29, 0.27, 0.27, 6500
08/16/22, 0.27, 0.29, 0.25, 0.27, 145400
08/15/22, 0.27, 0.27, 0.25, 0.27, 127100
08/12/22, 0.27, 0.27, 0.27, 0.27, 11400
08/11/22, 0.27, 0.27, 0.26, 0.27, 14200
08/10/22, 0.25, 0.27, 0.23, 0.27, 102700
08/08/22, 0.23, 0.26, 0.22, 0.25, 90900
08/05/22, 0.23, 0.24, 0.23, 0.24, 18700
08/04/22, 0.22, 0.23, 0.22, 0.22, 18500
08/03/22, 0.22, 0.23, 0.20, 0.22, 63200
08/02/22, 0.23, 0.23, 0.20, 0.22, 3300
08/01/22, 0.20, 0.23, 0.20, 0.21, 96200
07/29/22, 0.21, 0.21, 0.20, 0.21, 98100
07/28/22, 0.21, 0.21, 0.19, 0.20, 413900
07/27/22, 0.19, 0.20, 0.19, 0.20, 4500
07/25/22, 0.19, 0.19, 0.19, 0.19, 8200
07/22/22, 0.19, 0.21, 0.18, 0.18, 286100
07/21/22, 0.20, 0.20, 0.19, 0.20, 2500
07/20/22, 0.20, 0.20, 0.19, 0.20, 6800
07/18/22, 0.19, 0.19, 0.19, 0.19, 200
07/15/22, 0.19, 0.19, 0.19, 0.19, 6500
07/14/22, 0.18, 0.19, 0.18, 0.19, 70200
07/13/22, 0.19, 0.19, 0.18, 0.19, 12100
07/12/22, 0.20, 0.20, 0.18, 0.18, 34400
07/08/22, 0.20, 0.21, 0.19, 0.20, 60500
07/07/22, 0.19, 0.20, 0.19, 0.20, 15200
07/06/22, 0.20, 0.20, 0.19, 0.20, 5600
07/05/22, 0.19, 0.19, 0.19, 0.19, 86700
07/04/22, 0.19, 0.19, 0.18, 0.18, 58600
07/01/22, 0.18, 0.19, 0.18, 0.18, 273200
06/30/22, 0.18, 0.18, 0.17, 0.18, 200
06/29/22, 0.17, 0.18, 0.17, 0.17, 210200
06/28/22, 0.18, 0.18, 0.17, 0.17, 276400
06/27/22, 0.18, 0.18, 0.18, 0.18, 52800
06/24/22, 0.18, 0.18, 0.18, 0.18, 6300
06/23/22, 0.17, 0.17, 0.17, 0.17, 39100
06/22/22, 0.17, 0.17, 0.16, 0.16, 96000
06/21/22, 0.18, 0.18, 0.17, 0.17, 33900
06/17/22, 0.18, 0.18, 0.17, 0.17, 61600
06/16/22, 0.17, 0.18, 0.17, 0.17, 39900
06/15/22, 0.17, 0.17, 0.17, 0.17, 22500
06/14/22, 0.18, 0.18, 0.17, 0.17, 42900
06/13/22, 0.18, 0.18, 0.18, 0.18, 132000
06/10/22, 0.17, 0.17, 0.17, 0.17, 85900
06/09/22, 0.18, 0.18, 0.17, 0.17, 16800
06/08/22, 0.18, 0.18, 0.18, 0.18, 10400
06/07/22, 0.19, 0.19, 0.18, 0.18, 53600
06/06/22, 0.21, 0.21, 0.18, 0.19, 41800
06/03/22, 0.19, 0.21, 0.19, 0.20, 6800
06/02/22, 0.21, 0.21, 0.19, 0.20, 7600
05/31/22, 0.20, 0.20, 0.20, 0.20, 131100
05/30/22, 0.19, 0.19, 0.18, 0.19, 6300
05/27/22, 0.19, 0.20, 0.18, 0.18, 82200
05/26/22, 0.19, 0.20, 0.19, 0.19, 21800
05/25/22, 0.19, 0.20, 0.19, 0.19, 1800
05/24/22, 0.20, 0.20, 0.19, 0.20, 39000
05/23/22, 0.19, 0.19, 0.18, 0.19, 10000
05/20/22, 0.19, 0.20, 0.19, 0.19, 6300
05/19/22, 0.20, 0.20, 0.19, 0.19, 5900
05/18/22, 0.20, 0.21, 0.20, 0.20, 10900
05/17/22, 0.19, 0.20, 0.19, 0.20, 3400
05/16/22, 0.19, 0.19, 0.19, 0.19, 500
05/13/22, 0.19, 0.19, 0.19, 0.19, 900
05/12/22, 0.20, 0.20, 0.20, 0.20, 3800
05/11/22, 0.22, 0.22, 0.20, 0.21, 174900
05/10/22, 0.19, 0.21, 0.19, 0.20, 339600
05/09/22, 0.18, 0.20, 0.18, 0.20, 58900
05/06/22, 0.19, 0.20, 0.19, 0.19, 31500
05/05/22, 0.18, 0.18, 0.17, 0.18, 45200
05/04/22, 0.18, 0.18, 0.18, 0.18, 19800
04/28/22, 0.19, 0.19, 0.19, 0.19, 600
04/27/22, 0.19, 0.19, 0.19, 0.19, 2400
04/26/22, 0.18, 0.18, 0.17, 0.18, 16900
04/25/22, 0.18, 0.18, 0.17, 0.18, 50800
04/22/22, 0.17, 0.18, 0.17, 0.17, 24300
04/21/22, 0.19, 0.19, 0.17, 0.18, 8100
04/20/22, 0.18, 0.18, 0.18, 0.18, 15300
04/19/22, 0.19, 0.19, 0.18, 0.19, 9300
04/14/22, 0.19, 0.19, 0.18, 0.19, 56800
04/13/22, 0.19, 0.19, 0.18, 0.19, 11200
04/12/22, 0.19, 0.19, 0.18, 0.19, 3500
04/11/22, 0.18, 0.18, 0.17, 0.18, 62000
04/08/22, 0.18, 0.18, 0.17, 0.17, 149100
04/07/22, 0.18, 0.19, 0.18, 0.18, 2500
04/06/22, 0.20, 0.20, 0.18, 0.18, 50900
04/05/22, 0.20, 0.20, 0.20, 0.20, 11300
04/04/22, 0.20, 0.20, 0.19, 0.20, 600
04/01/22, 0.19, 0.20, 0.18, 0.19, 6500
03/31/22, 0.19, 0.20, 0.19, 0.19, 123700
03/30/22, 0.19, 0.19, 0.18, 0.19, 43600
03/29/22, 0.19, 0.21, 0.19, 0.20, 46300
03/28/22, 0.21, 0.21, 0.19, 0.20, 35900
03/25/22, 0.21, 0.21, 0.21, 0.21, 6300
03/24/22, 0.21, 0.21, 0.19, 0.21, 18600
03/23/22, 0.22, 0.22, 0.20, 0.20, 66100
03/22/22, 0.22, 0.22, 0.22, 0.22, 900
03/21/22, 0.22, 0.22, 0.20, 0.22, 7800
03/18/22, 0.22, 0.22, 0.20, 0.22, 25500
03/17/22, 0.21, 0.22, 0.21, 0.22, 10800
03/15/22, 0.21, 0.22, 0.21, 0.21, 55300
03/14/22, 0.22, 0.22, 0.21, 0.22, 118100
03/11/22, 0.21, 0.21, 0.21, 0.21, 5700
03/10/22, 0.21, 0.21, 0.20, 0.20, 14300
03/09/22, 0.21, 0.21, 0.20, 0.20, 38900
03/08/22, 0.20, 0.20, 0.20, 0.20, 10200
03/07/22, 0.21, 0.21, 0.19, 0.19, 137800
03/04/22, 0.21, 0.21, 0.20, 0.20, 79700
03/03/22, 0.22, 0.22, 0.20, 0.21, 12900
03/02/22, 0.21, 0.22, 0.20, 0.22, 13000
03/01/22, 0.22, 0.22, 0.20, 0.21, 15900
02/28/22, 0.22, 0.22, 0.22, 0.22, 6100
02/25/22, 0.22, 0.22, 0.20, 0.21, 22400
02/24/22, 0.22, 0.22, 0.20, 0.20, 83200
02/23/22, 0.21, 0.22, 0.20, 0.21, 9200
02/22/22, 0.22, 0.22, 0.21, 0.22, 11800
02/21/22, 0.22, 0.22, 0.20, 0.20, 94700
02/18/22, 0.22, 0.22, 0.21, 0.22, 4000
02/17/22, 0.21, 0.23, 0.21, 0.22, 125100
02/16/22, 0.22, 0.22, 0.21, 0.22, 59800
02/15/22, 0.22, 0.22, 0.22, 0.22, 1900
02/14/22, 0.23, 0.23, 0.20, 0.22, 47700
02/11/22, 0.22, 0.23, 0.22, 0.22, 46100
02/10/22, 0.22, 0.23, 0.22, 0.22, 22700
02/09/22, 0.22, 0.22, 0.22, 0.22, 6700
02/08/22, 0.23, 0.23, 0.22, 0.23, 2200
02/07/22, 0.21, 0.22, 0.21, 0.21, 57900
02/04/22, 0.22, 0.22, 0.22, 0.22, 800
02/03/22, 0.23, 0.23, 0.23, 0.23, 102300
02/02/22, 0.21, 0.23, 0.21, 0.23, 8500
02/01/22, 0.23, 0.23, 0.23, 0.23, 3500
01/31/22, 0.23, 0.23, 0.21, 0.23, 16500
01/28/22, 0.23, 0.23, 0.22, 0.23, 34200
01/27/22, 0.21, 0.23, 0.21, 0.23, 11900
01/26/22, 0.21, 0.23, 0.21, 0.22, 19200
01/25/22, 0.23, 0.23, 0.21, 0.22, 26400
01/24/22, 0.22, 0.23, 0.21, 0.22, 15600
01/21/22, 0.23, 0.23, 0.21, 0.22, 39100
01/20/22, 0.23, 0.23, 0.22, 0.23, 64500
01/19/22, 0.23, 0.23, 0.21, 0.23, 6300
01/18/22, 0.22, 0.23, 0.20, 0.22, 161200
01/17/22, 0.20, 0.23, 0.20, 0.22, 27100
01/14/22, 0.23, 0.23, 0.21, 0.22, 4000
01/13/22, 0.21, 0.23, 0.20, 0.23, 1800
01/12/22, 0.23, 0.23, 0.21, 0.22, 14900
01/11/22, 0.23, 0.23, 0.21, 0.21, 122900
01/10/22, 0.23, 0.23, 0.21, 0.21, 86700
01/07/22, 0.23, 0.23, 0.22, 0.23, 7400
01/06/22, 0.23, 0.23, 0.22, 0.23, 41200
01/05/22, 0.21, 0.24, 0.21, 0.23, 24300
01/04/22, 0.22, 0.24, 0.22, 0.22, 32300
01/03/22, 0.25, 0.26, 0.22, 0.23, 391100
12/31/21, 0.23, 0.24, 0.23, 0.24, 1000
12/29/21, 0.24, 0.24, 0.23, 0.23, 250500
12/28/21, 0.23, 0.24, 0.21, 0.23, 19500
12/24/21, 0.23, 0.24, 0.23, 0.23, 47500
12/23/21, 0.24, 0.24, 0.23, 0.24, 7500
12/22/21, 0.24, 0.24, 0.23, 0.23, 191900
12/21/21, 0.22, 0.23, 0.22, 0.23, 3700
12/20/21, 0.23, 0.23, 0.23, 0.23, 65700
12/17/21, 0.24, 0.24, 0.23, 0.23, 154900
12/16/21, 0.23, 0.24, 0.23, 0.23, 134300
12/15/21, 0.23, 0.24, 0.23, 0.23, 131200
12/14/21, 0.24, 0.24, 0.22, 0.23, 26800
12/10/21, 0.23, 0.24, 0.23, 0.23, 7100
12/08/21, 0.22, 0.22, 0.22, 0.22, 37200
12/07/21, 0.22, 0.24, 0.21, 0.22, 24900
12/06/21, 0.22, 0.22, 0.21, 0.22, 4800
12/03/21, 0.24, 0.24, 0.22, 0.22, 22900
12/02/21, 0.24, 0.24, 0.23, 0.24, 6800
12/01/21, 0.22, 0.24, 0.22, 0.23, 22800
11/30/21, 0.22, 0.23, 0.21, 0.23, 12300
11/29/21, 0.24, 0.24, 0.21, 0.21, 107900
11/26/21, 0.24, 0.24, 0.22, 0.23, 10600
11/25/21, 0.23, 0.24, 0.20, 0.22, 22500
11/24/21, 0.24, 0.24, 0.22, 0.22, 3600
11/23/21, 0.23, 0.23, 0.23, 0.23, 40100
11/22/21, 0.24, 0.24, 0.22, 0.23, 4100
11/19/21, 0.22, 0.25, 0.22, 0.24, 54000
11/18/21, 0.23, 0.23, 0.22, 0.23, 74400
11/17/21, 0.23, 0.23, 0.22, 0.22, 58900
11/16/21, 0.21, 0.22, 0.21, 0.22, 105000
11/15/21, 0.22, 0.22, 0.21, 0.22, 20100
11/12/21, 0.22, 0.22, 0.21, 0.21, 58000
11/11/21, 0.21, 0.23, 0.21, 0.21, 47600
11/10/21, 0.23, 0.23, 0.22, 0.22, 12500
11/09/21, 0.22, 0.23, 0.22, 0.22, 19100
11/08/21, 0.22, 0.23, 0.22, 0.22, 65800
11/05/21, 0.22, 0.22, 0.22, 0.22, 29600
11/04/21, 0.22, 0.23, 0.22, 0.22, 9700
11/03/21, 0.22, 0.23, 0.22, 0.22, 10300
11/02/21, 0.22, 0.23, 0.22, 0.22, 4000
11/01/21, 0.23, 0.24, 0.22, 0.23, 2700
10/29/21, 0.23, 0.23, 0.22, 0.23, 14800
10/28/21, 0.23, 0.23, 0.23, 0.23, 13800
10/27/21, 0.22, 0.23, 0.22, 0.23, 360600
10/26/21, 0.23, 0.23, 0.22, 0.23, 74300
10/25/21, 0.22, 0.23, 0.22, 0.22, 20100
10/22/21, 0.23, 0.23, 0.22, 0.22, 6500
10/21/21, 0.22, 0.23, 0.22, 0.22, 26300
10/19/21, 0.23, 0.23, 0.22, 0.22, 35700
10/18/21, 0.22, 0.23, 0.22, 0.23, 55700
10/15/21, 0.24, 0.24, 0.22, 0.23, 30300
10/14/21, 0.24, 0.24, 0.24, 0.24, 4700
10/13/21, 0.24, 0.24, 0.23, 0.24, 7100
10/12/21, 0.24, 0.24, 0.23, 0.24, 7500
10/08/21, 0.22, 0.24, 0.22, 0.23, 15700
10/07/21, 0.23, 0.23, 0.23, 0.23, 5000
10/06/21, 0.24, 0.24, 0.22, 0.22, 40000
10/05/21, 0.23, 0.23, 0.22, 0.22, 84200
10/04/21, 0.24, 0.24, 0.23, 0.23, 14900
10/01/21, 0.24, 0.24, 0.23, 0.24, 48300
