Date, Open, High, Low, Close, Volume
11/01/22, 29.50, 30.00, 29.50, 29.80, 800
10/31/22, 29.50, 29.50, 29.50, 29.50, 200
10/28/22, 31.25, 31.25, 31.25, 31.25, 600
10/27/22, 31.25, 31.25, 31.25, 31.25, 100
10/26/22, 30.00, 30.00, 30.00, 30.00, 200
10/25/22, 30.00, 30.00, 30.00, 30.00, 1500
10/24/22, 30.00, 30.00, 30.00, 30.00, 200
10/21/22, 31.00, 31.00, 31.00, 31.00, 200
10/17/22, 31.50, 31.50, 30.00, 30.75, 200
10/14/22, 31.00, 31.00, 31.00, 31.00, 1000
10/12/22, 30.00, 30.00, 30.00, 30.00, 1000
10/07/22, 29.50, 30.00, 29.50, 30.00, 64800
10/04/22, 32.75, 32.75, 32.65, 32.75, 700
09/30/22, 32.75, 32.75, 32.75, 32.75, 100
09/29/22, 32.20, 32.75, 32.20, 32.40, 2500
09/28/22, 31.00, 31.00, 31.00, 31.00, 500
09/27/22, 31.00, 32.00, 31.00, 31.70, 2000
09/22/22, 30.65, 30.65, 30.65, 30.65, 100
09/15/22, 27.50, 32.00, 27.50, 27.90, 1100
09/09/22, 30.00, 32.00, 30.00, 30.20, 1100
09/08/22, 32.00, 32.00, 31.50, 31.50, 50000
09/01/22, 32.50, 32.75, 32.50, 32.55, 900
08/31/22, 31.50, 31.50, 31.50, 31.50, 400
08/30/22, 31.50, 31.50, 31.50, 31.50, 3400
08/26/22, 32.15, 32.15, 32.15, 32.15, 500
08/18/22, 30.00, 30.00, 29.00, 29.30, 2200
08/17/22, 30.55, 30.55, 29.50, 30.10, 1700
08/16/22, 32.35, 32.35, 32.35, 32.35, 100
08/15/22, 30.55, 30.55, 30.15, 30.50, 3700
08/11/22, 30.55, 30.55, 30.55, 30.55, 1000
08/10/22, 30.55, 30.55, 30.55, 30.55, 100
08/05/22, 30.55, 30.55, 30.55, 30.55, 500
08/04/22, 30.55, 30.55, 30.55, 30.55, 3000
08/03/22, 29.00, 30.00, 27.50, 29.00, 53200
08/02/22, 30.00, 30.00, 30.00, 30.00, 300
07/27/22, 27.70, 29.00, 27.70, 29.00, 215500
07/26/22, 30.50, 30.50, 29.00, 29.70, 1700
07/20/22, 28.80, 28.80, 28.80, 28.80, 600
07/18/22, 27.00, 27.00, 27.00, 27.00, 100
07/15/22, 27.00, 27.00, 27.00, 27.00, 100
07/13/22, 29.50, 29.50, 29.50, 29.50, 1200
07/08/22, 29.00, 29.00, 29.00, 29.00, 63800
07/07/22, 30.50, 30.50, 27.00, 28.25, 1100
07/06/22, 29.25, 29.25, 27.00, 28.00, 1100
07/04/22, 30.00, 30.00, 30.00, 30.00, 100
07/01/22, 29.45, 29.45, 29.45, 29.45, 500
06/24/22, 29.45, 29.45, 29.45, 29.45, 200
06/23/22, 29.50, 29.50, 29.50, 29.50, 300
06/22/22, 30.85, 31.00, 30.50, 30.75, 1600
06/21/22, 31.00, 31.00, 30.50, 30.55, 2200
06/20/22, 30.95, 30.95, 30.95, 30.95, 400
06/16/22, 30.00, 30.00, 30.00, 30.00, 1000
06/15/22, 30.00, 30.95, 30.00, 30.70, 700
06/14/22, 31.00, 31.00, 31.00, 31.00, 9600
06/13/22, 31.00, 32.50, 31.00, 31.80, 5800
06/10/22, 31.00, 31.00, 31.00, 31.00, 100
06/09/22, 30.00, 30.00, 30.00, 30.00, 168400
06/08/22, 30.00, 30.00, 30.00, 30.00, 3300
06/07/22, 31.00, 31.00, 31.00, 31.00, 500
06/06/22, 31.35, 31.35, 30.00, 31.15, 2300
06/02/22, 31.35, 31.35, 31.35, 31.35, 1200
05/30/22, 31.05, 31.05, 31.05, 31.05, 1000
05/27/22, 31.05, 31.05, 31.05, 31.05, 1400
05/26/22, 31.05, 31.05, 31.05, 31.05, 100
05/25/22, 31.05, 31.05, 31.05, 31.05, 100
05/23/22, 30.00, 30.00, 30.00, 30.00, 300
05/20/22, 29.55, 29.55, 29.55, 29.55, 2100
05/19/22, 29.55, 29.55, 29.55, 29.55, 2000
05/18/22, 30.00, 30.00, 29.55, 29.75, 3600
05/17/22, 29.55, 30.00, 29.55, 29.90, 1400
05/16/22, 30.00, 30.00, 30.00, 30.00, 2100
05/13/22, 29.95, 30.00, 29.95, 30.00, 4600
05/12/22, 30.00, 30.00, 30.00, 30.00, 1300
05/11/22, 30.00, 30.00, 30.00, 30.00, 6300
05/10/22, 30.00, 30.00, 30.00, 30.00, 700
05/09/22, 30.00, 30.00, 30.00, 30.00, 19600
05/06/22, 30.00, 30.00, 30.00, 30.00, 100
05/05/22, 30.00, 30.00, 30.00, 30.00, 1600
05/04/22, 30.00, 30.00, 29.05, 29.95, 21200
04/28/22, 29.90, 30.00, 29.90, 30.00, 2700
04/27/22, 29.90, 29.90, 29.90, 29.90, 1000
04/26/22, 29.90, 29.90, 29.90, 29.90, 100
04/25/22, 29.00, 29.00, 29.00, 29.00, 1400
04/22/22, 29.00, 29.00, 29.00, 29.00, 3600
04/21/22, 29.00, 30.00, 29.00, 29.15, 2300
04/20/22, 29.00, 29.00, 29.00, 29.00, 100
04/19/22, 30.00, 30.00, 29.00, 29.20, 2600
04/12/22, 29.00, 29.00, 29.00, 29.00, 1700
04/11/22, 30.00, 30.00, 29.00, 29.50, 200
04/07/22, 30.00, 30.00, 30.00, 30.00, 300
04/06/22, 30.00, 30.00, 30.00, 30.00, 1154300
04/05/22, 30.00, 30.00, 30.00, 30.00, 385000
04/04/22, 29.50, 30.00, 29.00, 29.90, 10200
04/01/22, 30.00, 30.00, 29.50, 29.55, 1500
03/31/22, 29.90, 30.00, 29.90, 29.95, 6000
03/30/22, 29.00, 29.90, 29.00, 29.60, 600
03/28/22, 29.70, 29.70, 29.70, 29.70, 1100
03/23/22, 29.80, 29.80, 29.80, 29.80, 300
03/22/22, 30.00, 30.00, 29.80, 29.90, 200
03/21/22, 27.50, 27.50, 27.50, 27.50, 100
03/18/22, 29.00, 29.60, 29.00, 29.40, 300
03/15/22, 27.00, 27.00, 27.00, 27.00, 300
03/14/22, 29.65, 29.65, 28.00, 28.85, 400
03/11/22, 29.35, 29.35, 29.35, 29.35, 300
03/09/22, 27.00, 27.00, 27.00, 27.00, 100
03/08/22, 27.50, 27.50, 26.50, 27.00, 200
03/04/22, 27.50, 27.50, 27.50, 27.50, 100
03/01/22, 28.50, 28.50, 28.50, 28.50, 100
02/25/22, 29.00, 29.00, 29.00, 29.00, 1300
02/21/22, 29.90, 29.90, 29.90, 29.90, 100
02/17/22, 28.50, 30.00, 28.50, 29.25, 200
02/16/22, 29.30, 30.00, 29.30, 29.85, 5100
02/15/22, 29.00, 29.00, 29.00, 29.00, 600
02/09/22, 30.00, 30.00, 30.00, 30.00, 200
02/08/22, 28.00, 28.00, 28.00, 28.00, 100
02/07/22, 28.05, 28.05, 28.05, 28.05, 4600
02/03/22, 28.00, 30.00, 28.00, 29.35, 300
01/28/22, 30.00, 30.00, 30.00, 30.00, 100
01/20/22, 30.00, 30.00, 29.50, 29.75, 200
01/19/22, 30.00, 30.00, 30.00, 30.00, 100
01/18/22, 30.00, 30.00, 30.00, 30.00, 900
01/14/22, 30.00, 30.00, 30.00, 30.00, 800
01/13/22, 30.00, 30.00, 30.00, 30.00, 1501300
01/11/22, 30.95, 30.95, 30.00, 30.75, 2400
01/10/22, 30.00, 30.00, 30.00, 30.00, 35000
01/07/22, 30.00, 31.00, 28.00, 29.05, 8000
01/06/22, 29.00, 30.00, 29.00, 29.30, 7200
01/05/22, 29.20, 29.60, 29.20, 29.50, 9900
01/04/22, 27.00, 27.00, 27.00, 27.00, 100
12/30/21, 29.00, 29.00, 29.00, 29.00, 5100
12/29/21, 28.50, 28.50, 28.50, 28.50, 300
12/28/21, 29.10, 29.10, 28.00, 28.95, 1400
