Date, Open, High, Low, Close, Volume
11/01/22, 80.00, 80.00, 80.00, 80.00, 1400
10/31/22, 77.00, 84.00, 77.00, 82.00, 14200
10/28/22, 84.00, 84.00, 77.00, 82.75, 600
10/26/22, 77.00, 77.00, 77.00, 77.00, 200
10/25/22, 84.25, 84.25, 84.25, 84.25, 100
10/21/22, 84.00, 84.00, 84.00, 84.00, 4500
10/18/22, 84.00, 84.00, 84.00, 84.00, 600
10/17/22, 77.00, 77.00, 77.00, 77.00, 1000
10/04/22, 84.25, 84.25, 84.25, 84.25, 200
09/29/22, 76.75, 80.00, 76.75, 77.00, 2000
09/26/22, 76.75, 76.75, 76.75, 76.75, 2600
09/22/22, 77.00, 77.00, 75.00, 76.75, 23100
09/21/22, 77.00, 77.00, 77.00, 77.00, 6800
09/19/22, 77.00, 77.00, 77.00, 77.00, 100
09/14/22, 78.00, 78.00, 78.00, 78.00, 100
09/09/22, 85.00, 85.00, 85.00, 85.00, 100
09/06/22, 78.00, 78.00, 77.00, 77.50, 200
09/02/22, 80.00, 80.00, 80.00, 80.00, 1100
08/25/22, 84.75, 84.75, 84.75, 84.75, 100
08/24/22, 77.25, 77.25, 77.25, 77.25, 4000
08/10/22, 71.25, 71.25, 71.25, 71.25, 15900
08/08/22, 73.25, 73.25, 70.00, 70.00, 10100
08/04/22, 72.00, 73.25, 72.00, 73.25, 6400
08/03/22, 80.00, 80.00, 72.00, 73.50, 1100
07/29/22, 80.00, 80.00, 80.00, 80.00, 100
07/25/22, 80.00, 80.00, 80.00, 80.00, 200
07/22/22, 80.00, 80.00, 80.00, 80.00, 900
07/14/22, 80.00, 80.00, 80.00, 80.00, 1000
07/13/22, 80.00, 80.00, 80.00, 80.00, 4000
07/06/22, 82.50, 82.50, 82.50, 82.50, 100
07/05/22, 79.00, 79.00, 79.00, 79.00, 100
07/04/22, 80.00, 80.00, 80.00, 80.00, 100
06/27/22, 75.00, 75.00, 75.00, 75.00, 100
06/23/22, 73.00, 75.00, 73.00, 74.00, 200
06/22/22, 80.00, 80.00, 80.00, 80.00, 100
06/16/22, 73.00, 73.00, 73.00, 73.00, 100
06/08/22, 73.00, 73.00, 73.00, 73.00, 3100
06/07/22, 73.00, 73.00, 73.00, 73.00, 2000
05/31/22, 73.00, 73.00, 73.00, 73.00, 800
05/30/22, 73.00, 73.00, 73.00, 73.00, 300
05/20/22, 75.00, 75.00, 75.00, 75.00, 500
05/16/22, 75.00, 75.00, 75.00, 75.00, 100
05/12/22, 75.00, 82.00, 75.00, 78.50, 200
05/11/22, 75.00, 75.00, 75.00, 75.00, 100
05/06/22, 75.00, 75.00, 75.00, 75.00, 300
05/05/22, 81.00, 81.00, 81.00, 81.00, 100
04/28/22, 80.50, 80.50, 80.50, 80.50, 100
04/27/22, 73.25, 73.25, 73.00, 73.25, 4900
04/22/22, 73.25, 73.25, 73.25, 73.25, 1700
04/19/22, 73.25, 73.25, 73.25, 73.25, 300
04/14/22, 73.25, 73.25, 73.25, 73.25, 3000
04/13/22, 73.25, 73.25, 73.25, 73.25, 19000
04/07/22, 75.00, 75.00, 75.00, 75.00, 100
03/22/22, 80.00, 80.00, 80.00, 80.00, 100
03/16/22, 85.00, 85.00, 85.00, 85.00, 100
