Date, Open, High, Low, Close, Volume
11/01/22, 40.00, 40.00, 40.00, 40.00, 3300
10/31/22, 38.30, 41.00, 38.30, 40.75, 2400
10/28/22, 40.00, 40.00, 38.00, 38.30, 2500
10/27/22, 37.00, 37.00, 37.00, 37.00, 200
10/26/22, 39.60, 39.60, 39.60, 39.60, 200
10/25/22, 35.50, 38.90, 35.50, 36.05, 1200
10/24/22, 35.40, 35.40, 35.40, 35.40, 100
10/21/22, 41.00, 41.00, 35.10, 35.35, 4700
10/18/22, 39.00, 39.00, 39.00, 39.00, 3000
10/17/22, 39.00, 39.00, 39.00, 39.00, 200
10/12/22, 43.85, 43.85, 42.50, 42.75, 1200
10/11/22, 39.00, 41.70, 39.00, 39.90, 600
10/07/22, 44.35, 44.35, 41.70, 43.05, 200
10/04/22, 45.00, 45.00, 45.00, 45.00, 100
10/03/22, 45.00, 45.00, 40.65, 44.45, 3500
09/30/22, 45.00, 45.00, 45.00, 45.00, 200
09/29/22, 45.00, 45.00, 43.00, 44.35, 1500
09/28/22, 44.50, 44.50, 44.00, 44.10, 2600
09/27/22, 46.00, 46.00, 44.50, 45.65, 400
09/26/22, 44.50, 46.00, 43.40, 45.50, 2200
09/23/22, 44.50, 44.50, 44.50, 44.50, 100
09/22/22, 42.50, 42.50, 40.50, 41.85, 300
09/21/22, 41.00, 41.00, 40.50, 40.90, 4000
09/20/22, 43.00, 43.00, 42.50, 42.60, 2100
09/19/22, 43.00, 44.50, 43.00, 43.75, 200
09/16/22, 45.50, 45.50, 45.50, 45.50, 100
09/15/22, 42.00, 45.00, 42.00, 44.00, 300
09/14/22, 42.00, 45.00, 42.00, 44.70, 2000
09/12/22, 42.00, 44.00, 42.00, 43.70, 700
09/07/22, 41.00, 41.00, 40.50, 40.55, 1000
09/06/22, 41.00, 41.00, 40.50, 40.95, 2000
09/05/22, 45.00, 45.00, 45.00, 45.00, 100
09/02/22, 45.00, 45.00, 45.00, 45.00, 100
09/01/22, 45.00, 45.00, 45.00, 45.00, 100
08/31/22, 43.75, 43.75, 43.75, 43.75, 1100
08/30/22, 40.05, 40.05, 39.50, 39.80, 400
08/29/22, 40.00, 43.40, 40.00, 40.05, 4700
08/24/22, 39.50, 39.50, 39.50, 39.50, 100
08/23/22, 43.00, 43.00, 43.00, 43.00, 2900
08/22/22, 43.00, 43.00, 43.00, 43.00, 2600
08/18/22, 43.00, 43.00, 43.00, 43.00, 600
08/17/22, 44.00, 44.00, 44.00, 44.00, 200
08/15/22, 44.00, 44.00, 44.00, 44.00, 1300
08/12/22, 44.00, 44.00, 44.00, 44.00, 200
08/10/22, 43.00, 43.00, 43.00, 43.00, 2000
08/08/22, 44.00, 44.00, 44.00, 44.00, 100
08/02/22, 42.80, 42.80, 42.80, 42.80, 100
08/01/22, 43.05, 43.05, 41.00, 42.80, 900
07/29/22, 43.05, 43.05, 43.05, 43.05, 1300
