Date, Open, High, Low, Close, Volume
11/01/22, 13.00, 14.25, 13.00, 14.15, 565000
10/31/22, 13.00, 13.00, 12.95, 13.00, 8000
10/27/22, 12.05, 13.00, 12.05, 12.95, 19500
10/26/22, 13.00, 13.00, 12.90, 12.95, 1500
10/25/22, 13.00, 13.00, 12.90, 13.00, 46400
10/24/22, 12.80, 13.35, 12.65, 12.90, 7600
10/21/22, 12.00, 12.80, 12.00, 12.55, 13700
10/19/22, 12.00, 12.50, 12.00, 12.15, 20900
10/18/22, 11.80, 12.00, 11.80, 12.00, 113100
10/17/22, 12.00, 12.00, 11.80, 11.90, 14700
10/14/22, 11.85, 12.00, 11.75, 11.75, 128000
10/13/22, 11.70, 12.00, 11.55, 12.00, 32700
10/12/22, 12.00, 12.00, 11.65, 11.70, 76300
10/11/22, 12.00, 12.00, 11.65, 11.95, 3600
10/07/22, 11.55, 11.90, 11.55, 11.70, 1800
10/06/22, 11.50, 12.00, 11.50, 11.55, 83000
10/05/22, 11.90, 11.90, 11.50, 11.65, 140400
10/04/22, 11.90, 12.00, 11.90, 11.95, 76500
10/03/22, 11.95, 11.95, 11.00, 11.55, 3800
09/30/22, 11.60, 11.95, 11.50, 11.50, 101200
09/29/22, 11.60, 11.80, 11.60, 11.60, 8500
09/28/22, 11.95, 11.95, 11.95, 11.95, 600
09/27/22, 11.95, 11.95, 11.50, 11.60, 11700
09/26/22, 11.95, 11.95, 11.50, 11.60, 152000
09/23/22, 11.95, 11.95, 11.85, 11.95, 10000
09/22/22, 11.80, 11.95, 11.80, 11.95, 14500
09/21/22, 11.95, 11.95, 11.50, 11.85, 3500
09/20/22, 11.50, 11.95, 11.50, 11.60, 215400
09/19/22, 11.80, 11.95, 11.80, 11.95, 12500
09/16/22, 12.00, 12.00, 11.30, 11.80, 3800
09/15/22, 11.80, 11.80, 11.50, 11.50, 106800
09/14/22, 12.00, 12.00, 11.60, 11.85, 10000
09/12/22, 12.00, 12.35, 11.50, 11.80, 14600
09/09/22, 12.00, 12.45, 12.00, 12.10, 600
09/08/22, 12.00, 12.00, 12.00, 12.00, 2000
09/07/22, 12.00, 12.00, 11.80, 12.00, 22700
09/06/22, 12.00, 12.05, 11.95, 12.00, 234500
09/05/22, 12.50, 12.50, 11.50, 11.65, 109000
09/02/22, 11.85, 12.50, 11.85, 12.40, 2000
09/01/22, 12.00, 12.25, 12.00, 12.00, 58800
08/31/22, 12.50, 12.50, 11.95, 12.00, 7600
08/30/22, 12.25, 12.25, 12.00, 12.00, 4500
08/29/22, 12.00, 12.00, 11.95, 12.00, 16800
08/26/22, 12.00, 12.00, 11.55, 11.95, 17900
08/25/22, 12.00, 12.40, 12.00, 12.00, 9600
08/24/22, 12.00, 12.00, 12.00, 12.00, 1500
08/23/22, 12.20, 12.45, 12.00, 12.00, 14300
08/22/22, 12.50, 12.50, 12.00, 12.40, 2900
08/19/22, 12.50, 12.75, 11.55, 12.05, 5900
08/18/22, 12.00, 12.80, 12.00, 12.50, 5500
08/17/22, 11.35, 12.00, 11.35, 11.95, 2800
08/16/22, 12.00, 12.00, 11.30, 11.55, 12000
08/15/22, 11.50, 12.50, 11.50, 11.80, 71000
08/12/22, 12.30, 12.35, 12.00, 12.00, 13700
08/11/22, 11.70, 12.30, 11.55, 11.60, 23300
08/10/22, 12.00, 12.00, 11.30, 11.55, 11400
