Date, Open, High, Low, Close, Volume
10/28/22, 11.00, 11.00, 11.00, 11.00, 500
10/27/22, 12.90, 12.90, 11.00, 11.60, 800
10/26/22, 11.80, 12.00, 11.00, 11.85, 1300
10/25/22, 11.80, 12.90, 11.70, 11.80, 2100
10/24/22, 11.80, 11.80, 11.80, 11.80, 1700
10/21/22, 12.90, 12.90, 12.90, 12.90, 500
10/18/22, 12.90, 12.90, 12.50, 12.85, 600
10/17/22, 11.80, 11.80, 11.80, 11.80, 2600
10/14/22, 11.80, 11.80, 11.80, 11.80, 600
10/06/22, 13.00, 13.00, 13.00, 13.00, 100
10/05/22, 13.00, 13.00, 13.00, 13.00, 100
10/04/22, 13.10, 13.10, 13.10, 13.10, 300
09/30/22, 13.45, 13.45, 13.45, 13.45, 1000
09/20/22, 13.45, 13.45, 13.45, 13.45, 100
09/19/22, 13.45, 13.45, 13.45, 13.45, 100
09/15/22, 12.55, 12.55, 12.55, 12.55, 300
09/14/22, 13.45, 13.45, 12.50, 13.15, 300
09/02/22, 13.50, 13.50, 13.50, 13.50, 200
09/01/22, 12.50, 13.60, 12.50, 12.80, 400
08/26/22, 12.60, 12.60, 12.40, 12.50, 1100
08/25/22, 13.50, 13.50, 13.50, 13.50, 1000
08/24/22, 13.60, 13.60, 13.50, 13.50, 16000
08/19/22, 13.80, 13.80, 13.80, 13.80, 1000
08/18/22, 13.80, 13.80, 13.80, 13.80, 900
08/17/22, 13.80, 13.80, 13.80, 13.80, 200
08/16/22, 13.70, 14.00, 13.70, 13.80, 800
08/08/22, 13.70, 13.70, 13.70, 13.70, 300
08/04/22, 13.70, 13.70, 13.70, 13.70, 700
08/03/22, 13.70, 13.70, 13.70, 13.70, 1000
08/02/22, 13.70, 13.70, 13.70, 13.70, 700
07/27/22, 13.70, 13.70, 13.70, 13.70, 2000
07/20/22, 13.75, 13.75, 13.75, 13.75, 100
07/14/22, 13.80, 13.80, 13.80, 13.80, 100
07/13/22, 13.15, 13.15, 13.15, 13.15, 1100
07/08/22, 13.15, 13.15, 13.15, 13.15, 100
07/01/22, 12.20, 13.45, 12.20, 13.15, 400
06/24/22, 13.45, 13.45, 13.45, 13.45, 100
06/17/22, 13.45, 13.45, 13.45, 13.45, 100
05/23/22, 13.45, 13.45, 13.45, 13.45, 300
05/20/22, 12.00, 13.10, 12.00, 12.30, 400
05/13/22, 13.10, 13.10, 13.10, 13.10, 300
05/12/22, 13.10, 13.10, 13.10, 13.10, 1100
05/10/22, 12.00, 12.00, 12.00, 12.00, 100
05/06/22, 11.50, 11.50, 11.50, 11.50, 100
05/05/22, 11.40, 11.40, 11.40, 11.40, 1000
05/04/22, 11.45, 11.45, 11.45, 11.45, 100
04/06/22, 12.65, 12.65, 12.65, 12.65, 100
03/30/22, 13.00, 13.00, 12.60, 12.65, 1200
03/18/22, 13.50, 13.50, 12.65, 12.95, 300
03/17/22, 12.65, 12.65, 12.60, 12.60, 700
03/16/22, 13.50, 13.50, 13.50, 13.50, 100
03/14/22, 12.60, 12.60, 12.60, 12.60, 500
03/01/22, 13.50, 13.50, 13.50, 13.50, 100
02/28/22, 12.35, 12.35, 12.35, 12.35, 100
02/24/22, 12.35, 12.35, 12.35, 12.35, 100
02/23/22, 13.50, 13.50, 13.50, 13.50, 100
02/17/22, 13.15, 13.15, 13.10, 13.10, 3000
02/16/22, 13.10, 13.10, 13.10, 13.10, 4500
02/15/22, 13.00, 13.00, 13.00, 13.00, 300
02/09/22, 13.15, 13.15, 13.10, 13.10, 1000
02/08/22, 13.50, 13.50, 13.50, 13.50, 100
02/07/22, 13.50, 13.50, 13.50, 13.50, 1500
02/04/22, 13.50, 13.50, 13.50, 13.50, 100
02/02/22, 13.50, 13.50, 13.50, 13.50, 6100
02/01/22, 13.50, 13.50, 13.50, 13.50, 3400
01/31/22, 13.10, 13.10, 13.10, 13.10, 8000
01/28/22, 13.15, 13.40, 13.15, 13.15, 5100
01/27/22, 13.05, 13.05, 13.05, 13.05, 2400
01/26/22, 13.05, 13.05, 13.05, 13.05, 100
01/25/22, 13.80, 13.80, 13.80, 13.80, 1000
01/20/22, 13.80, 13.80, 13.80, 13.80, 1000
01/18/22, 13.00, 13.90, 13.00, 13.90, 9100
01/14/22, 13.80, 13.80, 13.80, 13.80, 500
01/12/22, 12.90, 12.90, 12.90, 12.90, 200
01/06/22, 13.80, 13.80, 13.80, 13.80, 100
01/04/22, 12.85, 12.85, 12.85, 12.85, 600
01/03/22, 13.80, 13.80, 13.50, 13.50, 4000
12/28/21, 13.50, 13.50, 13.50, 13.50, 100
12/23/21, 13.80, 13.80, 13.80, 13.80, 500
12/20/21, 12.85, 12.85, 12.85, 12.85, 100
12/14/21, 13.80, 14.00, 12.85, 13.60, 400
12/10/21, 14.00, 14.00, 13.80, 13.95, 400
12/06/21, 13.80, 13.80, 13.80, 13.80, 4400
12/03/21, 13.95, 13.95, 13.95, 13.95, 100
12/02/21, 13.95, 13.95, 13.95, 13.95, 100
12/01/21, 13.00, 13.00, 12.70, 12.80, 700
11/30/21, 12.90, 12.90, 12.55, 12.70, 3100
11/29/21, 12.90, 12.90, 12.90, 12.90, 1200
11/23/21, 14.00, 14.00, 14.00, 14.00, 100
