Date, Open, High, Low, Close, Volume
11/01/22, 0.71, 0.71, 0.69, 0.70, 200
10/31/22, 0.80, 0.80, 0.68, 0.68, 82500
10/28/22, 0.73, 0.78, 0.72, 0.73, 5300
10/27/22, 0.71, 0.71, 0.71, 0.71, 100
10/26/22, 0.70, 0.77, 0.68, 0.70, 88000
10/25/22, 0.71, 0.72, 0.70, 0.70, 50300
10/24/22, 0.75, 0.75, 0.68, 0.70, 1600
10/21/22, 0.74, 0.75, 0.68, 0.71, 9000
10/19/22, 0.75, 0.75, 0.75, 0.75, 4300
10/18/22, 0.80, 0.80, 0.70, 0.74, 21800
10/17/22, 0.80, 0.80, 0.75, 0.75, 7400
10/14/22, 0.80, 0.80, 0.75, 0.78, 700
10/13/22, 0.75, 0.80, 0.75, 0.75, 10100
10/12/22, 0.75, 0.81, 0.74, 0.75, 16800
10/11/22, 0.75, 0.75, 0.74, 0.75, 13200
10/07/22, 0.79, 0.81, 0.74, 0.76, 7600
10/06/22, 0.72, 0.75, 0.72, 0.74, 3300
10/05/22, 0.75, 0.81, 0.75, 0.79, 3200
10/04/22, 0.80, 0.80, 0.80, 0.80, 10800
10/03/22, 0.80, 0.87, 0.74, 0.82, 3000
09/30/22, 0.80, 0.81, 0.75, 0.80, 2200
09/29/22, 0.79, 0.86, 0.74, 0.81, 8300
09/28/22, 0.79, 0.79, 0.78, 0.79, 700
09/27/22, 0.73, 0.80, 0.71, 0.72, 5900
09/26/22, 0.78, 0.79, 0.71, 0.75, 9500
09/23/22, 0.71, 0.78, 0.71, 0.73, 2900
09/22/22, 0.71, 0.79, 0.70, 0.71, 16800
09/21/22, 0.71, 0.78, 0.71, 0.72, 600
09/20/22, 0.73, 0.73, 0.71, 0.71, 9100
09/19/22, 0.80, 0.80, 0.73, 0.77, 2200
09/16/22, 0.80, 0.80, 0.75, 0.80, 7200
09/15/22, 0.81, 0.82, 0.75, 0.82, 12400
09/14/22, 0.80, 0.82, 0.75, 0.81, 3500
09/12/22, 0.82, 0.82, 0.73, 0.80, 3900
09/09/22, 0.81, 0.82, 0.81, 0.81, 2600
09/08/22, 0.75, 0.82, 0.75, 0.81, 4600
09/07/22, 0.78, 0.82, 0.75, 0.79, 2600
09/06/22, 0.77, 0.80, 0.75, 0.78, 8900
09/05/22, 0.77, 0.77, 0.77, 0.77, 2000
09/02/22, 0.72, 0.78, 0.72, 0.77, 4000
09/01/22, 0.72, 0.78, 0.72, 0.77, 1000
08/31/22, 0.80, 0.80, 0.75, 0.80, 2700
08/30/22, 0.77, 0.78, 0.76, 0.78, 6100
08/29/22, 0.79, 0.80, 0.79, 0.80, 500
08/26/22, 0.80, 0.80, 0.76, 0.77, 5400
08/25/22, 0.80, 0.80, 0.75, 0.75, 15200
08/24/22, 0.80, 0.80, 0.75, 0.77, 300
08/23/22, 0.75, 0.75, 0.73, 0.74, 500
08/22/22, 0.80, 0.80, 0.71, 0.73, 6000
08/19/22, 0.76, 0.79, 0.76, 0.78, 17000
08/18/22, 0.81, 0.81, 0.76, 0.78, 13500
08/17/22, 0.82, 0.82, 0.76, 0.81, 5500
08/16/22, 0.80, 0.85, 0.80, 0.83, 200
08/12/22, 0.80, 0.81, 0.80, 0.80, 8100
08/11/22, 0.80, 0.80, 0.80, 0.80, 100
08/08/22, 0.75, 0.77, 0.72, 0.73, 15500
08/05/22, 0.81, 0.81, 0.70, 0.80, 2900
08/04/22, 0.74, 0.80, 0.74, 0.74, 5200
08/03/22, 0.74, 0.74, 0.74, 0.74, 200
08/02/22, 0.75, 0.75, 0.75, 0.75, 1000
08/01/22, 0.75, 0.75, 0.75, 0.75, 900
07/29/22, 0.75, 0.75, 0.74, 0.75, 20000
