Date, Open, High, Low, Close, Volume
11/01/22, 16.95, 17.00, 16.90, 16.95, 5400
10/31/22, 16.95, 17.00, 16.95, 17.00, 300
10/28/22, 16.80, 16.95, 16.50, 16.70, 66600
10/27/22, 16.95, 16.95, 16.80, 16.80, 23300
10/26/22, 16.95, 16.95, 16.80, 16.85, 18600
10/25/22, 16.85, 16.85, 16.80, 16.85, 21200
10/24/22, 16.85, 17.00, 16.85, 16.85, 8700
10/21/22, 17.00, 17.00, 16.85, 16.95, 99200
10/19/22, 17.00, 17.25, 16.95, 17.00, 117800
10/18/22, 17.50, 17.50, 17.00, 17.00, 49700
10/17/22, 17.00, 17.00, 17.00, 17.00, 1000
10/14/22, 17.00, 17.50, 17.00, 17.00, 21400
10/13/22, 17.00, 17.00, 17.00, 17.00, 5800
10/12/22, 16.90, 17.00, 16.90, 16.90, 7500
10/11/22, 17.00, 17.00, 16.85, 16.85, 18000
10/07/22, 16.90, 16.90, 16.85, 16.90, 29500
10/06/22, 16.90, 17.00, 16.90, 16.90, 117400
10/05/22, 17.00, 17.00, 16.75, 16.90, 56000
10/04/22, 17.00, 17.00, 16.90, 16.95, 5000
10/03/22, 17.00, 17.00, 16.95, 17.00, 265200
09/30/22, 17.25, 17.25, 17.00, 17.00, 29800
09/29/22, 17.50, 17.50, 17.25, 17.25, 22100
09/28/22, 17.30, 17.50, 17.00, 17.25, 5300
09/27/22, 17.00, 18.40, 16.90, 17.30, 965000
09/26/22, 17.00, 17.00, 16.90, 17.00, 2900
09/23/22, 17.00, 17.00, 16.90, 16.90, 317400
09/22/22, 16.95, 17.00, 16.95, 17.00, 21000
09/21/22, 17.00, 17.00, 17.00, 17.00, 401600
09/20/22, 17.00, 17.00, 16.90, 17.00, 482100
09/19/22, 17.00, 17.00, 16.95, 16.95, 43600
09/16/22, 17.00, 17.00, 16.90, 16.95, 85600
09/15/22, 17.00, 17.00, 16.95, 16.95, 38100
09/14/22, 17.00, 17.95, 16.95, 17.00, 195600
09/12/22, 17.00, 17.00, 16.95, 16.95, 166700
09/09/22, 17.00, 17.00, 16.95, 17.00, 620000
09/08/22, 16.95, 18.00, 16.95, 17.05, 1553900
09/07/22, 17.00, 17.00, 16.95, 17.00, 214300
09/06/22, 17.00, 17.00, 16.95, 17.00, 552800
09/05/22, 17.20, 17.20, 16.95, 17.00, 248900
09/02/22, 17.05, 17.05, 16.95, 17.00, 87700
09/01/22, 16.95, 17.05, 16.95, 17.00, 519000
08/31/22, 17.00, 17.00, 16.95, 17.00, 19700
08/30/22, 17.00, 17.20, 16.95, 17.00, 13200
08/29/22, 17.00, 17.95, 16.90, 17.00, 41600
08/26/22, 17.95, 17.95, 16.90, 17.15, 30000
08/25/22, 17.95, 18.00, 16.95, 17.35, 7000
08/24/22, 17.00, 17.60, 17.00, 17.00, 9900
08/23/22, 17.00, 17.85, 16.90, 16.95, 115400
08/22/22, 16.95, 17.00, 16.95, 17.00, 48200
08/19/22, 17.00, 17.00, 16.85, 16.95, 100600
08/18/22, 16.95, 17.25, 16.95, 17.00, 267700
08/17/22, 17.00, 17.00, 17.00, 17.00, 71400
08/16/22, 17.50, 18.00, 16.95, 17.05, 165600
08/15/22, 17.00, 17.00, 16.95, 17.00, 204100
08/12/22, 17.00, 17.00, 16.95, 17.00, 1068600
08/11/22, 17.50, 17.50, 16.95, 17.00, 1363400
08/10/22, 17.00, 17.00, 17.00, 17.00, 300000
08/08/22, 17.85, 17.85, 17.00, 17.00, 241900
08/05/22, 17.00, 17.25, 16.95, 17.00, 70300
08/04/22, 17.00, 17.25, 17.00, 17.00, 76200
08/03/22, 17.50, 17.50, 16.95, 17.00, 154700
08/02/22, 16.95, 17.10, 16.95, 17.00, 126000
08/01/22, 17.20, 17.20, 17.00, 17.00, 100100
07/29/22, 17.00, 17.00, 16.95, 17.00, 166000
07/28/22, 17.05, 17.20, 16.90, 17.00, 461200
07/27/22, 17.40, 17.40, 16.90, 17.05, 80300
07/26/22, 17.00, 17.00, 17.00, 17.00, 500000
07/25/22, 18.70, 18.70, 17.00, 17.45, 19500
07/22/22, 17.40, 17.40, 17.00, 17.05, 36500
07/21/22, 17.00, 17.00, 16.95, 17.00, 104400
07/20/22, 17.20, 17.45, 17.00, 17.00, 515100
07/19/22, 17.00, 17.00, 16.95, 17.00, 28900
07/18/22, 17.45, 17.45, 17.00, 17.00, 51200
07/15/22, 17.50, 17.50, 17.00, 17.00, 32000
07/14/22, 17.00, 17.50, 17.00, 17.00, 74600
07/13/22, 17.70, 18.00, 16.95, 17.00, 360300
07/12/22, 17.00, 17.50, 17.00, 17.00, 73500
07/08/22, 17.45, 17.45, 16.95, 17.00, 93600
07/07/22, 17.25, 17.25, 17.00, 17.10, 69000
07/06/22, 17.00, 17.05, 17.00, 17.00, 68500
07/05/22, 17.00, 17.10, 17.00, 17.00, 46200
07/04/22, 17.25, 17.25, 17.00, 17.00, 43600
07/01/22, 17.05, 17.25, 17.00, 17.00, 16400
06/30/22, 17.10, 17.10, 16.90, 17.00, 23300
06/29/22, 17.00, 17.10, 17.00, 17.05, 19900
06/28/22, 17.00, 17.15, 17.00, 17.00, 166000
06/27/22, 17.20, 17.20, 17.00, 17.15, 20200
06/24/22, 18.00, 18.00, 17.00, 17.00, 192300
06/23/22, 17.00, 17.95, 17.00, 17.00, 17500
06/22/22, 16.60, 17.00, 16.60, 16.90, 81900
06/21/22, 16.55, 16.80, 16.55, 16.65, 8200
06/20/22, 16.90, 17.00, 16.50, 16.50, 275500
06/17/22, 16.95, 16.95, 16.60, 16.70, 3400
06/16/22, 16.95, 16.95, 16.50, 16.55, 471200
06/15/22, 17.00, 17.00, 16.60, 16.75, 190900
06/14/22, 17.00, 17.00, 16.95, 16.95, 41900
06/13/22, 17.00, 17.00, 16.95, 17.00, 15200
06/10/22, 17.00, 17.00, 16.95, 17.00, 13900
06/09/22, 17.00, 17.00, 16.65, 16.90, 85700
06/08/22, 17.05, 17.05, 17.00, 17.00, 330600
06/07/22, 17.00, 17.00, 16.95, 17.00, 765900
06/06/22, 17.20, 18.00, 16.90, 17.00, 125100
06/03/22, 17.50, 17.50, 16.90, 17.00, 470400
06/02/22, 17.95, 18.00, 17.95, 17.95, 1500
05/31/22, 17.00, 17.95, 17.00, 17.05, 18800
05/30/22, 18.00, 18.00, 16.90, 17.00, 51100
05/27/22, 17.50, 18.00, 17.00, 17.05, 1155200
05/26/22, 17.30, 17.50, 17.30, 17.30, 43100
05/25/22, 16.90, 17.30, 16.90, 16.90, 61400
05/24/22, 17.30, 17.30, 16.95, 17.05, 79400
05/23/22, 17.50, 17.50, 17.40, 17.50, 7300
05/20/22, 17.50, 17.70, 17.50, 17.50, 28800
05/19/22, 17.80, 17.80, 17.70, 17.70, 6700
05/18/22, 17.90, 17.90, 17.90, 17.90, 800
05/17/22, 17.95, 17.95, 17.95, 17.95, 2700
05/16/22, 17.95, 17.95, 17.95, 17.95, 1500
05/13/22, 18.00, 18.00, 17.90, 17.95, 21600
05/12/22, 18.00, 18.00, 17.85, 18.00, 3700
05/11/22, 18.00, 18.95, 17.85, 18.20, 4100
05/10/22, 18.00, 18.00, 17.85, 17.90, 16700
05/09/22, 18.00, 18.00, 17.90, 18.00, 12800
05/06/22, 18.00, 18.00, 17.85, 18.00, 12000
05/05/22, 18.00, 18.00, 17.85, 18.00, 4600
05/04/22, 18.20, 18.20, 18.00, 18.10, 4900
04/28/22, 19.00, 19.00, 18.10, 18.20, 13100
04/27/22, 19.00, 19.00, 18.05, 18.40, 3300
04/26/22, 19.50, 19.50, 18.00, 18.45, 360300
04/25/22, 19.95, 19.95, 18.55, 18.90, 27100
04/22/22, 20.00, 20.50, 19.95, 20.00, 16900
04/21/22, 20.35, 20.50, 20.15, 20.35, 276200
04/20/22, 20.45, 20.45, 20.30, 20.30, 51800
04/19/22, 20.45, 20.45, 20.30, 20.35, 5000
04/14/22, 20.45, 20.50, 20.15, 20.40, 29700
