Date, Open, High, Low, Close, Volume
11/01/22, 4.15, 4.26, 3.87, 4.11, 116400
10/31/22, 3.79, 3.91, 3.78, 3.88, 131100
10/28/22, 3.56, 3.56, 3.56, 3.56, 5300
10/27/22, 3.70, 3.79, 3.70, 3.79, 22800
10/26/22, 3.80, 3.98, 3.65, 3.66, 40700
10/25/22, 3.95, 3.95, 3.95, 3.95, 1000
10/24/22, 3.70, 3.99, 3.70, 3.95, 1100
10/21/22, 4.00, 4.00, 3.70, 3.80, 3400
10/19/22, 3.72, 4.05, 3.42, 3.92, 198400
10/18/22, 3.84, 3.84, 3.42, 3.72, 14900
10/17/22, 3.68, 3.70, 3.68, 3.69, 19300
10/14/22, 3.51, 3.78, 3.42, 3.43, 16900
10/13/22, 3.85, 3.85, 3.36, 3.50, 62900
10/12/22, 3.54, 3.85, 3.50, 3.69, 430800
10/11/22, 3.41, 3.55, 3.11, 3.51, 110300
10/07/22, 3.00, 3.41, 3.00, 3.24, 164000
10/06/22, 3.10, 3.10, 3.10, 3.10, 2100
10/05/22, 3.25, 3.25, 2.96, 3.15, 7300
10/04/22, 3.20, 3.38, 3.20, 3.25, 1900
10/03/22, 3.40, 3.50, 3.20, 3.48, 11600
09/30/22, 3.50, 3.50, 3.20, 3.23, 48600
09/29/22, 3.48, 3.48, 3.40, 3.42, 43200
09/28/22, 3.38, 3.43, 3.38, 3.39, 13300
09/27/22, 3.39, 3.48, 3.37, 3.43, 67400
09/26/22, 3.25, 3.39, 3.25, 3.37, 25000
09/23/22, 3.20, 3.20, 3.20, 3.20, 4400
09/22/22, 3.25, 3.25, 3.20, 3.20, 72500
09/21/22, 3.20, 3.40, 3.20, 3.21, 33700
09/20/22, 3.40, 3.40, 3.20, 3.27, 4100
09/19/22, 3.48, 3.48, 3.40, 3.48, 5600
09/16/22, 3.40, 3.50, 3.40, 3.47, 6400
09/15/22, 3.25, 3.40, 3.24, 3.25, 4200
09/14/22, 3.22, 3.40, 3.20, 3.23, 19200
09/12/22, 3.22, 3.45, 3.20, 3.30, 21700
09/09/22, 3.30, 3.39, 3.20, 3.21, 73300
09/08/22, 3.50, 3.50, 3.20, 3.23, 31300
09/07/22, 3.50, 3.50, 3.21, 3.29, 26700
09/06/22, 3.30, 3.60, 3.18, 3.25, 99900
09/05/22, 3.37, 3.49, 3.17, 3.37, 42000
09/02/22, 3.37, 3.38, 3.16, 3.18, 67300
09/01/22, 3.39, 3.39, 3.20, 3.24, 68100
08/31/22, 3.40, 3.40, 3.30, 3.39, 1300
08/30/22, 3.25, 3.50, 3.11, 3.19, 117800
08/29/22, 3.55, 3.59, 3.30, 3.45, 22000
08/26/22, 3.55, 3.55, 3.55, 3.55, 100
08/25/22, 3.50, 3.50, 3.50, 3.50, 3000
08/24/22, 3.55, 3.55, 3.50, 3.51, 700
08/23/22, 3.56, 3.65, 3.50, 3.51, 20900
08/22/22, 3.56, 3.56, 3.47, 3.47, 99000
08/19/22, 3.68, 3.68, 3.48, 3.56, 5000
08/18/22, 3.67, 3.67, 3.67, 3.67, 1000
08/17/22, 3.40, 3.47, 3.25, 3.42, 50400
08/16/22, 3.40, 3.46, 3.30, 3.36, 88900
08/15/22, 3.50, 3.50, 3.30, 3.37, 29900
08/12/22, 3.40, 3.50, 3.40, 3.47, 36300
08/11/22, 3.43, 3.43, 3.30, 3.34, 90000
08/10/22, 3.40, 3.50, 3.40, 3.47, 2600
08/08/22, 3.41, 3.50, 3.20, 3.47, 6500
08/05/22, 3.38, 3.52, 3.35, 3.38, 3700
08/04/22, 3.35, 3.39, 3.35, 3.39, 20200
08/03/22, 3.36, 3.36, 3.04, 3.09, 94000
08/02/22, 3.40, 3.60, 3.35, 3.37, 4100
08/01/22, 3.70, 3.70, 3.40, 3.43, 103100
07/29/22, 3.51, 3.70, 3.51, 3.55, 1500
