Date, Open, High, Low, Close, Volume
09/06/21, 10.40, 10.40, 10.40, 10.40, 100
01/15/21, 10.40, 10.40, 10.40, 10.40, 100
12/22/20, 10.50, 10.50, 10.50, 10.50, 600
12/18/20, 10.50, 10.50, 10.50, 10.50, 100
09/22/20, 11.05, 11.05, 11.05, 11.05, 300
08/27/20, 12.25, 12.25, 12.25, 12.25, 200
03/25/20, 12.25, 12.25, 12.25, 12.25, 200
10/17/19, 12.50, 12.50, 12.50, 12.50, 300
10/16/19, 12.60, 12.60, 12.60, 12.60, 200
10/14/19, 12.60, 12.60, 12.60, 12.60, 300
07/24/19, 12.60, 12.60, 12.60, 12.60, 100
07/17/19, 12.60, 12.60, 12.60, 12.60, 800
04/01/19, 12.60, 12.60, 12.60, 12.60, 400
03/20/19, 14.00, 14.00, 14.00, 14.00, 100
03/19/19, 14.00, 14.00, 14.00, 14.00, 100
03/15/19, 14.00, 14.00, 14.00, 14.00, 100
03/13/19, 14.00, 14.00, 14.00, 14.00, 300
10/15/18, 14.00, 14.00, 14.00, 14.00, 500
09/25/18, 14.00, 14.00, 14.00, 14.00, 300
09/18/18, 14.00, 14.00, 14.00, 14.00, 1000
09/17/18, 82.00, 82.00, 82.00, 82.00, 500
05/28/18, 82.00, 82.00, 82.00, 82.00, 100
03/07/18, 82.00, 82.00, 82.00, 82.00, 100
01/24/18, 90.00, 90.00, 90.00, 90.00, 500
01/19/18, 95.00, 95.00, 95.00, 95.00, 100
01/16/18, 90.00, 90.00, 90.00, 90.00, 100
01/15/18, 90.00, 90.00, 90.00, 90.00, 300
01/12/18, 90.00, 90.00, 90.00, 90.00, 100
12/14/17, 97.00, 97.00, 97.00, 97.00, 100
12/13/17, 94.00, 94.00, 94.00, 94.00, 200
12/11/17, 94.00, 94.00, 94.00, 94.00, 100
11/17/17, 94.50, 95.00, 94.00, 94.50, 300
11/14/17, 95.00, 95.00, 95.00, 95.00, 100
06/05/17, 97.00, 97.00, 97.00, 97.00, 100
08/24/16, 95.00, 95.00, 95.00, 95.00, 100
04/12/16, 97.00, 97.00, 97.00, 97.00, 100
02/29/16, 97.00, 97.00, 97.00, 97.00, 100
01/28/16, 97.00, 97.00, 97.00, 97.00, 200
10/14/15, 98.00, 98.00, 98.00, 98.00, 300
10/13/15, 98.00, 98.00, 98.00, 98.00, 400
09/28/15, 100.00, 100.00, 100.00, 100.00, 100
08/24/15, 100.00, 100.00, 100.00, 100.00, 400
08/21/15, 100.00, 100.00, 100.00, 100.00, 900
08/18/15, 100.00, 100.00, 100.00, 100.00, 200
06/04/15, 100.00, 100.00, 100.00, 100.00, 500
05/04/15, 105.00, 105.00, 105.00, 105.00, 1400
04/14/15, 110.00, 110.00, 110.00, 110.00, 500
03/17/15, 112.00, 112.00, 112.00, 112.00, 100
03/13/15, 115.00, 115.00, 115.00, 115.00, 100
03/11/15, 112.00, 112.00, 112.00, 112.00, 300
03/10/15, 112.00, 112.00, 112.00, 112.00, 100
03/06/15, 112.00, 112.00, 112.00, 112.00, 500
02/24/15, 115.00, 125.00, 114.00, 115.00, 800
02/18/15, 115.00, 115.00, 115.00, 115.00, 100
02/17/15, 115.00, 115.00, 115.00, 115.00, 100
02/13/15, 110.00, 110.00, 110.00, 110.00, 100
01/19/15, 110.00, 110.00, 110.00, 110.00, 100
12/19/14, 110.00, 110.00, 110.00, 110.00, 500
12/05/14, 118.00, 118.00, 118.00, 118.00, 800
12/03/14, 118.00, 120.00, 113.00, 118.00, 400
11/13/14, 125.00, 125.00, 125.00, 125.00, 100
11/07/14, 138.00, 140.00, 138.00, 138.00, 800
11/06/14, 153.00, 153.00, 153.00, 153.00, 300
11/05/14, 170.00, 170.00, 170.00, 170.00, 300
11/04/14, 180.00, 180.00, 180.00, 180.00, 200
11/03/14, 175.00, 175.00, 175.00, 175.00, 400
10/31/14, 190.00, 190.00, 190.00, 190.00, 100
10/29/14, 181.00, 192.00, 175.00, 181.00, 800
10/28/14, 175.00, 181.00, 175.00, 175.00, 1000
10/27/14, 181.00, 181.00, 181.00, 181.00, 100
10/24/14, 182.00, 190.00, 175.00, 182.00, 200
10/23/14, 175.00, 175.00, 175.00, 175.00, 100
10/22/14, 175.00, 175.00, 175.00, 175.00, 1200
10/21/14, 160.00, 160.00, 160.00, 160.00, 200
10/17/14, 146.00, 150.00, 145.00, 146.00, 300
10/16/14, 140.00, 140.00, 140.00, 140.00, 300
10/15/14, 135.00, 143.00, 133.00, 135.00, 500
10/14/14, 133.00, 139.00, 130.00, 133.00, 300
10/13/14, 130.00, 130.00, 130.00, 130.00, 100
10/10/14, 127.00, 134.00, 122.00, 127.00, 1800
10/09/14, 122.00, 122.00, 122.00, 122.00, 100
10/08/14, 111.00, 111.00, 111.00, 111.00, 900
10/07/14, 101.00, 103.00, 96.50, 101.00, 600
10/06/14, 94.00, 96.00, 90.00, 94.00, 300
10/03/14, 87.50, 88.00, 82.00, 87.50, 2600
10/02/14, 88.00, 88.00, 88.00, 88.00, 200
10/01/14, 80.00, 80.00, 80.00, 80.00, 500
09/30/14, 73.00, 73.00, 73.00, 73.00, 300
09/29/14, 67.00, 67.00, 67.00, 67.00, 100
09/26/14, 62.00, 63.00, 60.00, 62.00, 2000
09/25/14, 57.50, 57.50, 57.50, 57.50, 900
09/24/14, 52.50, 52.50, 52.50, 52.50, 100
09/23/14, 48.00, 48.00, 48.00, 48.00, 100
09/22/14, 44.00, 44.50, 41.50, 44.00, 600
09/19/14, 41.50, 41.50, 41.50, 41.50, 100
09/17/14, 37.75, 37.75, 37.75, 37.75, 100
09/15/14, 34.50, 34.50, 34.50, 34.50, 100
09/12/14, 31.50, 31.50, 31.50, 31.50, 100
09/11/14, 28.75, 28.75, 28.75, 28.75, 100
09/10/14, 26.25, 26.25, 26.25, 26.25, 100
09/09/14, 24.00, 24.00, 24.00, 24.00, 100
09/08/14, 22.00, 22.00, 22.00, 22.00, 100
09/04/14, 20.00, 20.00, 20.00, 20.00, 100
09/03/14, 18.35, 18.35, 18.35, 18.35, 100
09/02/14, 16.70, 16.70, 16.70, 16.70, 100
08/29/14, 15.20, 15.20, 15.20, 15.20, 100
08/26/14, 13.85, 13.85, 13.85, 13.85, 100
08/22/14, 12.60, 12.60, 12.60, 12.60, 100
08/20/14, 11.50, 11.50, 11.50, 11.50, 100
08/15/14, 10.50, 10.50, 10.50, 10.50, 5000
08/14/14, 10.50, 10.50, 10.50, 10.50, 1000
08/13/14, 10.50, 10.50, 10.50, 10.50, 500
07/28/14, 10.25, 10.25, 10.25, 10.25, 800
05/29/14, 9.45, 9.45, 9.45, 9.45, 1600
05/13/14, 8.60, 8.60, 8.60, 8.60, 400
05/06/14, 7.90, 7.90, 7.90, 7.90, 100
04/28/14, 7.20, 7.20, 7.20, 7.20, 500
04/25/14, 6.55, 6.55, 6.55, 6.55, 4000
04/24/14, 6.60, 6.60, 6.60, 6.60, 100
04/23/14, 6.00, 6.00, 6.00, 6.00, 100
04/17/14, 5.60, 5.60, 5.60, 5.60, 400
04/15/14, 5.50, 5.50, 5.50, 5.50, 100
04/04/14, 5.00, 5.00, 5.00, 5.00, 8500
04/03/14, 5.00, 5.00, 5.00, 5.00, 1000
04/02/14, 5.00, 5.00, 5.00, 5.00, 2000
04/01/14, 4.60, 5.00, 4.40, 4.60, 600
