Date, Open, High, Low, Close, Volume
11/01/22, 8.50, 9.00, 8.50, 8.52, 8400
10/31/22, 8.52, 8.52, 8.52, 8.52, 600
10/28/22, 8.50, 8.50, 8.50, 8.50, 1400
10/27/22, 9.00, 9.00, 8.12, 8.72, 2900
10/26/22, 9.02, 9.02, 8.90, 8.98, 2000
10/25/22, 9.80, 9.80, 9.80, 9.80, 100
10/24/22, 9.80, 9.80, 9.80, 9.80, 100
10/21/22, 9.08, 9.08, 9.08, 9.08, 300
10/19/22, 9.40, 9.40, 9.02, 9.04, 1600
10/18/22, 9.88, 9.88, 9.88, 9.88, 100
10/17/22, 9.02, 9.02, 9.00, 9.00, 16900
10/14/22, 9.88, 9.88, 9.88, 9.88, 200
10/13/22, 9.10, 9.10, 9.10, 9.10, 100
10/12/22, 10.20, 10.20, 9.00, 9.02, 36900
10/11/22, 10.00, 10.00, 10.00, 10.00, 100
10/07/22, 9.98, 9.98, 9.02, 9.94, 6300
10/06/22, 9.96, 9.98, 9.96, 9.98, 5000
10/05/22, 9.96, 9.96, 9.96, 9.96, 100
10/04/22, 9.06, 9.06, 9.06, 9.06, 2000
10/03/22, 10.00, 10.00, 9.00, 9.08, 1700
09/30/22, 10.00, 10.00, 9.00, 9.94, 4700
09/29/22, 10.00, 10.00, 10.00, 10.00, 1000
09/27/22, 10.00, 10.00, 10.00, 10.00, 2900
09/26/22, 10.00, 10.00, 10.00, 10.00, 1100
09/23/22, 10.00, 10.00, 10.00, 10.00, 500
09/22/22, 10.40, 10.40, 10.00, 10.10, 1700
09/21/22, 10.40, 10.40, 10.40, 10.40, 1000
09/20/22, 10.40, 10.40, 10.40, 10.40, 10400
09/16/22, 11.50, 11.50, 11.50, 11.50, 100
09/15/22, 11.45, 11.45, 11.45, 11.45, 200
09/14/22, 11.70, 11.70, 10.90, 11.65, 2100
09/12/22, 11.70, 11.70, 11.70, 11.70, 100
09/08/22, 10.60, 11.00, 10.60, 10.90, 700
09/07/22, 11.60, 11.60, 11.60, 11.60, 100
09/01/22, 10.55, 10.55, 10.55, 10.55, 300
08/31/22, 11.70, 11.70, 11.50, 11.50, 10900
08/26/22, 11.50, 11.50, 11.50, 11.50, 700
08/25/22, 11.70, 11.70, 11.50, 11.65, 500
08/24/22, 11.70, 11.70, 11.70, 11.70, 400
08/22/22, 11.70, 11.70, 11.65, 11.70, 200
08/19/22, 11.65, 11.70, 11.65, 11.65, 3100
08/18/22, 11.70, 11.70, 11.70, 11.70, 200
08/17/22, 11.50, 11.65, 11.50, 11.50, 4000
08/16/22, 11.50, 11.70, 11.50, 11.50, 1600
08/11/22, 11.65, 11.65, 11.65, 11.65, 100
08/10/22, 11.70, 11.70, 11.70, 11.70, 100
08/05/22, 11.60, 11.60, 11.60, 11.60, 100
08/04/22, 10.60, 11.70, 10.60, 11.15, 200
08/02/22, 11.70, 11.70, 11.70, 11.70, 200
07/27/22, 12.00, 12.00, 12.00, 12.00, 300
07/20/22, 11.70, 11.70, 11.60, 11.60, 1600
07/14/22, 11.00, 11.00, 11.00, 11.00, 1000
07/13/22, 11.00, 11.00, 11.00, 11.00, 9600
07/08/22, 11.00, 11.00, 11.00, 11.00, 100
07/06/22, 10.80, 11.70, 10.80, 11.25, 200
06/30/22, 12.00, 12.00, 12.00, 12.00, 1000
06/27/22, 12.00, 12.00, 12.00, 12.00, 1000
06/22/22, 13.00, 13.00, 13.00, 13.00, 100
06/17/22, 13.00, 13.00, 13.00, 13.00, 900
06/14/22, 13.00, 13.00, 13.00, 13.00, 100
06/13/22, 13.00, 13.00, 13.00, 13.00, 500
06/09/22, 13.00, 13.00, 13.00, 13.00, 100
06/02/22, 13.90, 13.90, 13.90, 13.90, 300
05/31/22, 14.00, 14.00, 14.00, 14.00, 300
05/25/22, 14.00, 14.00, 14.00, 14.00, 400
05/23/22, 14.80, 14.85, 14.80, 14.85, 2000
05/20/22, 14.85, 14.85, 14.85, 14.85, 1000
05/19/22, 14.85, 14.85, 14.85, 14.85, 200
05/16/22, 14.85, 14.85, 14.85, 14.85, 1000
05/13/22, 14.50, 14.90, 14.50, 14.85, 4000
05/11/22, 14.90, 14.90, 14.90, 14.90, 300
05/10/22, 13.90, 15.00, 13.90, 14.25, 3700
05/09/22, 13.90, 13.90, 13.90, 13.90, 400
05/06/22, 12.25, 13.25, 12.25, 12.90, 7800
05/05/22, 12.00, 12.25, 12.00, 12.05, 2000
05/04/22, 11.15, 11.15, 11.15, 11.15, 700
04/28/22, 10.15, 10.15, 10.15, 10.15, 700
04/25/22, 9.90, 11.00, 9.90, 10.15, 1400
04/22/22, 11.00, 11.00, 9.90, 10.75, 1300
04/21/22, 11.00, 11.00, 11.00, 11.00, 100
04/08/22, 11.00, 11.00, 11.00, 11.00, 3000
04/04/22, 11.10, 11.40, 11.10, 11.20, 1500
04/01/22, 11.00, 11.00, 11.00, 11.00, 20000
03/28/22, 11.00, 11.00, 11.00, 11.00, 300
03/24/22, 11.75, 11.75, 11.00, 11.40, 200
03/17/22, 11.00, 11.00, 11.00, 11.00, 300
03/15/22, 11.55, 11.55, 11.55, 11.55, 100
03/14/22, 11.55, 11.55, 11.55, 11.55, 1900
03/11/22, 12.75, 12.75, 12.75, 12.75, 200
03/10/22, 12.00, 12.00, 12.00, 12.00, 1200
03/09/22, 13.25, 13.25, 13.25, 13.25, 100
03/08/22, 13.05, 13.05, 13.05, 13.05, 900
03/07/22, 12.00, 13.05, 12.00, 12.05, 1700
03/04/22, 12.30, 12.30, 11.50, 11.90, 200
03/03/22, 12.20, 13.05, 12.20, 12.25, 1300
03/01/22, 13.55, 13.55, 13.55, 13.55, 100
02/28/22, 13.50, 13.50, 13.50, 13.50, 200
02/22/22, 15.00, 15.00, 15.00, 15.00, 100
02/18/22, 15.00, 15.00, 15.00, 15.00, 3100
02/17/22, 13.00, 14.00, 13.00, 13.95, 3600
02/16/22, 13.00, 13.00, 13.00, 13.00, 3800
02/15/22, 11.00, 12.10, 11.00, 11.85, 4000
02/11/22, 11.00, 11.00, 11.00, 11.00, 1700
02/08/22, 10.50, 10.50, 10.50, 10.50, 1000
01/31/22, 9.74, 9.74, 9.74, 9.74, 1200
01/28/22, 9.70, 9.70, 9.70, 9.70, 1000
01/27/22, 10.60, 10.60, 10.50, 10.55, 400
01/24/22, 9.64, 11.50, 9.64, 10.55, 200
01/21/22, 10.60, 10.60, 10.50, 10.55, 1900
01/20/22, 10.50, 10.50, 10.50, 10.50, 200
01/13/22, 10.50, 10.50, 10.50, 10.50, 400
01/11/22, 10.60, 10.60, 10.60, 10.60, 100
01/10/22, 10.50, 10.50, 10.50, 10.50, 1000
12/20/21, 11.55, 11.55, 11.50, 11.55, 26800
12/17/21, 11.50, 11.50, 11.50, 11.50, 200
12/15/21, 11.50, 11.80, 11.50, 11.55, 4400
12/08/21, 11.50, 11.50, 11.50, 11.50, 400
12/07/21, 11.00, 12.00, 11.00, 11.55, 17200
12/06/21, 11.40, 11.40, 11.40, 11.40, 200
12/03/21, 11.50, 11.60, 11.50, 11.50, 25900
12/01/21, 11.50, 11.50, 11.50, 11.50, 5100
11/30/21, 11.50, 11.50, 11.50, 11.50, 5800
11/29/21, 12.00, 12.00, 11.50, 11.85, 300
11/25/21, 11.00, 11.00, 11.00, 11.00, 7800
11/24/21, 11.50, 11.50, 11.00, 11.40, 4200
11/19/21, 11.50, 11.50, 11.50, 11.50, 100
11/16/21, 11.85, 11.85, 11.50, 11.50, 4900
11/15/21, 11.50, 12.50, 11.50, 11.85, 3000
11/11/21, 11.50, 11.50, 11.50, 11.50, 100
11/10/21, 12.50, 12.50, 12.50, 12.50, 100
11/09/21, 12.50, 12.50, 12.50, 12.50, 400
11/08/21, 12.40, 12.40, 12.40, 12.40, 100
11/05/21, 12.00, 12.50, 12.00, 12.40, 800
11/04/21, 11.50, 11.50, 11.50, 11.50, 100
11/03/21, 12.00, 12.00, 12.00, 12.00, 200
11/02/21, 11.70, 11.70, 11.70, 11.70, 400
11/01/21, 11.70, 11.70, 11.70, 11.70, 100
10/26/21, 11.50, 11.50, 11.50, 11.50, 4000
10/25/21, 11.70, 11.70, 11.50, 11.60, 1000
10/22/21, 11.50, 11.70, 11.50, 11.65, 500
10/19/21, 11.50, 11.50, 11.50, 11.50, 600
10/18/21, 11.50, 11.50, 11.50, 11.50, 5000
10/15/21, 11.95, 11.95, 11.95, 11.95, 2700
10/13/21, 11.50, 12.85, 11.50, 11.95, 1300
