Date, Open, High, Low, Close, Volume
11/01/22, 10.65, 11.10, 10.65, 10.90, 900
10/31/22, 10.60, 10.60, 9.62, 10.10, 200
10/27/22, 10.85, 10.85, 10.50, 10.65, 800
10/25/22, 10.80, 10.80, 10.80, 10.80, 1800
10/24/22, 10.80, 10.85, 10.80, 10.85, 1600
10/21/22, 12.00, 12.00, 10.80, 10.95, 2200
10/18/22, 12.00, 12.00, 12.00, 12.00, 100
10/17/22, 12.00, 12.00, 12.00, 12.00, 600
10/14/22, 12.00, 12.00, 12.00, 12.00, 300
10/13/22, 11.55, 11.55, 11.45, 11.45, 10600
10/11/22, 12.00, 12.00, 12.00, 12.00, 1000
10/07/22, 12.00, 12.00, 12.00, 12.00, 1000
10/06/22, 12.00, 12.00, 12.00, 12.00, 100
10/05/22, 11.70, 11.70, 11.70, 11.70, 3700
10/04/22, 12.45, 12.45, 12.45, 12.45, 500
10/03/22, 11.70, 12.45, 11.70, 12.25, 1400
09/27/22, 13.45, 13.45, 12.50, 12.60, 1100
09/26/22, 12.50, 12.50, 12.50, 12.50, 800
09/23/22, 13.70, 13.70, 12.50, 12.80, 400
09/22/22, 12.55, 12.55, 12.55, 12.55, 300
09/20/22, 13.50, 13.50, 11.20, 11.45, 5100
09/19/22, 12.00, 13.10, 12.00, 12.35, 600
09/15/22, 12.00, 12.00, 12.00, 12.00, 20000
09/14/22, 12.90, 12.90, 12.90, 12.90, 100
09/12/22, 14.30, 14.30, 14.30, 14.30, 600
09/08/22, 14.25, 14.30, 14.25, 14.30, 1000
09/07/22, 14.30, 14.30, 14.30, 14.30, 500
09/06/22, 13.50, 13.50, 13.50, 13.50, 1500
09/05/22, 13.50, 13.50, 13.50, 13.50, 700
08/29/22, 13.30, 13.30, 13.30, 13.30, 1000
08/24/22, 14.70, 14.70, 14.70, 14.70, 500
08/19/22, 13.50, 13.50, 13.40, 13.50, 1200
08/17/22, 14.70, 14.70, 14.70, 14.70, 200
08/16/22, 14.75, 14.75, 14.75, 14.75, 100
08/15/22, 13.25, 14.00, 13.25, 13.50, 2100
08/10/22, 13.20, 13.25, 13.20, 13.25, 300
08/08/22, 13.20, 13.20, 13.20, 13.20, 900
08/05/22, 13.15, 13.15, 13.15, 13.15, 300
08/03/22, 12.50, 12.50, 12.50, 12.50, 900
08/01/22, 12.50, 12.50, 12.50, 12.50, 100
07/29/22, 12.50, 12.50, 12.50, 12.50, 100
07/22/22, 12.90, 12.90, 12.85, 12.90, 300
07/21/22, 12.90, 12.90, 12.90, 12.90, 100
07/18/22, 11.80, 11.80, 11.80, 11.80, 6800
07/15/22, 11.80, 11.80, 11.80, 11.80, 600
07/14/22, 13.35, 13.35, 13.00, 13.10, 300
07/13/22, 13.00, 13.00, 13.00, 13.00, 5000
07/12/22, 13.30, 13.40, 13.30, 13.35, 400
07/08/22, 12.95, 13.30, 12.95, 13.25, 1000
07/07/22, 12.95, 12.95, 12.95, 12.95, 300
07/04/22, 12.90, 12.95, 12.90, 12.95, 400
07/01/22, 12.80, 13.00, 12.80, 12.95, 2200
06/30/22, 12.75, 12.75, 12.75, 12.75, 200
06/29/22, 12.00, 12.75, 12.00, 12.40, 200
06/28/22, 12.90, 12.90, 12.90, 12.90, 400
06/27/22, 12.30, 12.35, 12.30, 12.35, 200
06/22/22, 12.35, 12.35, 12.35, 12.35, 300
06/20/22, 12.35, 12.35, 12.35, 12.35, 200
06/14/22, 11.55, 11.55, 11.55, 11.55, 1100
06/13/22, 12.50, 12.50, 11.50, 11.55, 2300
06/08/22, 12.50, 12.50, 12.50, 12.50, 100
06/06/22, 12.50, 12.50, 12.00, 12.40, 1800
06/03/22, 13.00, 13.00, 11.75, 12.80, 900
06/02/22, 13.00, 13.00, 13.00, 13.00, 200
05/31/22, 12.95, 13.00, 12.95, 12.95, 1000
05/30/22, 12.90, 12.90, 12.90, 12.90, 300
05/26/22, 12.95, 12.95, 12.95, 12.95, 100
05/25/22, 12.95, 12.95, 12.95, 12.95, 100
05/24/22, 12.95, 12.95, 12.95, 12.95, 1000
05/20/22, 12.95, 12.95, 12.95, 12.95, 100
05/18/22, 12.80, 12.80, 12.80, 12.80, 100
05/17/22, 13.00, 13.00, 13.00, 13.00, 100
05/16/22, 13.00, 13.00, 13.00, 13.00, 100
05/13/22, 13.00, 13.00, 13.00, 13.00, 1000
05/11/22, 13.00, 13.00, 13.00, 13.00, 300
05/10/22, 13.00, 13.00, 13.00, 13.00, 100
05/09/22, 12.95, 13.00, 12.95, 13.00, 200
05/06/22, 13.00, 13.00, 13.00, 13.00, 100
05/05/22, 12.95, 12.95, 12.95, 12.95, 800
05/04/22, 13.00, 13.00, 13.00, 13.00, 100
04/27/22, 13.00, 13.00, 13.00, 13.00, 300
04/26/22, 12.00, 13.00, 12.00, 12.00, 4900
04/22/22, 13.00, 13.00, 13.00, 13.00, 100
04/21/22, 13.00, 13.00, 13.00, 13.00, 300
04/20/22, 13.00, 13.00, 13.00, 13.00, 200
04/14/22, 13.00, 13.00, 13.00, 13.00, 7000
04/13/22, 12.75, 12.95, 12.75, 12.90, 800
04/12/22, 13.00, 13.00, 13.00, 13.00, 2300
04/08/22, 13.50, 13.50, 13.00, 13.15, 1000
04/07/22, 13.00, 13.00, 13.00, 13.00, 100
04/06/22, 12.10, 12.10, 12.10, 12.10, 800
04/05/22, 14.00, 14.00, 12.20, 13.10, 200
03/30/22, 13.40, 13.40, 13.40, 13.40, 800
03/24/22, 12.20, 12.20, 12.20, 12.20, 1000
03/22/22, 12.20, 12.20, 12.20, 12.20, 100
03/16/22, 11.90, 11.90, 11.90, 11.90, 100
03/15/22, 13.00, 13.00, 13.00, 13.00, 1000
03/14/22, 13.00, 13.00, 13.00, 13.00, 200
03/11/22, 13.40, 13.40, 13.40, 13.40, 200
03/10/22, 14.30, 14.30, 14.30, 14.30, 1000
03/08/22, 15.80, 15.80, 15.75, 15.80, 400
03/07/22, 15.80, 15.80, 15.80, 15.80, 300
03/04/22, 14.40, 14.40, 14.40, 14.40, 700
03/03/22, 16.15, 16.40, 13.50, 14.40, 1200
02/28/22, 15.00, 15.00, 15.00, 15.00, 600
02/25/22, 15.00, 15.00, 15.00, 15.00, 100
02/24/22, 15.00, 15.00, 15.00, 15.00, 200
02/22/22, 15.00, 15.00, 15.00, 15.00, 1200
02/18/22, 15.00, 15.00, 15.00, 15.00, 200
02/17/22, 16.00, 16.00, 15.00, 15.65, 800
02/16/22, 15.00, 15.00, 15.00, 15.00, 300
02/10/22, 15.00, 15.00, 15.00, 15.00, 200
02/09/22, 15.00, 15.00, 15.00, 15.00, 400
02/08/22, 16.00, 16.00, 15.00, 15.50, 400
02/07/22, 15.50, 15.50, 15.50, 15.50, 500
02/03/22, 15.50, 15.50, 15.00, 15.50, 10500
02/02/22, 15.50, 15.50, 15.50, 15.50, 8500
02/01/22, 15.00, 15.90, 15.00, 15.20, 500
01/31/22, 14.05, 16.00, 14.05, 15.30, 300
01/28/22, 14.55, 15.50, 14.55, 14.85, 10600
01/26/22, 14.55, 14.55, 14.55, 14.55, 100
01/25/22, 16.90, 16.90, 15.60, 16.15, 700
01/24/22, 15.60, 15.60, 15.60, 15.60, 900
01/21/22, 15.50, 15.50, 14.25, 15.40, 8800
01/20/22, 14.20, 14.20, 14.20, 14.20, 1000
01/17/22, 14.10, 14.10, 14.10, 14.10, 100
01/14/22, 15.50, 15.50, 15.50, 15.50, 100
01/12/22, 14.10, 14.10, 14.10, 14.10, 500
01/11/22, 15.50, 15.50, 15.50, 15.50, 100
01/06/22, 14.90, 14.90, 14.90, 14.90, 100
12/28/21, 13.55, 13.55, 13.55, 13.55, 100
12/20/21, 14.95, 14.95, 14.95, 14.95, 100
12/17/21, 14.95, 14.95, 14.00, 14.50, 200
12/16/21, 14.95, 14.95, 14.95, 14.95, 4700
12/15/21, 13.65, 13.65, 13.65, 13.65, 400
