Date, Open, High, Low, Close, Volume
11/01/22, 6.28, 6.90, 6.26, 6.80, 11900
10/31/22, 6.34, 6.34, 6.24, 6.28, 4300
10/28/22, 6.90, 6.90, 6.22, 6.34, 6200
10/27/22, 6.90, 6.90, 6.90, 6.90, 900
10/26/22, 6.96, 6.96, 6.70, 6.90, 1500
10/25/22, 6.66, 6.66, 6.66, 6.66, 3300
10/24/22, 6.50, 6.50, 5.98, 6.06, 96800
10/21/22, 6.96, 6.96, 6.50, 6.50, 149000
10/19/22, 7.00, 7.00, 6.96, 6.98, 1700
10/18/22, 6.62, 7.00, 6.62, 6.76, 5200
10/17/22, 6.56, 7.00, 6.56, 6.96, 12400
10/14/22, 7.00, 7.00, 7.00, 7.00, 5400
10/13/22, 7.20, 7.20, 7.00, 7.08, 4200
10/12/22, 7.00, 7.10, 7.00, 7.00, 5800
10/11/22, 7.10, 7.10, 7.00, 7.00, 2200
10/07/22, 7.10, 7.10, 7.00, 7.04, 3100
10/06/22, 6.70, 7.00, 6.70, 6.78, 400
10/05/22, 7.10, 7.10, 6.70, 6.72, 1600
10/04/22, 6.82, 7.10, 6.52, 6.76, 8500
10/03/22, 7.10, 7.20, 6.50, 6.66, 9900
09/30/22, 7.10, 7.10, 7.10, 7.10, 300
09/29/22, 7.00, 7.10, 6.98, 7.00, 21900
09/28/22, 7.10, 7.10, 7.10, 7.10, 4500
09/27/22, 7.10, 7.10, 7.10, 7.10, 6500
09/26/22, 7.10, 7.10, 7.10, 7.10, 600
09/23/22, 6.98, 7.00, 6.98, 7.00, 7200
09/22/22, 7.00, 7.10, 6.98, 7.00, 29000
09/21/22, 7.00, 7.00, 6.80, 6.98, 2000
09/20/22, 7.00, 7.06, 6.80, 6.94, 16000
09/19/22, 7.10, 7.10, 6.70, 6.98, 5800
09/16/22, 7.20, 7.20, 6.98, 7.00, 43800
09/15/22, 7.00, 7.04, 7.00, 7.02, 10500
09/14/22, 7.00, 7.04, 6.70, 6.76, 8200
09/12/22, 6.90, 7.00, 6.78, 6.92, 8000
09/09/22, 7.00, 7.00, 6.98, 7.00, 300
09/08/22, 7.00, 7.00, 6.90, 6.98, 9000
09/07/22, 7.00, 7.20, 7.00, 7.08, 2700
09/06/22, 6.80, 7.20, 6.70, 7.02, 6300
09/05/22, 7.00, 7.00, 7.00, 7.00, 1300
09/01/22, 6.96, 6.96, 6.52, 6.66, 900
08/31/22, 6.80, 7.00, 6.50, 6.54, 2600
08/30/22, 7.10, 7.10, 6.50, 6.50, 1031200
08/29/22, 7.12, 7.16, 7.12, 7.14, 2800
08/26/22, 7.16, 7.16, 7.10, 7.14, 200
08/25/22, 7.20, 7.20, 6.50, 7.16, 4500
08/24/22, 7.20, 7.20, 7.10, 7.20, 2200
08/23/22, 7.14, 7.20, 7.14, 7.18, 2200
08/22/22, 7.14, 7.14, 7.14, 7.14, 100
08/19/22, 7.20, 7.20, 7.14, 7.16, 2200
08/18/22, 7.18, 7.20, 7.00, 7.14, 10200
08/17/22, 7.30, 7.30, 7.10, 7.16, 1800
08/16/22, 7.00, 7.20, 7.00, 7.18, 1200
08/15/22, 7.20, 7.20, 7.00, 7.10, 4600
08/12/22, 7.10, 7.18, 7.10, 7.10, 79200
08/11/22, 7.10, 7.20, 7.10, 7.10, 3600
08/10/22, 7.10, 7.20, 7.10, 7.10, 3100
08/08/22, 7.00, 7.20, 7.00, 7.18, 16400
08/05/22, 7.00, 7.00, 7.00, 7.00, 400
08/04/22, 6.98, 7.00, 6.70, 6.98, 27000
08/03/22, 7.00, 7.00, 6.60, 6.66, 14700
08/02/22, 6.62, 6.62, 6.60, 6.60, 67500
08/01/22, 6.54, 6.88, 6.54, 6.62, 13300
07/29/22, 6.80, 6.80, 6.50, 6.54, 6600
07/28/22, 6.86, 6.86, 6.40, 6.60, 21200
07/27/22, 6.68, 7.00, 6.56, 6.88, 36400
07/25/22, 6.66, 6.68, 6.50, 6.54, 14200
07/22/22, 6.62, 6.62, 6.62, 6.62, 600
07/21/22, 6.66, 6.66, 6.20, 6.42, 16800
07/20/22, 6.50, 6.66, 6.40, 6.62, 14500
07/19/22, 6.60, 6.60, 6.40, 6.40, 32600
07/18/22, 6.68, 6.68, 6.60, 6.66, 300
07/15/22, 6.50, 6.68, 6.14, 6.42, 23000
07/14/22, 6.36, 6.50, 6.14, 6.48, 6900
07/13/22, 6.02, 6.58, 6.00, 6.04, 2700
07/12/22, 6.60, 6.60, 6.30, 6.48, 3700
07/08/22, 6.00, 6.60, 6.00, 6.00, 17100
07/07/22, 6.50, 6.50, 6.48, 6.48, 2200
07/06/22, 6.60, 6.60, 6.30, 6.56, 6200
07/05/22, 6.20, 6.58, 6.00, 6.26, 23900
07/04/22, 6.50, 6.50, 6.12, 6.46, 1100
07/01/22, 6.00, 6.00, 6.00, 6.00, 7700
06/30/22, 6.00, 6.00, 6.00, 6.00, 1000
06/29/22, 6.00, 6.00, 5.70, 5.88, 7900
06/28/22, 6.10, 6.10, 6.00, 6.00, 5200
06/27/22, 6.00, 6.10, 6.00, 6.02, 5700
06/24/22, 6.00, 6.16, 5.62, 6.04, 600
06/23/22, 6.00, 6.16, 5.60, 6.12, 28400
06/22/22, 5.60, 5.60, 5.60, 5.60, 700
06/20/22, 5.56, 6.00, 5.56, 5.98, 31800
06/17/22, 5.54, 5.54, 5.54, 5.54, 25600
06/16/22, 6.00, 6.00, 5.54, 5.54, 22900
06/15/22, 6.00, 6.00, 6.00, 6.00, 20600
06/14/22, 6.50, 6.50, 6.00, 6.00, 42800
06/13/22, 6.56, 6.56, 6.30, 6.50, 16100
06/10/22, 6.52, 6.52, 6.00, 6.02, 6300
06/09/22, 6.00, 6.54, 5.82, 6.16, 4300
06/08/22, 6.00, 6.00, 6.00, 6.00, 1500
06/07/22, 6.00, 6.00, 6.00, 6.00, 200
06/06/22, 6.00, 6.20, 5.90, 6.00, 8500
06/03/22, 6.00, 6.00, 5.90, 5.98, 2200
06/02/22, 5.60, 5.64, 5.60, 5.64, 1200
05/31/22, 5.60, 5.60, 5.50, 5.56, 11700
05/30/22, 5.50, 5.60, 5.50, 5.58, 500
05/27/22, 5.70, 5.70, 5.30, 5.34, 180200
05/26/22, 5.50, 5.70, 5.50, 5.58, 59500
05/25/22, 5.34, 5.60, 5.34, 5.58, 2100
05/24/22, 5.32, 5.62, 5.20, 5.30, 2000
05/23/22, 5.00, 5.50, 5.00, 5.36, 3000
05/20/22, 5.62, 5.62, 5.40, 5.52, 3700
05/19/22, 5.60, 5.62, 5.60, 5.62, 18500
05/18/22, 5.72, 5.72, 5.54, 5.62, 28800
05/17/22, 5.74, 5.74, 5.74, 5.74, 4300
05/16/22, 5.74, 5.74, 5.54, 5.74, 3100
05/13/22, 5.74, 5.74, 5.64, 5.72, 6700
05/12/22, 5.74, 5.74, 5.50, 5.54, 5200
05/11/22, 5.74, 5.74, 5.74, 5.74, 2800
05/10/22, 5.74, 5.80, 5.74, 5.74, 15700
05/09/22, 5.90, 5.90, 5.78, 5.82, 500
05/06/22, 6.00, 6.00, 5.74, 5.76, 8900
05/05/22, 5.84, 5.88, 5.74, 5.78, 4400
05/04/22, 5.72, 6.30, 5.72, 5.88, 700
04/28/22, 6.30, 6.30, 6.00, 6.02, 1600
04/27/22, 6.30, 6.30, 6.00, 6.10, 300
04/26/22, 6.30, 6.30, 6.30, 6.30, 500
04/25/22, 6.30, 6.30, 5.72, 5.84, 17900
04/22/22, 6.34, 6.34, 6.34, 6.34, 6200
04/21/22, 5.72, 6.40, 5.72, 6.06, 8000
04/20/22, 6.00, 6.40, 5.72, 5.82, 9700
04/19/22, 6.50, 6.50, 5.94, 6.06, 3500
04/14/22, 6.50, 6.60, 6.10, 6.56, 13800
04/13/22, 6.00, 6.60, 6.00, 6.20, 5300
04/12/22, 6.48, 6.60, 6.48, 6.50, 24500
04/11/22, 6.50, 6.50, 6.02, 6.20, 1600
04/08/22, 6.54, 6.54, 6.50, 6.50, 19900
04/07/22, 6.54, 6.54, 6.52, 6.54, 14900
04/06/22, 6.50, 6.54, 6.50, 6.54, 6800
04/05/22, 6.48, 6.52, 6.00, 6.02, 17800
04/04/22, 6.20, 6.48, 6.20, 6.38, 74700
04/01/22, 5.90, 6.00, 5.84, 5.90, 19200
03/31/22, 5.90, 6.00, 5.88, 5.90, 14700
03/30/22, 6.00, 6.00, 5.88, 5.92, 12600
03/29/22, 5.86, 6.04, 5.84, 5.88, 9400
03/28/22, 5.90, 5.90, 5.84, 5.86, 19200
03/25/22, 6.00, 6.00, 5.84, 5.96, 30100
