Date, Open, High, Low, Close, Volume
11/01/22, 7.80, 7.80, 7.50, 7.54, 15300
10/31/22, 7.50, 8.18, 7.00, 7.42, 2400
10/28/22, 7.50, 7.50, 7.42, 7.50, 19400
10/27/22, 7.70, 8.20, 7.50, 7.56, 3300
10/26/22, 7.70, 8.46, 7.50, 7.82, 9400
10/25/22, 7.70, 7.70, 7.42, 7.70, 5200
10/24/22, 7.02, 7.24, 7.02, 7.22, 1000
10/21/22, 7.00, 7.20, 7.00, 7.02, 46200
10/19/22, 7.30, 7.30, 7.00, 7.12, 1200
10/18/22, 7.76, 7.76, 7.00, 7.02, 27300
10/17/22, 7.50, 7.76, 7.06, 7.50, 1300
10/14/22, 7.40, 7.78, 6.92, 7.06, 2800
10/13/22, 7.30, 7.40, 7.30, 7.38, 9800
10/12/22, 7.40, 7.40, 7.30, 7.38, 400
10/11/22, 7.40, 7.40, 7.40, 7.40, 4600
10/07/22, 7.24, 7.40, 7.00, 7.20, 14400
10/06/22, 7.40, 7.40, 7.20, 7.24, 2600
10/04/22, 7.30, 7.40, 7.30, 7.34, 14600
10/03/22, 7.40, 7.40, 7.24, 7.38, 11000
09/30/22, 7.40, 7.40, 7.40, 7.40, 15400
09/29/22, 7.40, 7.70, 7.40, 7.68, 20100
09/28/22, 7.34, 7.34, 7.34, 7.34, 10500
09/27/22, 7.78, 7.78, 7.34, 7.36, 10700
09/26/22, 7.30, 7.78, 7.30, 7.50, 1700
09/23/22, 7.22, 7.78, 7.20, 7.24, 6600
09/22/22, 7.70, 7.70, 7.22, 7.46, 3700
09/20/22, 7.80, 7.80, 7.50, 7.70, 300
09/19/22, 7.22, 7.90, 7.22, 7.60, 2200
09/16/22, 7.22, 7.80, 7.20, 7.22, 12100
09/15/22, 7.80, 7.80, 7.80, 7.80, 1000
09/14/22, 7.90, 8.00, 7.90, 7.94, 1100
09/12/22, 7.90, 7.90, 7.90, 7.90, 1800
09/09/22, 7.20, 8.00, 7.20, 7.20, 195200
09/08/22, 8.00, 8.00, 7.20, 7.30, 115400
09/07/22, 8.00, 8.00, 8.00, 8.00, 15600
09/06/22, 8.00, 8.00, 8.00, 8.00, 61200
09/05/22, 7.50, 7.50, 7.50, 7.50, 300
09/02/22, 7.52, 7.52, 7.52, 7.52, 31500
09/01/22, 7.74, 7.74, 7.30, 7.38, 20000
08/31/22, 7.92, 7.92, 7.40, 7.50, 500
08/30/22, 8.00, 8.00, 7.30, 7.92, 9900
08/29/22, 7.40, 7.98, 7.40, 7.74, 7600
08/25/22, 8.06, 8.06, 8.00, 8.00, 16800
08/24/22, 8.06, 8.06, 8.06, 8.06, 700
08/23/22, 8.10, 8.10, 8.00, 8.06, 900
08/22/22, 8.00, 8.10, 7.98, 8.02, 50900
08/18/22, 7.86, 7.90, 7.86, 7.88, 200
08/17/22, 7.70, 7.70, 7.70, 7.70, 100
08/16/22, 7.86, 7.86, 7.80, 7.82, 300
08/15/22, 7.70, 7.86, 7.70, 7.82, 1700
08/12/22, 7.42, 7.78, 7.42, 7.70, 50200
08/11/22, 7.54, 7.70, 7.34, 7.42, 12400
08/10/22, 7.30, 7.30, 7.30, 7.30, 100
08/08/22, 7.42, 7.46, 7.30, 7.36, 14200
08/05/22, 7.38, 7.42, 7.34, 7.36, 11100
08/04/22, 7.30, 7.38, 7.30, 7.32, 1800
08/03/22, 7.40, 7.40, 7.40, 7.40, 700
08/02/22, 7.40, 7.40, 7.40, 7.40, 200
08/01/22, 7.20, 7.40, 7.10, 7.18, 48200
07/29/22, 7.40, 7.40, 7.40, 7.40, 100
07/28/22, 7.50, 7.50, 7.10, 7.50, 74300
07/27/22, 7.00, 7.50, 7.00, 7.36, 4600
07/25/22, 7.20, 7.36, 7.20, 7.32, 11900
07/22/22, 7.20, 7.20, 7.20, 7.20, 1300
07/20/22, 7.30, 7.30, 7.06, 7.28, 5600
07/19/22, 7.34, 7.48, 7.34, 7.36, 1100
07/18/22, 7.04, 7.74, 7.04, 7.34, 36400
07/15/22, 7.20, 7.20, 6.90, 7.04, 400
07/14/22, 7.28, 7.28, 6.90, 7.12, 9000
07/13/22, 7.24, 7.28, 7.00, 7.24, 1400
07/12/22, 7.30, 7.30, 7.14, 7.24, 11700
07/08/22, 7.48, 7.50, 7.00, 7.14, 5800
07/07/22, 7.20, 7.48, 7.20, 7.36, 2400
07/06/22, 7.20, 7.20, 7.20, 7.20, 200
07/05/22, 6.80, 7.20, 6.80, 6.98, 3000
07/04/22, 6.88, 7.00, 6.80, 6.96, 5400
07/01/22, 7.00, 7.00, 6.50, 6.58, 8000
06/30/22, 7.00, 7.00, 6.30, 6.88, 27500
06/29/22, 7.00, 7.00, 7.00, 7.00, 3500
06/28/22, 7.00, 7.00, 6.50, 6.86, 5000
06/27/22, 7.20, 7.20, 7.20, 7.20, 10200
06/24/22, 8.00, 8.00, 7.98, 8.00, 87600
06/23/22, 8.00, 8.00, 7.70, 8.00, 1510800
06/22/22, 7.98, 8.00, 7.90, 7.98, 15200
06/21/22, 8.00, 8.00, 7.90, 8.00, 67300
06/20/22, 8.00, 8.00, 8.00, 8.00, 64500
06/17/22, 8.00, 8.00, 8.00, 8.00, 118700
06/16/22, 8.00, 8.00, 7.90, 7.98, 5600
06/15/22, 8.00, 8.00, 7.98, 8.00, 63700
06/14/22, 8.00, 8.00, 8.00, 8.00, 25300
06/13/22, 8.00, 8.30, 8.00, 8.00, 119600
06/10/22, 8.00, 8.00, 8.00, 8.00, 38900
