Date, Open, High, Low, Close, Volume
10/31/22, 29.00, 29.00, 29.00, 29.00, 200
10/27/22, 30.75, 30.75, 28.00, 29.40, 400
10/24/22, 27.00, 28.95, 27.00, 28.00, 300
10/21/22, 27.00, 27.00, 27.00, 27.00, 400
10/19/22, 29.00, 29.00, 29.00, 29.00, 200
10/18/22, 29.00, 29.00, 29.00, 29.00, 100
10/12/22, 30.00, 30.00, 30.00, 30.00, 200
10/11/22, 30.00, 30.00, 30.00, 30.00, 200
10/03/22, 31.00, 31.00, 29.00, 30.00, 200
09/27/22, 30.00, 30.00, 30.00, 30.00, 300
09/26/22, 31.00, 31.00, 31.00, 31.00, 200
09/23/22, 30.00, 30.00, 30.00, 30.00, 300
09/22/22, 30.00, 30.00, 30.00, 30.00, 100
09/20/22, 31.00, 31.00, 31.00, 31.00, 100
09/19/22, 31.00, 31.00, 31.00, 31.00, 100
09/15/22, 30.00, 30.00, 30.00, 30.00, 400
09/14/22, 30.00, 30.00, 28.20, 28.95, 2100
09/12/22, 30.00, 30.00, 30.00, 30.00, 100
09/09/22, 31.00, 31.00, 31.00, 31.00, 100
09/08/22, 31.00, 31.00, 30.50, 30.70, 4500
09/07/22, 31.00, 31.00, 31.00, 31.00, 400
09/06/22, 34.00, 34.00, 30.60, 30.85, 1300
09/05/22, 34.00, 34.00, 34.00, 34.00, 300
09/01/22, 34.50, 35.00, 34.50, 34.75, 200
08/30/22, 34.50, 34.50, 34.50, 34.50, 100
08/24/22, 31.80, 31.80, 31.80, 31.80, 100
08/19/22, 29.00, 29.00, 29.00, 29.00, 55000
08/18/22, 29.05, 29.05, 29.05, 29.05, 15000
07/25/22, 31.00, 31.00, 29.10, 29.50, 700
07/01/22, 29.05, 29.05, 29.05, 29.05, 3200
06/29/22, 31.75, 31.75, 29.05, 30.40, 200
06/23/22, 31.00, 32.45, 31.00, 31.75, 200
06/17/22, 29.50, 29.50, 29.50, 29.50, 100
06/15/22, 29.30, 29.30, 29.10, 29.25, 2900
06/14/22, 29.05, 29.05, 29.05, 29.05, 200
06/09/22, 29.00, 30.00, 29.00, 29.30, 400
06/06/22, 29.00, 29.00, 29.00, 29.00, 100
05/31/22, 29.00, 29.00, 29.00, 29.00, 2100
05/25/22, 30.00, 30.00, 30.00, 30.00, 3000
05/24/22, 30.00, 30.00, 30.00, 30.00, 1500
05/23/22, 28.50, 30.00, 28.50, 29.75, 600
05/20/22, 30.00, 30.00, 30.00, 30.00, 100
05/13/22, 28.50, 28.50, 28.50, 28.50, 1200
05/09/22, 28.50, 28.50, 28.50, 28.50, 200
05/06/22, 27.50, 27.50, 27.50, 27.50, 2600
05/05/22, 28.15, 28.15, 28.15, 28.15, 200
04/26/22, 28.15, 28.15, 28.15, 28.15, 100
04/22/22, 28.15, 28.15, 28.15, 28.15, 700
04/19/22, 27.50, 27.50, 27.50, 27.50, 100
04/05/22, 28.35, 28.35, 28.35, 28.35, 100
03/30/22, 27.00, 29.00, 27.00, 28.35, 300
03/21/22, 27.00, 27.00, 27.00, 27.00, 200
03/09/22, 27.00, 27.00, 27.00, 27.00, 300
03/08/22, 27.00, 27.00, 27.00, 27.00, 200
03/04/22, 29.00, 29.00, 29.00, 29.00, 100
03/03/22, 31.00, 31.00, 28.00, 30.50, 600
03/01/22, 30.00, 30.00, 30.00, 30.00, 4500
02/28/22, 30.00, 30.00, 30.00, 30.00, 200
02/24/22, 27.30, 27.30, 27.30, 27.30, 300
02/23/22, 30.00, 30.00, 30.00, 30.00, 100
02/18/22, 30.00, 30.00, 30.00, 30.00, 600
02/15/22, 33.10, 33.10, 33.10, 33.10, 100
02/14/22, 32.80, 32.80, 32.80, 32.80, 400
02/11/22, 33.10, 33.10, 33.10, 33.10, 400
02/10/22, 32.50, 36.40, 32.50, 36.25, 3100
02/08/22, 33.25, 33.25, 31.00, 33.10, 3200
02/04/22, 30.25, 30.25, 30.25, 30.25, 1100
02/01/22, 27.50, 27.50, 27.50, 27.50, 600
01/25/22, 27.50, 27.75, 27.50, 27.60, 1400
01/24/22, 27.50, 27.50, 27.50, 27.50, 900
01/19/22, 27.00, 27.00, 27.00, 27.00, 3100
01/18/22, 27.00, 27.00, 27.00, 27.00, 3600
01/13/22, 27.65, 27.65, 27.00, 27.10, 2300
01/12/22, 27.65, 27.65, 27.65, 27.65, 300
12/16/21, 27.65, 27.65, 27.65, 27.65, 1800
12/06/21, 27.65, 27.65, 27.65, 27.65, 1900
11/26/21, 27.55, 27.55, 27.55, 27.55, 100
11/12/21, 28.50, 28.50, 28.50, 28.50, 100
11/02/21, 28.50, 28.50, 28.50, 28.50, 300
10/28/21, 30.00, 30.00, 30.00, 30.00, 300
10/27/21, 30.00, 30.00, 30.00, 30.00, 1000
10/22/21, 30.00, 30.00, 30.00, 30.00, 100
10/12/21, 30.00, 30.00, 30.00, 30.00, 1000
10/07/21, 29.60, 29.60, 29.60, 29.60, 200
10/05/21, 30.00, 30.00, 30.00, 30.00, 1100
09/29/21, 30.00, 30.00, 30.00, 30.00, 2300
09/28/21, 30.00, 30.00, 30.00, 30.00, 800
09/24/21, 30.00, 30.00, 30.00, 30.00, 2900
09/22/21, 30.00, 30.00, 30.00, 30.00, 10700
09/21/21, 30.00, 30.00, 30.00, 30.00, 100
09/06/21, 33.00, 33.00, 32.80, 32.95, 300
09/03/21, 33.00, 33.00, 33.00, 33.00, 100
08/31/21, 33.00, 33.00, 33.00, 33.00, 100
08/30/21, 33.00, 33.00, 33.00, 33.00, 200
08/25/21, 33.50, 33.50, 32.75, 33.15, 900
08/19/21, 32.75, 32.75, 32.75, 32.75, 100
08/18/21, 30.00, 30.00, 30.00, 30.00, 200
08/13/21, 29.05, 29.05, 29.05, 29.05, 500
08/11/21, 31.00, 31.00, 31.00, 31.00, 100
08/04/21, 31.00, 31.00, 31.00, 31.00, 900
08/02/21, 29.40, 29.40, 27.10, 28.30, 800
07/30/21, 30.00, 30.00, 30.00, 30.00, 3300
07/28/21, 29.50, 29.80, 29.00, 29.40, 42500
07/27/21, 29.00, 29.00, 29.00, 29.00, 300
07/26/21, 29.45, 29.50, 29.45, 29.45, 1500
07/23/21, 29.75, 29.75, 29.75, 29.75, 100
07/22/21, 27.20, 27.20, 27.20, 27.20, 100
07/16/21, 27.10, 27.10, 27.10, 27.10, 700
07/15/21, 29.70, 29.70, 29.70, 29.70, 200
07/14/21, 27.10, 27.90, 27.10, 27.80, 1000
07/13/21, 27.20, 27.20, 27.20, 27.20, 500
07/07/21, 27.10, 27.10, 27.10, 27.10, 2800
07/06/21, 27.10, 27.10, 27.10, 27.10, 900
07/05/21, 27.05, 27.10, 27.05, 27.05, 1100
07/01/21, 27.00, 27.00, 27.00, 27.00, 100
06/29/21, 27.80, 27.80, 27.80, 27.80, 200
06/22/21, 27.20, 27.20, 27.20, 27.20, 500
06/16/21, 26.10, 26.10, 26.10, 26.10, 1700
06/15/21, 26.10, 28.70, 26.10, 28.60, 2400
06/10/21, 29.00, 29.00, 29.00, 29.00, 10000
06/07/21, 30.00, 30.00, 30.00, 30.00, 600
06/02/21, 30.00, 30.00, 30.00, 30.00, 300
05/31/21, 28.00, 28.00, 28.00, 28.00, 100
05/28/21, 28.00, 28.00, 28.00, 28.00, 14600
05/27/21, 30.00, 30.00, 30.00, 30.00, 100
05/26/21, 29.00, 29.00, 29.00, 29.00, 700
05/24/21, 28.00, 28.00, 28.00, 28.00, 100
05/21/21, 28.00, 28.00, 28.00, 28.00, 4500
05/17/21, 31.00, 31.00, 31.00, 31.00, 200
05/10/21, 31.80, 31.80, 31.80, 31.80, 100
05/07/21, 31.80, 31.80, 31.80, 31.80, 200
05/04/21, 29.00, 29.00, 29.00, 29.00, 3200
04/26/21, 29.50, 29.50, 29.50, 29.50, 3100
04/21/21, 29.70, 29.70, 29.50, 29.55, 1400
04/20/21, 31.95, 31.95, 30.00, 30.20, 1000
04/19/21, 32.00, 32.00, 32.00, 32.00, 3000
04/16/21, 29.60, 29.60, 29.60, 29.60, 100
04/14/21, 31.05, 31.05, 29.60, 29.70, 2600
04/13/21, 31.05, 31.05, 31.05, 31.05, 100
04/12/21, 29.20, 29.20, 29.20, 29.20, 500
04/08/21, 29.00, 29.00, 29.00, 29.00, 1000
04/01/21, 29.00, 29.00, 29.00, 29.00, 3000
03/30/21, 31.20, 31.50, 29.00, 30.70, 1900
03/29/21, 31.20, 31.20, 29.50, 29.65, 1100
03/26/21, 31.00, 31.00, 31.00, 31.00, 500
03/25/21, 31.00, 31.00, 29.00, 29.05, 3500
03/22/21, 31.00, 31.00, 31.00, 31.00, 100
03/18/21, 31.00, 31.00, 31.00, 31.00, 100
03/16/21, 29.00, 29.00, 29.00, 29.00, 5000
03/12/21, 29.00, 29.00, 29.00, 29.00, 100
03/09/21, 29.00, 29.00, 29.00, 29.00, 1100
03/08/21, 31.00, 31.00, 31.00, 31.00, 100
03/04/21, 31.00, 31.00, 31.00, 31.00, 100
03/02/21, 31.00, 31.00, 31.00, 31.00, 100
02/25/21, 32.00, 32.00, 32.00, 32.00, 100
02/24/21, 29.50, 29.50, 29.00, 29.10, 1600
02/19/21, 29.50, 29.50, 29.50, 29.50, 200
02/18/21, 29.55, 29.55, 29.55, 29.55, 400
02/02/21, 32.00, 32.00, 32.00, 32.00, 300
02/01/21, 32.00, 32.00, 29.50, 31.15, 300
01/28/21, 32.00, 32.00, 32.00, 32.00, 100
01/25/21, 32.00, 32.00, 32.00, 32.00, 400
01/19/21, 31.00, 31.00, 29.50, 29.55, 7200
01/15/21, 32.00, 32.00, 32.00, 32.00, 100
01/13/21, 31.00, 31.00, 31.00, 31.00, 5000
12/29/20, 31.80, 31.80, 31.80, 31.80, 100
12/23/20, 31.50, 31.50, 31.50, 31.50, 400
12/17/20, 31.00, 31.00, 31.00, 31.00, 100
