Date, Open, High, Low, Close, Volume
11/01/22, 165.00, 165.00, 164.50, 164.75, 400
10/28/22, 165.00, 165.00, 164.00, 164.25, 600
10/27/22, 164.75, 164.75, 164.75, 164.75, 100
10/26/22, 165.00, 165.00, 165.00, 165.00, 800
10/24/22, 166.00, 166.00, 164.00, 165.00, 800
10/19/22, 166.00, 166.00, 166.00, 166.00, 300
10/18/22, 166.00, 167.00, 166.00, 166.25, 2300
10/17/22, 167.00, 167.00, 167.00, 167.00, 200
10/14/22, 167.00, 167.00, 167.00, 167.00, 100
10/12/22, 168.00, 168.00, 168.00, 168.00, 2000
10/11/22, 168.00, 168.00, 168.00, 168.00, 300
10/07/22, 168.00, 170.00, 168.00, 168.75, 7300
10/06/22, 168.00, 168.00, 168.00, 168.00, 4200
10/05/22, 165.00, 168.00, 165.00, 167.75, 11000
10/04/22, 159.00, 168.00, 159.00, 164.50, 600
10/03/22, 159.00, 159.00, 159.00, 159.00, 1600
09/29/22, 162.00, 162.00, 162.00, 162.00, 100
09/27/22, 159.00, 163.00, 159.00, 162.50, 10700
09/26/22, 159.00, 159.00, 159.00, 159.00, 200
09/23/22, 164.00, 164.00, 159.00, 161.50, 400
09/22/22, 157.00, 159.00, 157.00, 158.25, 1000
09/21/22, 159.00, 159.00, 159.00, 159.00, 200
09/20/22, 159.00, 159.00, 159.00, 159.00, 100
09/19/22, 159.00, 159.00, 159.00, 159.00, 900
09/16/22, 159.00, 159.00, 159.00, 159.00, 100
09/15/22, 157.25, 157.25, 157.25, 157.25, 50000
09/14/22, 160.00, 160.00, 156.75, 157.00, 52100
09/12/22, 158.00, 158.00, 156.75, 157.00, 61400
09/09/22, 156.50, 156.50, 156.50, 156.50, 100
09/08/22, 155.00, 157.00, 155.00, 156.50, 2600
09/07/22, 155.00, 155.00, 155.00, 155.00, 400
09/06/22, 155.00, 155.00, 155.00, 155.00, 900
09/05/22, 155.00, 155.00, 155.00, 155.00, 100
09/02/22, 156.50, 156.50, 153.00, 154.75, 900
